year,code,type of waste,waste producers,waste quantities,waste quantities generated by primary producers
2014, EAV-061302-G, Spent activated carbon (except 060702),68.0,3.9,3.7
2014, EAV-061304-G, Wastes from asbestos processing,7.0,1.1,0.5
2014, EAV-061305-G, Soot,0.0,0.0,0.0
2014, EAV-07, Wastes from organic chemical processes,1728.0,1194.0,1124.5
2014, EAV-070101-G," Organic chem.: Aqueous washing liquids, mother liq.",159.0,47.5,40.5
2014, EAV-070103-G, Organic chem.: Organic halogenated solvents etc.,99.0,25.9,24.4
2014, EAV-070104-G, Organic chem.: Other organic solvents etc.,352.0,106.5,94.8
2014, EAV-070107-G, Organic chem.: Halogenated still bottoms etc.,39.0,38.3,37.9
2014, EAV-070108-G," Organic chem.: Other still bottoms,reaction residue.",132.0,84.8,76.9
2014, EAV-070109-G,"Organic chem.: Halogenated filter cakes, spent abs.",12.0,0.5,0.5
2014, EAV-070110-G," Organic chem.: Other filter cakes, spent absorbents",41.0,2.9,2.8
2014, EAV-070111-G, Organic chem.: Sludges from on-site effl. treatment.,44.0,10.9,10.4
2014, EAV-070201-G," Plastics: Aqueous washing liquids, mother liquors",74.0,32.3,32.0
2014, EAV-070203-G, Plastics: Organic halogenated solvents etc.,35.0,2.3,2.3
2014, EAV-070204-G," Plastics: Other organic solvents,washing liq. etc.",153.0,39.5,39.0
2014, EAV-070207-G," Plastics: Halogenated still bottoms, react. residence.",43.0,6.5,6.5
2014, EAV-070208-G," Plastics: Other still bottoms, reaction residues",380.0,76.3,71.6
2014, EAV-070209-G," Plastics: Halogenated filter cakes, spent absorb.",8.0,0.2,0.2
2014, EAV-070210-G, Plastics: Other filter cakes and spent absorbents,38.0,4.1,4.0
2014, EAV-070211-G, Plastics: Sludges from on-site effluent treatment,15.0,1.5,1.2
2014, EAV-070214-G, Plastics: Wastes from additives cont. haza. subst.,44.0,4.3,3.9
2014, EAV-070216-G, Plastics: Waste containing hazardous silicones,6.0,0.7,0.7
2014, EAV-070301-G,"Organic dyes: Aqueous washing liquids, mother liq.",31.0,5.9,5.3
2014, EAV-070303-G, Organic dyes: Organic halogenated solvents etc.,22.0,2.0,0.8
2014, EAV-070304-G, Organic dyes: Other organic solvents etc.,219.0,36.5,31.7
2014, EAV-070307-G, Organic dyes: Halogenated still bottoms etc.,7.0,0.7,0.7
2014, EAV-070308-G," Organic dyes: Other still bottoms, reaction residue.",29.0,4.5,4.1
2014, EAV-070309-G," Organic dyes: Halogenated filter cakes, spent abs.",4.0,0.2,0.2
2014, EAV-070310-G," Organic dyes: Other filter cakes, spent absorbents",9.0,0.7,0.7
2014, EAV-070311-G, Organic dyes: Sludges from on-site effl. treatment.,4.0,0.1,0.1
2014, EAV-070401-G, Org.plant prot.: Aqueous washing liquids etc.,19.0,32.1,32.1
2014, EAV-070403-G, Org.plant prot.: Organic halogenated solvents etc.,16.0,90.8,88.5
2014, EAV-070404-G, Org.plant prot.: Other organic solvents etc.,16.0,30.0,29.7
2014, EAV-070407-G, Org.plant prot.: Halogenated still bottoms etc.,11.0,34.6,34.6
2014, EAV-070408-G," Org.plant prot.: Other still bottoms, react.resid.",7.0,7.6,7.6
2014, EAV-070409-G,Org.plant prot.: Halogenated filter cakes etc.,5.0,0.3,0.3
2014, EAV-070410-G," Org.plant prot.: Other filter cakes, absorb spent.",8.0,0.7,0.6
2014, EAV-070411-G, Org.plant prot.: Sludges from on-site effl.treatm.,0.0,0.0,0.0
2014, EAV-070413-G, Org.plant prot.: Solid wastes cont. haza. subst.,12.0,0.2,0.2
2014, EAV-070501-G, Pharmaceuticals: Aqueous washing liquids etc.,44.0,70.0,69.6
2014, EAV-070503-G, Pharmaceuticals: Organic halogenated solvents etc.,50.0,14.4,14.0
2014, EAV-070504-G, Pharmaceuticals: Other organic solvents etc.,88.0,68.4,68.2
2014, EAV-070507-G, Pharmaceuticals: Halogenated still bottoms etc.,11.0,2.3,2.3
2014, EAV-070508-G," Pharmaceuticals: Other still bottoms, react.resid.",52.0,4.4,4.2
2014, EAV-070509-G, Pharmaceuticals: Halogenated filter cakes etc.,11.0,0.2,0.2
2014, EAV-070510-G," Pharmaceuticals: Other filter cakes, spent absorb.",18.0,2.3,2.2
2014, EAV-070511-G, Pharmaceuticals: Sludges from on-site effl.treatm.,5.0,0.6,0.6
2014, EAV-070513-G, Pharmaceuticals: Solid wastes cont.haza.substances,40.0,1.4,1.4
2014, EAV-070601-G,"Fats,soaps: Aqueous washing liquids,mother liquors",109.0,31.7,30.2
2014, EAV-070603-G," Fats, soaps: Organic halogenated solvents etc.",23.0,0.6,0.4
2014, EAV-070604-G," Fats, soaps: Other organic solvents etc.",81.0,7.3,6.8
2014, EAV-070607-G," Fats,soaps: Halogenated still bottoms,react.resid.",4.0,0.2,0.1
2014, EAV-070608-G," Fats,soaps: Other still bottoms, reaction residues",138.0,42.4,40.0
2014, EAV-070609-G," Fats,soaps: Halogenated filter cakes,spent absorb.",0.0,0.0,0.0
2014, EAV-070610-G," Fats, soaps: Other filter cakes, spent absorbents",20.0,2.0,1.9
2014, EAV-070611-G," Fats, soaps: Sludges from on-site effluent treatment.",6.0,1.4,1.4
2014, EAV-070701-G," Fine chem.: Aqueous washing liquids, mother liquors",152.0,82.3,70.7
2014, EAV-070703-G, Fine chem.: Organic halogenated solvents etc.,105.0,26.0,24.6
2014, EAV-070704-G, Fine chem.: Other organic solvents etc.,172.0,53.6,50.0
2014, EAV-070707-G," Fine chem.: Halogenated still bottoms,react.resid.",33.0,7.3,7.0
2014, EAV-070708-G," Fine chem.: Other still bottoms, reaction residues",81.0,38.1,37.0
2014, EAV-070709-G,"Fine chem.: Halogenated filter cakes, spent absorb.",21.0,0.6,0.5
2014, EAV-070710-G," Fine chem.: Other filter cakes, spent absorbents",46.0,2.9,2.7
2014, EAV-070711-G, Fine chem.: Sludges from on-site effluent treatm.,21.0,1.5,1.4
2014, EAV-08," Wastes from the MFSU of coatings, adhesives etc.",1371.0,200.9,169.4
2014, EAV-080111-G," Waste paint, varnish containing organic solvents",698.0,70.1,54.9
2014, EAV-080113-G, Sludges from paint and varnish cont. org. solvents,376.0,38.9,31.7
2014, EAV-080115-G," Paint,varnish: Aqueous sludges cont. paint etc.",152.0,18.2,16.2
2014, EAV-080117-G, Wastes from paint or varnish removal cont.org.sol.,163.0,24.5,22.7
2014, EAV-080119-G, Aqueous suspensions cont. paint or varnish,51.0,12.2,11.8
2014, EAV-080121-G, Waste paint or varnish remover,11.0,0.3,0.3
2014, EAV-080312-G, Waste ink containing hazardous substances,115.0,6.3,5.3
2014, EAV-080314-G, Ink sludges containing hazardous substances,49.0,4.4,4.3
2014, EAV-080316-G, Waste etching solutions,0.0,0.0,0.0
2014, EAV-080317-G, Waste printing toner cont. hazardous substances,0.0,0.0,0.0
2014, EAV-080319-G, Disperse oil,25.0,0.6,0.3
2014,EAV-080409-G, Waste adhesives and sealants cont.organic solvents,288.0,23.3,20.1
2014, EAV-080411-G, Adhesive and sealant sludges cont.organic solvents,10.0,0.4,0.3
2014, EAV-080413-G," Adhesives,sealants: Aqueous sludges cont.adhesives",12.0,0.4,0.4
2014, EAV-080415-G," Adhesives,sealants: Aqueous liquid waste cont.adh.",11.0,0.5,0.5
2014, EAV-080417-G," Adhesives, sealants: Rosin oil",0.0,0.0,0.0
2014, EAV-080501-G, Waste isocyanates,45.0,0.8,0.5
2014, EAV-09, Wastes from the photographic industry,195.0,20.9,17.3
2014, EAV-090101-G, Water-based developer and activator solutions,110.0,5.3,4.7
2014, EAV-090102-G, Water-based offset plate developer solutions,95.0,8.6,7.3
2014, EAV-090103-G, Solvent-based developer solutions,11.0,0.0,0.0
2014, EAV-090104-G, fixer solutions,92.0,4.2,3.4
2014, EAV-090105-G, Bleach solutions and bleach fixer solutions,34.0,2.1,2.0
2014, EAV-090106-G, Wastes cont. silver from on-site treatment. of photo.,0.0,0.0,0.0
2014, EAV-090111-G, Single-use cameras cont. batteries (160601-160603),0.0,0.0,0.0
2014, EAV-090113-G, Aq.liq.waste fr. on-site recl.of silver(ex.090106),0.0,0.0,0.0
2014,EAV-10, Wastes from thermal processes,711.0,808.1,761.9
2014, EAV-100104-G, Oil fly ash and boiler dust,25.0,3.1,3.0
2014, EAV-100109-G, Sulfuric acid,0.0,0.0,0.0
2014, EAV-100113-G, Fly ash from emulsified hydrocarbons used as fuel,0.0,0.0,0.0
2014, EAV-100114-G," Bottom ash,slag,boiler dust from co-incineration",41.0,41.9,41.7
2014, EAV-100116-G, Fly ash from co-incineration,29.0,19.3,18.7
2014, EAV-100118-G, Wastes from gas cleaning cont. hazardous subst.,123.0,25.6,25.6
2014, EAV-100120-G, Power stations: Sludges from on-site effl. treatment.,5.0,1.5,1.5
2014, EAV-100122-G, Power stations: Aqueous sludges from boiler clean.,5.0,1.3,1.3
2014, EAV-100207-G," Iron, steel: Solid wastes from gas treatment",66.0,222.9,222.2
2014, EAV-100211-G," Iron,steel: Wastes fr.cooling-water treat.cont.oil",0.0,0.0,0.0
2014, EAV-100213-G," Iron, steel: Sludges, filter cakes from gas treatm.",12.0,97.6,95.3
2014, EAV-100304-G, Aluminium: Primary production slags,3.0,2.3,2.3
2014, EAV-100308-G, Aluminium: Salt slags from secondary production,14.0,234.4,208.9
2014, EAV-100309-G, Aluminium: Black dross from secondary production,0.0,0.0,0.0
2014,EAV-100315-G, Aluminium: Skimmings that are flammable etc.,54.0,30.1,26.8
2014, EAV-100317-G, Aluminium: Tar-containing wastes from anode manuf.,5.0,0.9,0.6
2014, EAV-100319-G, Aluminum: Flue-gas dust cont. hazardous subst.,15.0,0.9,0.9
2014, EAV-100321-G, Aluminum: Other particulates and dust,10.0,2.3,2.3
2014, EAV-100323-G, Aluminum: Solid wastes from gas treatment,28.0,16.2,15.0
2014, EAV-100325-G," Aluminium: Sludges, filter cakes from gas treatment.",3.0,0.3,0.3
2014, EAV-100327-G, Aluminium: Wastes fr.cooling-water treatm.cont.oil,3.0,0.2,0.2
2014, EAV-100329-G, Aluminium: Wastes from treatment. of salt slags etc.,0.0,0.0,0.0
2014, EAV-100401-G, Lead: Slags from primary and secondary production,8.0,25.2,25.2
2014, EAV-100402-G," Lead: Dross, skimmings from primary, second. prod.",54.0,8.2,8.1
2014, EAV-100403-G, Lead: Calcium arsenate,0.0,0.0,0.0
2014, EAV-100404-G, Lead: Flue-gas dust,3.0,0.1,0.1
2014, EAV-100405-G, Lead: Other particulates and dust,11.0,8.6,4.2
2014, EAV-100406-G, Lead: Solid wastes from gas treatment,0.0,0.0,0.0
2014, EAV-100407-G,Lead: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2014, EAV-100409-G, Lead: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2014, EAV-100503-G, Zinc: Flue-gas dust,8.0,0.4,0.4
2014, EAV-100505-G, Zinc: Solid waste from gas treatment,6.0,0.3,0.3
2014, EAV-100506-G, Zinc: Sludges and filter cakes from gas treatment,0.0,0.0,0.0
2014, EAV-100508-G, Zinc: Wastes from cooling-water treatment. cont. oil,0.0,0.0,0.0
2014, EAV-100510-G, Zinc: Dross and skimmings that are flammable etc.,0.0,0.0,0.0
2014, EAV-100603-G, Copper: Flue-gas dust,9.0,1.7,1.6
2014, EAV-100606-G, Copper: Solid wastes from gas treatment,3.0,2.4,2.4
2014, EAV-100607-G, Copper: Sludges and filter cakes from gas treatment.,0.0,0.0,0.0
2014, EAV-100609-G, Copper: Wastes from cooling-water treatment. cont.oil,0.0,0.0,0.0
2014, EAV-100707-G, Silver etc: Wastes fr. cool.-water treatm.cont.oil,0.0,0.0,0.0
2014, EAV-100808-G," Non-ferrous: Salt slag from primary, secondary. prod.",0.0,0.0,0.0
2014, EAV-100810-G," Non-ferrous: Dross, skimmings that are flammable",8.0,0.6,0.6
2014, EAV-100812-G,Non-ferrous: Tar-cont. wastes from anode manuf.,0.0,0.0,0.0
2014, EAV-100815-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,40.0,5.7,5.6
2014, EAV-100817-G," Non-ferrous: Sludges, filter cakes fr.flue-gas tr.",3.0,0.1,0.1
2014, EAV-100819-G, Non-ferrous: Wastes from cooling-water tr.cont.oil,0.0,0.0,0.0
2014, EAV-100905-G," Ferrous: Casting cores,moulds, not undergone pouring.",0.0,0.0,0.0
2014, EAV-100907-G," Ferrous: Casting cores, molds, underwent pouring",12.0,2.7,2.7
2014, EAV-100909-G, Ferrous: Flue-gas dust cont. hazardous substances,42.0,7.1,7.0
2014, EAV-100911-G, Ferrous: Other particulates cont. hazardous subst.,4.0,0.7,0.5
2014, EAV-100913-G, Ferrous: Waste binders cont. hazardous substances,0.0,0.0,0.0
2014, EAV-100915-G, Ferrous: Waste crack-indicating agent,0.0,0.0,0.0
2014, EAV-101005-G," Non-ferrous: Casting cores,moulds,not underg.pour.",0.0,0.0,0.0
2014, EAV-101007-G," Non-ferrous: Casting cores, molds, underwent pour.",8.0,3.6,3.6
2014, EAV-101009-G, Non-ferrous: Flue-gas dust cont. hazardous subst.,16.0,2.8,1.0
2014, EAV-101011-G, Non-ferrous: Other particulates cont. haza. subst.,0.0,0.0,0.0
2014, EAV-101013-G,Non-ferrous: Waste binders cont. hazardous subst.,0.0,0.0,0.0
2014, EAV-101015-G, Non-ferrous: Waste crack-indicating agent,0.0,0.0,0.0
2014, EAV-101109-G, Waste preparation mixture before thermal process.,9.0,0.6,0.6
2014, EAV-101111-G, Waste glass in small particles cont. heavy metals,22.0,13.3,11.3
2014, EAV-101113-G," Glass-polishing, -grinding sludge",27.0,0.9,0.9
2014, EAV-101115-G, Manuf. of glass: Solid wastes from flue-gas treat.,35.0,3.0,2.6
2014, EAV-101117-G," Manuf. of glass: Sludges, filter cakes fr. flue-gas",0.0,0.0,0.0
2014, EAV-101119-G, Manuf. of glass: Sol.wastes fr.on-site effl.treat.,10.0,0.7,0.5
2014, EAV-101209-G, Ceramic goods: Solid wastes from gas treatment,17.0,5.9,3.7
2014, EAV-101211-G, Ceramic goods: Wastes from glazing cont.heavy metal.,5.0,0.1,0.1
2014, EAV-101309-G, Wastes from asbestos-cement manuf. cont. asbestos,0.0,0.0,0.0
2014, EAV-101312-G, Cement etc: Solid wastes from gas treatment,9.0,6.9,6.9
2014, EAV-101401-G, Crematoria: Waste from gas cleaning cont. mercury,68.0,0.6,0.5
2014, EAV-11, Wastes from chemical surface treatment etc.,2119.0,612.2,579.8
2014,EAV-110105-G, Surface treatment: Pickling acids,526.0,85.7,79.8
2014, EAV-110106-G, Surface treatment: Acids nos.,144.0,13.4,12.3
2014, EAV-110107-G, Surface treatment: Pickling bases,435.0,79.4,75.0
2014, EAV-110108-G, Surface treatment: Phosphating sludges,210.0,11.3,10.2
2014, EAV-110109-G," Surface treatment: Sludges, filter cakes",948.0,107.7,99.6
2014, EAV-110111-G, Surface treatment: Aqueous rinsing liquids,712.0,91.5,82.8
2014, EAV-110113-G, Surface treatment: Degreasing wastes,158.0,13.0,12.2
2014, EAV-110115-G," Surface treatment: Eluate,sludges fr.membrane sys.",3.0,0.5,0.5
2014, EAV-110116-G," Surface treatment: Saturated,spent ion exch.resins",16.0,0.1,0.1
2014, EAV-110198-G, Surface treatment: Other wastes cont. haza. subst.,219.0,18.9,16.8
2014, EAV-110202-G, Sludges from zinchydrometallurgy,8.0,157.2,157.2
2014, EAV-110205-G, Wastes from copper hydrometallurgical processes,0.0,0.0,0.0
2014, EAV-110207-G, Non-ferrous hydromet. processes: Other wastes,0.0,0.0,0.0
2014, EAV-110301-G," Sludges,solids fr.temp.proc.: Wastes cont. cyanide",40.0,0.6,0.6
2014, EAV-110302-G,"Sludges, solids from tempering proc.: Other wastes",52.0,1.8,1.7
2014, EAV-110503-G, Hot galvan. proc.: Solid wastes from gas treatment,13.0,0.3,0.2
2014, EAV-110504-G, Hot galvanizing processes: Spent flux,0.0,0.0,0.0
2014, EAV-12, Wastes from surface treatment of metals a.plastics,3769.0,1135.4,836.3
2014, EAV-120106-G, Mineral-based machining oils containing halogens,0.0,0.0,0.0
2014, EAV-120107-G, Mineral-based machining oils free of halogens,110.0,77.6,30.3
2014, EAV-120108-G," Machining emulsions, solutions containing halogens",13.0,1.0,0.9
2014, EAV-120109-G," Machining emulsions, solutions free of halogens",2994.0,861.6,647.5
2014, EAV-120110-G, Synthetic machining oils,23.0,0.9,0.9
2014, EAV-120112-G, Spent waxes and fats,211.0,7.9,6.6
2014, EAV-120114-G, Machining sludges containing hazardous substances,252.0,22.2,21.3
2014, EAV-120116-G, Waste blasting material cont. hazardous substances,381.0,29.0,24.2
2014, EAV-120118-G," Metal sludge (grinding,honing,lapping sl.)cont.oil",449.0,87.2,61.2
2014, EAV-120119-G, Readily biodegradable machining oil,0.0,0.0,0.0
2014, EAV-120120-G,Spent grinding bodies and grinding materials,84.0,5.5,4.3
2014, EAV-120301-G, Aqueous washing liquids,315.0,40.3,36.9
2014, EAV-120302-G, Steam degreasing wastes,17.0,1.9,1.9
2014, EAV-13," Oil wastes, wastes of liquid fuels (ex.edible oils)",3863.0,1406.5,1181.3
2014, EAV-130101-G," Hydraulic oils, containing PCBs",6.0,0.2,0.0
2014, EAV-130104-G, Hydraulic oils: Chlorinated emulsions,0.0,0.0,0.0
2014, EAV-130105-G, Hydraulic oils: Non-chlorinated emulsions,82.0,11.2,10.3
2014, EAV-130109-G, Mineral-based chlorinated hydraulic oils,3.0,0.0,0.0
2014, EAV-130110-G, Mineral based non-chlorinated hydraulic oils,78.0,2.6,2.4
2014, EAV-130111-G, Synthetic hydraulic oils,8.0,0.1,0.1
2014, EAV-130112-G, Readily biodegradable hydraulic oils,0.0,0.0,0.0
2014, EAV-130113-G, Other hydraulic oils,7.0,0.2,0.2
2014, EAV-130204-G," Mineral-based chlorinated engine, gear, lubr. oils",59.0,1.4,1.1
2014, EAV-130205-G," Mineral-based non-chlor. engine, gear, lubricant. oils",1467.0,533.0,403.7
2014, EAV-130206-G," Synthetic engine, gear and lubricating oils",13.0,0.5,0.5
2014, EAV-130207-G," Readily biodegradable engine,gear,lubricating oils",0.0,0.0,0.0
2014,EAV-130208-G," Other engine, gear and lubricating oils",129.0,29.6,19.7
2014, EAV-130301-G, Insulating or heat transmission oils cont. PCB's,45.0,1.3,0.7
2014, EAV-130306-G," Mineral-b.chlor.insul.,heat transm.oils(ex.130301)",3.0,0.0,0.0
2014, EAV-130307-G," Mineral-based non-chlor. insul., heat transm. oils",192.0,10.8,10.3
2014, EAV-130308-G, Synthetic insulating and heat transmission oils,23.0,0.9,0.8
2014, EAV-130309-G," Readily biodegradable insulating, heat transm. oils",0.0,0.0,0.0
2014, EAV-130310-G, Other insulating and heat transmission oils,20.0,0.3,0.2
2014, EAV-130401-G, Bilge oils from inland navigation,12.0,5.6,5.3
2014, EAV-130402-G, Bilge oils from jetty sewers,0.0,0.0,0.0
2014, EAV-130403-G, Bilge oils from other navigation,20.0,105.0,103.2
2014, EAV-130501-G, Solids from grit chambers and oil/water separators,188.0,63.7,47.2
2014, EAV-130502-G, Sludges from oil/water separators,854.0,182.6,173.8
2014, EAV-130503-G, Interceptor sludges,377.0,111.4,101.7
2014, EAV-130506-G, Oil from oil/water separators,38.0,5.6,4.2
2014, EAV-130507-G, Oily water from oil/water separators,198.0,43.3,34.6
2014, EAV-130508-G,"Mixtures of wastes fr.grit chambers,oil/water sep.",965.0,188.8,180.4
2014, EAV-130701-G, Fuel oil and diesel,130.0,15.5,13.0
2014, EAV-130702-G, petrol,47.0,1.6,1.4
2014, EAV-130703-G, Other fuels (including mixtures),165.0,26.1,13.3
2014, EAV-130801-G, Oil wastes: Desalter sludges or emulsions,0.0,0.0,0.0
2014, EAV-130802-G, Oil wastes: Other emulsions,164.0,34.3,27.6
2014, EAV-130899-G, Oil wastes: Wastes nos.,170.0,30.7,25.6
2014, EAV-14," Waste organic solvents, refrigerants, propellants",714.0,149.0,69.5
2014, EAV-140601-G," Chlorofluorocarbons, HCFC, HFC",57.0,1.8,1.5
2014, EAV-140602-G, Other halogenated solvents and solvent mixtures,107.0,10.8,3.9
2014, EAV-140603-G, Other solvents and solvent mixtures,605.0,128.0,58.0
2014, EAV-140604-G, Sludges or solid wastes cont. halogenated solvents,20.0,1.2,0.2
2014, EAV-140605-G, Sludges or solid wastes containing other solvents,62.0,7.2,5.9
2014, EAV-15," Waste packaging, absorbents, wiping cloths etc.",2578.0,264.6,194.4
2014, EAV-150110-G, Packaging cont.residues of or contam.by haza.subs.,1115.0,58.5,46.5
2014, EAV-150111-G, Metallic packaging cont. haza. solid porous matrix,31.0,2.4,2.4
2014,EAV-150202-G," Absorbents, filter materials, wiping cloths etc.",2118.0,203.6,145.6
2014, EAV-16, Wastes not otherwise specified in the list,2878.0,931.7,772.0
2014, EAV-160104-G, End-of-life vehicles,52.0,90.5,90.5
2014, EAV-160107-G, End-of-life vehicles: Oil filters,106.0,12.1,9.5
2014, EAV-160108-G, End-of-life vehicles: Components cont. mercury,0.0,0.0,0.0
2014, EAV-160109-G, End-of-life vehicles: Components containing PCBs,0.0,0.0,0.0
2014, EAV-160110-G, End-of-life vehicles: Explosive components,59.0,1.5,1.4
2014, EAV-160111-G, End-of-life vehicles: Brake pads cont. asbestos,5.0,0.0,0.0
2014, EAV-160113-G, End-of-life vehicles: Brake fluids,146.0,12.6,8.8
2014, EAV-160114-G, End-of-life vehicles: Antifreeze fluids,222.0,23.9,17.5
2014, EAV-160121-G," Hazardous components (ex.160107-11,160113-14)",50.0,3.0,2.9
2014, EAV-160209-G, Transformers and capacitors containing PCBs,194.0,1.8,1.4
2014, EAV-160210-G, Discarded equip.cont. or contam.by PCBs(ex.160209),5.0,0.0,0.0
2014, EAV-160211-G," Discarded equip.cont. chlorofluorocarbons,HCFC,HFC",187.0,13.1,6.1
2014, EAV-160212-G,Discarded equipment containing free asbestos,117.0,10.2,8.7
2014, EAV-160213-G, Discarded equip.cont.hazardous comp.(ex.160209-12),480.0,48.5,37.2
2014, EAV-160215-G, Hazardous comp. removed from discarded equipment,151.0,53.2,34.9
2014, EAV-160303-G, Off-spec. batches: Inorganic wastes,71.0,4.3,4.3
2014, EAV-160305-G, Off-spec. batches: organic wastes,128.0,7.4,6.9
2014, EAV-160401-G, Waste ammunition,8.0,0.0,0.0
2014, EAV-160402-G, Fireworks wastes,9.0,0.2,0.2
2014, EAV-160403-G, Other waste explosives,22.0,0.2,0.2
2014, EAV-160504-G, Gases in pressure containers (including halons),347.0,4.0,3.2
2014, EAV-160506-G, Laboratory chemicals consisting of hazardous subs.,226.0,3.7,2.9
2014, EAV-160507-G, Discarded inorganic chemicals cons. To install haza. subs.,446.0,7.8,6.3
2014, EAV-160508-G, Discarded organic chemicals cons. To install haza. subs.,421.0,6.8,5.5
2014, EAV-160601-G, lead batteries,462.0,322.3,255.0
2014, EAV-160602-G, Ni-Cd batteries,103.0,1.5,1.3
2014, EAV-160603-G, Mercury-containing batteries,13.0,0.2,0.2
2014, EAV-160606-G," Separately coll. electrolyte from batteries,accum.",23.0,2.1,1.4
2014, EAV-160708-G,"Tanks,barrels: Wastes containing oil",665.0,140.0,126.6
2014, EAV-160709-G," Tanks, barrels: Wastes cont. other hazardous substances.",179.0,20.7,19.0
2014, EAV-160802-G, Spent catalysts cont. hazardous transition metals,104.0,14.3,13.5
2014, EAV-160805-G, Spent catalysts containing phosphoric acid,3.0,0.2,0.2
2014, EAV-160806-G, Spent liquids used as catalysts,4.0,0.3,0.3
2014, EAV-160807-G, Spent catalysts contaminated with haza. substances,115.0,11.2,10.4
2014, EAV-160901-G," Permanganates, for example potassium permanganate",0.0,0.0,0.0
2014, EAV-160902-G," Chromates (potassium chr., potassium, sodium dichr.)",3.0,0.0,0.0
2014, EAV-160903-G," Peroxides, for example hydrogen peroxide",12.0,0.1,0.1
2014, EAV-160904-G," Oxidising substances, nos.",7.0,0.1,0.1
2014, EAV-161001-G, Aqueous liquid wastes cont. hazardous substances,273.0,53.1,38.7
2014, EAV-161003-G, Aqueous concentrates cont. hazardous substances,61.0,6.3,5.8
2014, EAV-161101-G," Carbon-based linings,refractories fr.metall. proc.",15.0,14.0,13.9
2014, EAV-161103-G," Other linings,refractories from metall. processes",55.0,16.3,16.1
2014, EAV-161105-G,"Linings, refractories from non-metal. processes",104.0,24.4,21.1
2014, EAV-17, Construction and demolition wastes,11541.0,8612.0,7731.7
2014, EAV-170106-G," Mixtures of, or separate fractions of concrete etc.",1360.0,876.1,851.2
2014, EAV-170204-G," Glass, plastic, wood cont. hazardous substances",4151.0,951.3,806.4
2014, EAV-170301-G, Bituminous mixtures containing coal tar,3268.0,3082.4,2645.8
2014, EAV-170303-G, Coal tar and tarred products,1396.0,220.3,154.0
2014, EAV-170409-G, Metal waste contaminated with hazardous substances,161.0,8.7,8.5
2014, EAV-170410-G," Cables cont. oil, coal tar and other waste. subs.",264.0,11.8,9.2
2014, EAV-170503-G, Soil and stones containing hazardous substances,1829.0,2125.7,2061.0
2014, EAV-170505-G, Dredging spoil containing hazardous substances,33.0,26.9,26.9
2014, EAV-170507-G, Track ballast containing hazardous substances,107.0,558.0,538.4
2014, EAV-170601-G, insulation materials containing asbestos,177.0,6.9,6.2
2014, EAV-170603-G, Other insulation materials,2258.0,175.2,141.7
2014, EAV-170605-G, Construction materials containing asbestos,3266.0,507.7,424.9
2014, EAV-170801-G,Gypsum-based construction materials contaminated,6.0,2.7,2.7
2014, EAV-170901-G, Construction and demolition wastes cont. mercury,3.0,0.2,0.2
2014, EAV-170902-G, Construction and demolition wastes containing PCB,132.0,5.2,4.1
2014, EAV-170903-G, Other construction and demolition wastes,251.0,52.9,50.3
2014, EAV-18, Wastes from human or animal health care,199.0,23.2,19.2
2014, EAV-180103-G, Wastes (special requirements to prevent infection),139.0,18.8,15.7
2014, EAV-180106-G, Chemicals consisting of or cont. hazardous subst.,23.0,0.3,0.3
2014, EAV-180108-G, Cytotoxic and cytostatic medicines,60.0,3.2,2.6
2014, EAV-180110-G, Amalgam waste from dental care,39.0,0.1,0.1
2014, EAV-180202-G, Wastes (special requirements to prevent infection),48.0,0.8,0.6
2014, EAV-180205-G, Chemicals consisting of or cont. hazardous subst.,0.0,0.0,0.0
2014, EAV-180207-G, Cytotoxic and cytostatic medicines,0.0,0.0,0.0
2014, EAV-19, Wastes from waste management facilities etc.,1639.0,6266.8,2913.2
2014, EAV-190105-G," Incineration,pyrolysis: Filter cake fr.gas treat.",29.0,52.4,36.1
2014, EAV-190106-G," Incineration, pyrolysis: Aqueous liquid wastes",36.0,64.2,19.0
2014, EAV-190107-G," Incineration,pyrolysis: Solid wastes fr.gas treat.",122.0,737.7,361.5
2014, EAV-190110-G,"Incineration, pyrolysis: Spent activated carbon",24.0,6.5,2.6
2014, EAV-190111-G," Incineration, pyrolysis: Bottom ash and slag",89.0,587.7,330.9
2014, EAV-190113-G," Incineration, pyrolysis: Fly ash cont. haza. subst.",125.0,657.6,358.8
2014, EAV-190115-G," Incineration, pyrolysis: Boiler dust cont.haza.sub.",41.0,79.6,40.7
2014, EAV-190117-G, Pyrolysis wastes containing hazardous substances,10.0,1.3,1.3
2014, EAV-190204-G, Premixed wastes comp.of at least one hazard. waste,99.0,663.1,165.9
2014, EAV-190205-G, Sludges from physico/chemical treatment,394.0,411.0,206.4
2014, EAV-190207-G, Oil and concentrates from separation,153.0,141.2,69.0
2014, EAV-190208-G, Liquid combustible wastes cont. haza. substances,33.0,45.8,27.7
2014, EAV-190209-G, Solid combustible wastes cont. hazardous subst.,9.0,3.4,2.2
2014, EAV-190211-G, Other wastes containing hazardous substances,24.0,3.5,2.9
2014, EAV-190304-G," Wastes marked as hazardous, partially stabilized",7.0,89.7,10.0
2014, EAV-190306-G," Wastes marked as hazardous, solidified",17.0,390.5,84.4
