GENESIS-Tabelle: 32111-0002
Abfallentsorgung: Deutschland, Jahre, Abfallarten;;;;;;;
Erhebung der Abfallentsorgung;;;;;;;
Deutschland;;;;;;;
;;;Abfallentsorgungsanlagen;Input von Abfallentsorgungsanlagen;Im eigenen Betrieb erzeugte Abfälle;Aus dem Inland angelieferter Abfall;Aus dem Ausland angelieferter Abfall
2019;EAV-190703-U;Deponiesickerwasser (ohne 190702);31;211,6;135,2;76,4;-
2019;EAV-190801-U;Sieb- und Rechenrückstände;171;159,9;4,0;155,9;-
2019;EAV-190802-U;Sandfangrückstände;253;140,8;12,9;127,2;0,7
2019;EAV-190805-U;Schlämme aus der Behandlung v. kommunalem Abwasser;270;7393,2;2856,7;4420,8;115,8
2019;EAV-190806-G;Gesättigte oder verbrauchte Ionenaustauscherharze;23;0,4;0,0;0,4;0,0
2019;EAV-190807-G;Lösungen u. Schlämme aus Regeneration v.Ionenaust.;-;-;-;-;-
2019;EAV-190808-G;Schwermetallhaltige Abfälle aus Membransystemen;5;2,5;0,0;2,5;0,0
2019;EAV-190809-U;Fett- u.Ölmischungen aus Ölabscheidern (Speiseöle);45;48,2;1,9;46,2;-
2019;EAV-190810-G;Fett- u.Ölmischungen aus Ölabscheidern (oh.190809);7;0,5;-;0,5;-
2019;EAV-190811-G;Schlämme aus biol.Behandlung von industr.Abwasser;26;408,9;356,5;52,4;-
2019;EAV-190812-U;Schlämme a. biol.Beh.v.industr.Abwasser(oh.190811);76;373,7;20,4;353,3;-
2019;EAV-190813-G;Schlämme mit gefährl. Stoffen aus industr.Abwasser;105;182,0;68,9;109,0;4,1
2019;EAV-190814-U;Schlämme aus industriellem Abwasser (ohne 190813);152;199,3;87,3;111,8;0,2
2019;EAV-190899-U;Abwasserbehandlungsanlagen: Abfälle a.n.g.;19;12,3;0,1;12,2;-
2019;EAV-190901-U;Feste Abfälle aus Erstfiltration u. Siebrückstände;61;17,4;0,8;16,6;-
2019;EAV-190902-U;Schlämme aus der Wasserklärung;136;198,0;136,1;61,9;-
2019;EAV-190903-U;Schlämme aus der Dekarbonatisierung;25;32,7;6,3;26,4;-
2019;EAV-190904-U;Gebrauchte Aktivkohle;55;9,6;0,0;7,1;2,5
2019;EAV-190905-U;Gesättigte oder gebrauchte Ionenaustauscherharze;55;1,5;0,1;1,4;-
2019;EAV-190906-U;Lösungen u. Schlämme aus Regeneration v.Ionenaust.;6;7,4;4,1;3,3;-
2019;EAV-190999-U;Brauchwasser: Abfälle a.n.g.;6;0,2;-;0,2;-
2019;EAV-191001-U;Eisen- und Stahlabfälle;40;159,2;8,5;144,9;5,8
2019;EAV-191002-U;NE-Metall-Abfälle;50;98,3;0,0;62,5;35,8
2019;EAV-191003-G;Schredderleichtfraktionen und Staub;18;40,7;24,4;8,6;7,8
2019;EAV-191004-U;Schredderleichtfraktionen und Staub (ohne 191003);31;159,7;-;159,7;-
2019;EAV-191005-G;Andere Fraktionen, die gefährl. Stoffe enthalten;6;3,8;-;3,2;0,6
2019;EAV-191006-U;Andere Fraktionen (ohne 191005);21;295,6;49,9;185,4;60,4
2019;EAV-191101-G;Altölaufbereitung: Gebrauchte Filtertone;6;2,5;-;2,5;-
2019;EAV-191102-G;Altölaufbereitung: Säureteere;-;-;-;-;-
2019;EAV-191103-G;Altölaufbereitung: Wässrige flüssige Abfälle;3;1,4;-;1,4;-
2019;EAV-191104-G;Altölaufber.: Abf.a.d. Brennstoffreinigung m.Basen;-;-;-;-;-
2019;EAV-191105-G;Altölaufber.: Schlämme (betriebseig.Abwasserbeh.);5;0,1;0,0;0,1;-
2019;EAV-191106-U;Schlämme aus betriebs. Abwasserbehandl.(oh.191105);9;2,4;-;2,4;-
2019;EAV-191107-G;Altölaufbereitung: Abfälle aus der Abgasreinigung;-;-;-;-;-
2019;EAV-19119900-U;Abfälle a.n.g;-;-;-;-;-
2019;EAV-19119950-U;Basisöl (Ausgangsstoff für Schmierstoff), (SK);-;-;-;-;-
2019;EAV-19119951-U;Schmierstoff, (SS);-;-;-;-;-
2019;EAV-19119952-U;Mitteldestillat Komponente;-;-;-;-;-
2019;EAV-19119953-U;Heizöl leicht (inklusive Diesel), (HL);-;-;-;-;-
2019;EAV-19119954-U;Heizöl schwer Komponente;-;-;-;-;-
2019;EAV-19119955-U;Heizöl schwer, (HS);-;-;-;-;-
2019;EAV-19120100-U;Mech.Abfallbehandlung: Papier, Pappe nicht diff.;77;231,0;2,6;219,8;8,6
2019;EAV-19120101-U;Mech.Abfallbehandlung: Untere Sorten (Gruppe I);3;12,0;-;12,0;-
2019;EAV-19120102-U;Mech.Abfallbehandlung: Mittlere Sorten (Gruppe II);-;-;-;-;-
2019;EAV-19120103-U;Mech.Abfallbehandlung: Bessere Sorten (Gruppe III);-;-;-;-;-
2019;EAV-19120104-U;Mech.Abfallbehandlung: Krafthaltige Sorten (Gr.IV);-;-;-;-;-
2019;EAV-19120105-U;Mech.Abfallbehandlung: Sondersorten (Gruppe V);-;-;-;-;-
2019;EAV-191202-U;Mech.Abfallbehandlung: Eisenmetalle;194;1412,0;17,3;1303,6;91,2
2019;EAV-191203-U;Mech.Abfallbehandlung: Nichteisenmetalle;152;712,1;1,2;500,5;210,4
2019;EAV-191204-U;Mech.Abfallbehandlung: Kunststoff und Gummi;297;1535,0;34,3;1229,7;271,0
2019;EAV-19120500-U;Mech.Abfallbehandlung: Glas nicht differenzierbar;48;200,9;0,6;173,2;27,0
2019;EAV-19120501-U;Mech.Abfallbehandlung: Weißglas;-;-;-;-;-
2019;EAV-19120502-U;Mech.Abfallbehandlung: Braunglas;-;-;-;-;-
2019;EAV-19120503-U;Mech.Abfallbehandlung: Grünglas;-;-;-;-;-
2019;EAV-19120504-U;Mech.Abfallbehandlung: Buntglas;-;-;-;-;-
2019;EAV-19120505-U;Mech.Abfallbehandlung: Mischglas;-;-;-;-;-
2019;EAV-191206-G;Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;76;1243,3;75,6;916,2;251,5
2019;EAV-191207-U;Holz (ohne 191206);257;4790,6;317,6;4017,0;455,9
2019;EAV-191208-U;Mech.Abfallbehandlung: Textilien;32;70,0;0,2;47,6;22,3
2019;EAV-19120900-U;Mech.Abfallbehandlung: Mineralien (Sand, Steine);243;2595,2;167,6;2411,5;16,1
2019;EAV-19120901-U;Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;-;-;-
2019;EAV-19120902-U;Erzeugnisse für Verwendung im sonstigen Erdbau;10;115,3;10,4;104,9;-
2019;EAV-19120903-U;Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;-;-;-
2019;EAV-19120904-U;Erzeugnisse für Verwendung in Asphaltmischanlagen;349;10635,2;-;10635,2;-
2019;EAV-19120905-U;Erzeugnisse für sonstige Verwendung;-;-;-;-;-
2019;EAV-19120906-U;Heißmischgut für den Straßen- und Wegebau;-;-;-;-;-
2019;EAV-191210-U;Brennbare Abfälle (Brennstoffe aus Abfällen);208;6317,7;73,2;5746,2;498,3
2019;EAV-191211-G;Sonstige Abfälle (einschl. Materialmischungen);116;1330,0;4,1;1242,9;83,1
2019;EAV-191212-U;Sonstige Abfälle (ohne 191211);524;9650,3;336,8;8957,5;356,0
2019;EAV-191301-G;Feste Abfälle aus der Sanierung von Böden;32;195,5;-;190,9;4,6
2019;EAV-191302-U;Feste Abfälle aus Sanierung von Böden (oh.191301);53;366,8;8,0;358,3;0,5
2019;EAV-191303-G;Schlämme aus der Sanierung von Böden;12;55,7;0,0;55,5;0,1
2019;EAV-191304-U;Schlämme aus der Sanierung von Böden (oh.191303);6;1,9;-;1,9;-
2019;EAV-191305-G;Schlämme aus der Sanierung von Grundwasser;19;0,8;0,0;0,8;-
2019;EAV-191306-U;Schlämme aus Sanierung von Grundwasser (oh.191305);18;1,8;-;1,8;-
2019;EAV-191307-G;Wässrige Abf.u.Konzentrate aus Grundwassersanier.;12;0,2;0,0;0,2;-
2019;EAV-191308-U;Wässrige Abf.u.Konz. a.Grundwassersan. (oh.191307);4;0,6;0,3;0,3;-
2019;EAV-200101-U;Papier und Pappe;495;3858,8;29,3;3803,7;25,8
2019;EAV-200102-U;Glas;91;294,9;0,0;233,2;61,7
2019;EAV-200108-U;Biologisch abbaubare Küchen- und Kantinenabfälle;188;1182,1;66,3;1109,8;6,0
2019;EAV-200110-U;Bekleidung;34;108,2;-;104,0;4,2
2019;EAV-200111-U;Textilien;87;111,6;0,0;108,2;3,4
2019;EAV-200113-G;Lösemittel;30;6,4;0,1;5,3;1,0
2019;EAV-200114-G;Säuren;33;2,2;0,0;1,0;1,2
2019;EAV-200115-G;Laugen;32;1,3;0,0;0,7;0,5
2019;EAV-200117-G;Fotochemikalien;23;0,2;0,0;0,2;0,0
2019;EAV-200119-G;Pestizide;29;1,9;0,0;1,2;0,7
2019;EAV-200121-G;Leuchtstoffröhren u.a. quecksilberhaltige Abfälle;80;11,0;0,0;9,5;1,5
2019;EAV-200123-G;Gebrauchte Geräte mit Fluorchlorkohlenwasserstoffe;74;162,2;3,1;143,2;15,9
2019;EAV-200125-U;Speiseöle und -fette;40;191,1;1,1;59,0;131,1
2019;EAV-200126-G;Öle und Fette (ohne 200125);19;0,4;0,0;0,4;0,0
2019;EAV-200127-G;Farben, Druckfarben, Klebstoffe und Kunstharze;44;13,0;0,3;9,8;2,9
2019;EAV-200128-U;Farben,Druckfarben,Klebst.,Kunstharze (oh.200127);54;14,4;-;14,4;-
2019;EAV-200129-G;Reinigungsmittel, die gefährliche Stoffe enthalten;23;0,9;0,0;0,7;0,1
2019;EAV-200130-U;Reinigungsmittel (ohne 200129);9;0,1;-;0,1;-
2019;EAV-200131-G;Zytotoxische und zytostatische Arzneimittel;4;0,2;-;0,0;0,2
2019;EAV-200132-U;Arzneimittel (ohne 200131);66;8,0;-;7,5;0,4
2019;EAV-200133-G;Batterien und Akkumulatoren (160601-160603);44;16,7;-;16,4;0,2
2019;EAV-200134-U;Batterien und Akkumulatoren (ohne 200133);16;2,0;-;1,1;0,9
2019;EAV-200135-G;Gebrauchte elektrische Geräte (oh.200121,200123);183;486,9;1,6;475,4;9,9
2019;EAV-200136-U;Gebrauchte elektr.Geräte (oh.200121,200123,200135);155;129,4;10,4;118,6;0,3
2019;EAV-200137-G;Holz, das gefährliche Stoffe enthält;49;46,1;0,0;41,7;4,4
2019;EAV-200138-U;Holz (ohne 200137);222;710,8;1,7;707,4;1,7
2019;EAV-200139-U;Kunststoffe;254;128,1;0,0;97,4;30,7
2019;EAV-200140-U;Metalle;132;314,0;0,0;310,3;3,7
2019;EAV-200141-U;Abfälle aus der Reinigung von Schornsteinen;-;-;-;-;-
2019;EAV-200199-U;Sonstige Fraktionen a.n.g.;-;-;-;-;-
2019;EAV-20019900-U;Sonstige Fraktionen a.n.g. nicht differenzierbar;8;1,8;0,0;1,8;-
2019;EAV-20019901-U;Gemischte Wertstoffe ohne Leichtverpackungen;22;118,3;4,2;90,3;23,8
2019;EAV-200201-U;Biologisch abbaubare Abfälle;1167;5696,3;99,5;5591,1;5,7
2019;EAV-200202-U;Boden und Steine;73;106,6;0,1;106,5;-
2019;EAV-200203-U;Andere nicht biologisch abbaubare Abfälle;57;10,7;0,0;10,7;-
2019;EAV-20030100-U;Gemischte Siedlungsabfälle nicht differenzierbar;265;5693,9;30,9;5322,6;340,5
2019;EAV-20030101-U;Hausmüll, hausmüllähnliche Gewerbeabfälle;103;9532,5;-;9526,4;6,0
2019;EAV-20030102-U;Hausmüllähnliche Gewerbeabfälle;272;2174,3;5,3;2131,6;37,4
2019;EAV-20030104-U;Abfälle aus der Biotonne;293;4676,4;67,8;4606,2;2,4
2019;EAV-200302-U;Marktabfälle;90;96,1;-;96,1;-
2019;EAV-200303-U;Straßenkehricht;264;573,7;3,3;569,5;0,9
2019;EAV-200304-U;Fäkalschlamm;4;3,6;-;3,6;-
2019;EAV-200306-U;Abfälle aus der Kanalreinigung;126;82,3;0,2;82,1;-
2019;EAV-200307-U;Sperrmüll;516;2790,4;7,3;2759,9;23,2
2019;EAV-200399-U;Siedlungsabfälle a.n.g.;36;35,5;0,0;35,5;-
2019;EAV-990000-G;Gefährliche Abfälle insgesamt;2881;27415,4;2558,9;22555,4;2301,1
2020;EAV-010101-U;Abfälle aus Abbau v. metallhaltigen Bodenschätzen;-;-;-;-;-
2020;EAV-010102-U;Abfälle aus Abbau v. nichtmetallh. Bodenschätzen;10;16825,0;16821,9;3,1;-
2020;EAV-010304-G;Säure bildende Aufbereitungsrückstände a. sul. Erz;-;-;-;-;-
2020;EAV-010305-G;Andere Aufbereitungsrückstände mit gefährl.Stoffen;-;-;-;-;-
2020;EAV-010306-U;Aufbereitungsrückstände (ohne 010304 und 010305);7;3,1;-;3,1;-
2020;EAV-010307-G;Abfälle aus Verarb. metallhaltiger Bodenschätze;-;-;-;-;-
2020;EAV-010308-U;Staubende und pulvrige Abfälle (ohne 010307);3;0,1;-;0,1;-
2020;EAV-010309-U;Rotschlamm aus Aluminiumoxidherstellung(oh.010310);-;-;-;-;-
2020;EAV-010310-G;Rotschlamm mit gefährlichen Stoffen (ohne 010307);-;-;-;-;-
2020;EAV-010399-U;Verarb. von metallh. Bodenschätzen: Abfälle a.n.g.;3;0,1;-;0,1;-
2020;EAV-010407-G;Abfälle a.Weiterverarb. nichtmetallh. Bodenschätze;10;42,6;-;41,8;0,7
2020;EAV-010408-U;Abfälle von Kies- und Gesteinsbruch (ohne 010407);16;168,2;162,7;5,5;-
2020;EAV-010409-U;Abfälle von Sand und Ton;17;7,8;4,3;3,5;-
2020;EAV-010410-U;Staubende und pulvrige Abfälle (ohne 010407);20;20,9;4,0;16,9;-
2020;EAV-010411-U;Abfälle aus Verarb. v.Kali-u.Steinsalz (oh.010407);11;10454,2;10432,1;22,1;-
2020;EAV-010412-U;Aufbereitungsrück. u.a. Abfälle (oh.010407,010411);-;-;-;-;-
2020;EAV-010413-U;Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);37;38,5;32,4;6,1;-
2020;EAV-010499-U;Verarb. v. nichtmetallh. Bodensch.: Abfälle a.n.g.;3;0,0;0,0;0,0;-
2020;EAV-010504-U;Schlämme und Abfälle aus Süßwasserbohrungen;35;53,4;0,1;53,3;-
2020;EAV-010505-G;Ölhaltige Bohrschlämme und -abfälle;9;4,2;-;4,2;-
2020;EAV-010506-G;Bohrschlämme u.a. Bohrabfälle mit gefährl. Stoffen;6;8,5;-;8,5;-
2020;EAV-010507-U;Barythaltige Bohrschlä.,-abfälle(oh.010505,010506);-;-;-;-;-
2020;EAV-010508-U;Chloridhalt. Bohrschlä.,-abfälle(oh.010505,010506);11;22,9;-;22,9;-
2020;EAV-010599-U;Bohrschlämme u. andere Bohrabfälle: Abfälle a.n.g.;3;0,8;-;0,8;-
2020;EAV-020101-U;Landwirtsch.u.a.:Schlämme v.Wasch-,Reinigungsvorg.;6;0,5;-;0,5;-
2020;EAV-020102-U;Landwirtsch.u.a.: Abfälle aus tierischem Gewebe;16;46,2;-;46,2;-
2020;EAV-020103-U;Landwirtsch.u.a.: Abfälle aus pflanzlichem Gewebe;275;706,7;68,8;635,0;3,0
2020;EAV-020104-U;Landwirtsch.u.a.:Kunststoffabfälle (ohne Verpack.);64;31,6;0,4;29,0;2,2
2020;EAV-020106-U;Tierische Ausscheidungen, Gülle/Jauche/Stallmist;209;669,0;172,8;487,9;8,2
2020;EAV-020107-U;Abfälle aus der Forstwirtschaft;60;236,9;6,7;230,2;0,0
2020;EAV-020108-G;Abfälle von Chemikalien für die Landwirtschaft;21;1,9;0,0;1,4;0,5
2020;EAV-020109-U;Abfälle v. Chemik. f. d. Landwirtschaft(oh.020108);8;0,2;-;0,1;0,1
2020;EAV-020110-U;Landwirtschaft u.a.: Metallabfälle;16;1,3;-;1,3;0,0
2020;EAV-020199-U;Landwirtschaft u.a.: Abfälle a.n.g.;17;1,7;-;1,7;-
2020;EAV-020201-U;Fleisch u.a.:Schlämme v.Wasch-,Reinigungsvorgängen;10;21,0;17,2;3,8;-
2020;EAV-020202-U;Fleisch u.a.: Abfälle aus tierischem Gewebe;21;104,8;1,9;97,5;5,4
2020;EAV-020203-U;Fleisch u.a.: Für Verzehr/Verarb. ungeeig.Stoffe;139;460,6;5,5;424,7;30,4
2020;EAV-020204-U;Fleisch u.a.: Schlämme(betriebseig.Abwasserbeh.);194;867,7;39,2;823,1;5,4
2020;EAV-020299-U;Verarb. von Fleisch, Fisch u.a.: Abfälle a.n.g.;25;91,9;0,0;81,5;10,4
2020;EAV-020301-U;Obst u.a.:Schlämme aus Wasch-,Reinigungsproz. u.a.;30;56,3;-;56,3;-
2020;EAV-020302-U;Obst u.a.: Abfälle von Konservierungsstoffen;-;-;-;-;-
2020;EAV-020303-U;Obst u.a.: Abfälle aus Extraktion mit Lösemitteln;5;1,0;-;1,0;-
2020;EAV-020304-U;Obst u.a.: Für Verzehr/Verarb. ungeeignete Stoffe;226;415,3;93,2;316,3;5,8
2020;EAV-020305-U;Obst u.a.: Schlämme (betriebseig. Abwasserbeh.);32;26,0;0,1;25,9;-
2020;EAV-020399-U;Verarbeitung von Obst, Gemüse u.a.: Abfälle a.n.g.;27;87,3;38,1;41,4;7,8
2020;EAV-020401-U;Zuckerherstellung: Rübenerde;-;-;-;-;-
2020;EAV-020402-U;Zuckerherst.: Nicht spezif. Calciumcarbonatschlamm;3;0,8;-;0,8;-
2020;EAV-020403-U;Zuckerherst.: Schlämme (betriebseig.Abwasserbeh.);-;-;-;-;-
2020;EAV-020499-U;Zuckerherstellung: Abfälle a.n.g.;4;109,9;109,2;0,7;-
2020;EAV-020501-U;Milchverarbeitung: Für Verzehr/Verarb. ungeeig.St.;50;51,2;0,5;50,7;0,1
2020;EAV-020502-U;Milchverarb.: Schlämme (betriebseig. Abwasserbeh.);35;52,1;-;52,1;-
2020;EAV-020599-U;Milchverarbeitung: Abfälle a.n.g.;5;19,4;-;19,4;-
2020;EAV-020601-U;Back-,Süßwaren: Für Verzehr/Verarb. ungeeig. St.;91;317,1;4,0;278,1;35,1
2020;EAV-020602-U;Back-,Süßwaren: Abfälle von Konservierungsstoffen;-;-;-;-;-
2020;EAV-020603-U;Back-,Süßwaren: Schlämme(betriebseig.Abwasserbeh.);7;6,0;-;6,0;-
2020;EAV-020699-U;Herstellung von Back- und Süßwaren: Abfälle a.n.g.;-;-;-;-;-
2020;EAV-020701-U;Getränke: Abfälle aus der Wäsche, Reinigung u.a.;5;1,6;-;1,6;-
2020;EAV-020702-U;Getränke: Abfälle aus der Alkoholdestillation;23;233,1;204,9;28,2;-
2020;EAV-020703-U;Getränke: Abfälle aus der chemischen Behandlung;-;-;-;-;-
2020;EAV-020704-U;Getränke: Für Verzehr/Verarb. ungeeignete Stoffe;61;67,4;-;67,4;-
2020;EAV-020705-U;Getränke: Schlämme (betriebseigene Abwasserbeh.);12;5,3;-;5,3;-
2020;EAV-020799-U;Herstellung von Getränken: Abfälle a.n.g.;15;3,5;0,1;3,4;-
2020;EAV-030101-U;Holzbearbeitung u.a.: Rinden- und Korkabfälle;30;362,0;276,6;85,4;-
2020;EAV-030104-G;Sägemehl, Späne, Abschnitte, Holz, Spanplatten;7;4,3;-;0,7;3,6
2020;EAV-030105-U;Sägemehl,Späne,Abschnitte,Holz,Spanpl. (oh.030104);398;1871,1;1191,8;572,5;106,8
2020;EAV-030199-U;Holzbearbeitung u.a.: Abfälle a.n.g.;4;60,1;60,1;0,0;-
2020;EAV-030201-G;Halogenfreie organische Holzschutzmittel;4;0,0;0,0;0,0;-
2020;EAV-030202-G;Chlororganische Holzschutzmittel;-;-;-;-;-
2020;EAV-030203-G;Metallorganische Holzschutzmittel;-;-;-;-;-
2020;EAV-030204-G;Anorganische Holzschutzmittel;-;-;-;-;-
2020;EAV-030205-G;Andere Holzschutzmittel mit gefährlichen Stoffen;3;0,0;-;0,0;0,0
2020;EAV-030299-U;Holzschutzmittel a.n.g.;-;-;-;-;-
2020;EAV-030301-U;Papierherstellung u.a.: Rinden- und Holzabfälle;26;303,0;176,5;126,5;-
2020;EAV-030302-U;Sulfitschlämme (aus Rückgewinnung von Kochlaugen);-;-;-;-;-
2020;EAV-030305-U;Deinking-Schlämme aus dem Papierrecycling;10;527,8;304,9;202,0;20,9
2020;EAV-030307-U;Mechanisch abgetrennte Abfälle (Papierabfälle);90;820,2;174,8;635,7;9,7
2020;EAV-030308-U;Abfälle aus Sortierung v. Papier für Recycling;8;17,7;-;17,7;-
2020;EAV-030309-U;Kalkschlammabfälle;8;18,6;0,3;18,3;-
2020;EAV-030310-U;Faserabfälle, Faser-, Füller- und Überzugsschlämme;65;1379,9;533,4;844,3;2,3
2020;EAV-030311-U;Schlämme a. betriebs.Abwasserbehandlung(oh.030310);33;79,4;38,6;40,8;-
2020;EAV-030399-U;Papierherstellung u.a.: Abfälle a.n.g.;14;20,8;11,6;8,3;0,9
2020;EAV-040101-U;Fleischabschabungen und Häuteabfälle;-;-;-;-;-
2020;EAV-040102-U;Geäschertes Leimleder;-;-;-;-;-
2020;EAV-040103-G;Entfettungsabfälle, lösemittelh.,oh.flüssige Phase;-;-;-;-;-
2020;EAV-040104-U;Chromhaltige Gerbereibrühe;-;-;-;-;-
2020;EAV-040105-U;Chromfreie Gerbereibrühe;-;-;-;-;-
2020;EAV-040106-U;Chromhaltige Schlämme;11;96,5;82,5;13,9;-
2020;EAV-040107-U;Chromfreie Schlämme;5;3,4;-;3,4;-
2020;EAV-040108-U;Chromhaltige Abfälle aus gegerbtem Leder;11;3,9;0,4;2,4;1,0
2020;EAV-040109-U;Abfälle aus der Zurichtung und dem Finish;-;-;-;-;-
2020;EAV-040199-U;Leder- und Pelzindustrie: Abfälle a.n.g.;5;0,3;-;0,3;-
2020;EAV-040209-U;Abfälle aus Verbundmaterialien (Elastomer u.a.);36;20,0;-;16,6;3,4
2020;EAV-040210-U;Organische Stoffe aus Naturstoffen (z.B. Fette);4;1,0;-;1,0;-
2020;EAV-040214-G;Abfälle aus dem Finish mit organ. Lösungsmittel;-;-;-;-;-
2020;EAV-040215-U;Abfälle aus dem Finish (ohne 040214);9;0,6;0,1;0,5;-
2020;EAV-040216-G;Farbstoffe und Pigmente mit gefährlichen Stoffen;8;0,7;-;0,1;0,6
2020;EAV-040217-U;Farbstoffe und Pigmente (ohne 040216);5;0,0;-;0,0;-
2020;EAV-040219-G;Textilindustrie:Schlämme(betriebseig.Abwasserbeh.);3;0,0;0,0;0,0;-
2020;EAV-040220-U;Schlämme aus betriebseign. Abwasserbeh.(oh.040219);12;1,1;-;1,1;-
2020;EAV-040221-U;Abfälle aus unbehandelten Textilfasern;12;8,3;0,8;2,2;5,3
2020;EAV-040222-U;Abfälle aus verarbeiteten Textilfasern;56;28,6;0,6;24,5;3,5
2020;EAV-040299-U;Textilindustrie: Abfälle a.n.g.;5;3,4;-;0,1;3,3
2020;EAV-050102-G;Erdölraffination: Entsalzungsschlämme;-;-;-;-;-
2020;EAV-050103-G;Erdölraffination: Bodenschlämme aus Tanks;26;11,0;2,3;8,3;0,4
2020;EAV-050104-G;Erdölraffination: Saure Alkylschlämme;-;-;-;-;-
2020;EAV-050105-G;Erdölraffination: Verschüttetes Öl;-;-;-;-;-
2020;EAV-050106-G;Erdölraffination: Ölhalt.Schlämme a.Betriebsvorg.;25;12,8;1,4;11,4;0,0
2020;EAV-050107-G;Erdölraffination: Säureteere;-;-;-;-;-
2020;EAV-050108-G;Erdölraffination: Andere Teere;4;0,2;-;0,2;-
2020;EAV-050109-G;Erdölraffin.: Schlämme (betriebseig.Abwasserbeh.);12;8,2;4,4;3,1;0,7
2020;EAV-050110-U;Schlämme a. betriebseign. Abwasserbeh.(oh.050109);3;3,6;-;3,6;-
2020;EAV-050111-G;Erdölraffin.: Abf. aus Brennstoffrein. mit Basen;-;-;-;-;-
2020;EAV-050112-G;Erdölraffination: Säurehaltige Öle;-;-;-;-;-
2020;EAV-050113-U;Erdölraff.: Schlämme aus Kesselspeisewasseraufber.;-;-;-;-;-
2020;EAV-050114-U;Erdölraffination: Abfälle aus Kühlkolonnen;-;-;-;-;-
2020;EAV-050115-G;Erdölraffination: Gebrauchte Filtertone;7;0,4;0,0;0,4;-
2020;EAV-050116-U;Erdölraff.:Schwefelh. Abfälle aus Ölentschwefelung;5;0,2;-;0,2;-
2020;EAV-050117-U;Erdölraffination: Bitumen;4;0,1;-;0,1;-
2020;EAV-050199-U;Erdölraffination: Abfälle a.n.g.;-;-;-;-;-
2020;EAV-050601-G;Kohlepyrolyse: Säureteere;-;-;-;-;-
2020;EAV-050603-G;Kohlepyrolyse: Andere Teere;18;2,7;0,0;2,7;-
2020;EAV-050604-U;Kohlepyrolyse: Abfälle aus Kühlkolonnen;-;-;-;-;-
2020;EAV-050699-U;Kohlepyrolyse: Abfälle a.n.g.;3;0,2;-;0,2;-
2020;EAV-050701-G;Erdgasreinigung,-transport: Quecksilberh. Abfälle;4;0,2;-;0,2;0,0
2020;EAV-050702-U;Erdgasreinigung,-transport:Schwefelhaltige Abfälle;6;0,3;-;0,2;0,0
2020;EAV-050799-U;Erdgasreinigung,-transport: Abfälle a.n.g.;-;-;-;-;-
2020;EAV-060101-G;Schwefelsäure und schweflige Säure;45;138,5;26,4;102,5;9,5
2020;EAV-060102-G;Salzsäure;24;5,8;0,0;5,8;-
2020;EAV-060103-G;Flusssäure;10;2,2;2,0;0,2;-
2020;EAV-060104-G;Phosphorsäure und phosphorige Säure;21;1,7;-;1,6;0,1
2020;EAV-060105-G;Salpetersäure und salpetrige Säure;18;0,9;0,0;0,8;-
2020;EAV-060106-G;Andere Säuren;54;12,0;0,3;11,4;0,2
2020;EAV-060199-U;Säuren: Abfälle a.n.g.;3;0,9;-;0,9;-
2020;EAV-060201-G;Calciumhydroxid;9;1,1;-;1,0;0,1
2020;EAV-060203-G;Ammoniumhydroxid;16;0,7;0,0;0,7;-
2020;EAV-060204-G;Natrium- und Kaliumhydroxid;31;11,0;0,0;10,3;0,7
2020;EAV-060205-G;Andere Basen;55;15,5;0,3;12,2;3,0
2020;EAV-060299-U;Basen: Abfälle a.n.g.;5;1,2;-;1,2;-
2020;EAV-060311-G;Feste Salze u. Lösungen, Cyanid enthaltend;7;0,4;-;0,4;0,0
2020;EAV-060313-G;Feste Salze u. Lösungen, Schwermetalle enthaltend;51;12,0;6,6;4,9;0,5
2020;EAV-060314-U;Feste Salze und Lösungen (ohne 060311 und 060313);64;106,7;3,8;101,8;1,1
2020;EAV-060315-G;Metalloxide, die Schwermetalle enthalten;26;3,9;0,3;3,5;0,2
2020;EAV-060316-U;Metalloxide (ohne 060315);46;44,4;2,5;41,8;0,0
2020;EAV-060399-U;Salze, Salzlösungen, Metalloxide: Abfälle a.n.g.;5;0,6;-;0,6;-
2020;EAV-060403-G;Arsenhaltige Abfälle;10;0,7;-;0,4;0,3
2020;EAV-060404-G;Quecksilberhaltige Abfälle;27;2,5;0,0;2,0;0,4
2020;EAV-060405-G;Abfälle, die andere Schwermetalle enthalten;32;54,3;1,1;52,8;0,4
2020;EAV-060499-U;Metallhaltige Abfälle a.n.g.;-;-;-;-;-
2020;EAV-060502-G;Schlämme aus betriebseigener Abwasserbehandlung;50;56,5;1,4;43,7;11,4
2020;EAV-060503-U;Schlämme aus betriebseign. Abwasserbeh.(oh.060502);63;97,5;15,8;81,7;0,1
2020;EAV-060602-G;Abfälle, die gefährliche Sulfide enthalten;10;0,4;0,0;0,4;0,0
2020;EAV-060603-U;Sulfidhaltige Abfälle (ohne 060602);-;-;-;-;-
2020;EAV-060699-U;Schwefelhaltige Chemikalien: Abfälle a.n.g.;-;-;-;-;-
2020;EAV-060701-G;Asbesthaltige Abfälle aus der Elektrolyse;-;-;-;-;-
