"Waste disposal: Germany, years, type of facility, types of waste",,,,,,,,,,,,
Elevation of waste disposal,,,,,,,,,,,,
Germany,,,,,,,,,,,,
Year Plant Type Fallout Types,,waste disposal facilities,Input from waste disposal plants,Waste generated in my own business,Waste brought in from within the country,Angel after fall from abroad,Waste disposal plants with output,Output of waste disposal systems,If for separation,Errors for evaluation,Examples of preparation procedures,Absence of others
Natural materials in mining,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,12,26753.6,26753.6,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,0,0,0,0,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,0,0,0,0,0,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",0,0,0,0,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,0,0,0,0,0,0
EAV-99,dangerous accidents,0,0,0,0,0,0,0,0,0,0,0
Case in underground mining sites,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,6,16.8,9.6,5.8,1.4,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,8,71.2,0,71,0.2,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,3,2.2,0,2.2,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,12,210.8,0,208.9,2,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,3,6.8,0,6.8,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,0,0,0,0,0,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",12,2169.1,0,1902.9,266.2,0,0,0,0,0,0
EAV-99,dangerous accidents,11,2174.3,0,1921.2,253.1,0,0,0,0,0,0
Waste in surface mining sites,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,25,242.7,43,199.6,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,34,3901.4,80.1,3821.3,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,8,9.4,0,9.4,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,9,32.5,0,32.5,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,2028,84579,1636.5,81878,1064.5,0,0,0,0,0,0
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",26,830.1,8.8,821.3,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),11,27.6,0.1,27.6,0,0,0,0,0,0,0
EAV-01,Falls from the extraction of land values,66,2605.5,2547.7,57.8,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,4,0.9,0.2,0.7,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",4,0.2,0,0.2,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",5,0.5,0,0.5,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,54,222.7,9.9,209.7,3.1,4,1,0,1,0,0
EAV-07,Fallen from organic chemical processes,11,3.6,0.9,1.4,1.3,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",18,1.7,0.2,1.5,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,223,11674.6,7029.8,4608.5,36.3,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,44,246,162.8,82.1,1.1,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,147,92.6,18.1,73.7,0.8,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",24,1.4,0.2,1.3,0,4,0.2,0.1,0,0,0.1
EAV-16,Cases not otherwise listed in the directory,115,258.5,157.2,97.4,3.9,0,0,0,0,0,0
EAV-17,construction and demolition waste,941,24385.3,2240,21857.8,287.4,14,40,4.5,32.3,0,3.3
EAV-18,Fall from the medical care,3,1,0,1,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",209,5391.7,872.5,4421.9,97.3,125,1510.7,1182.8,235.7,0,92.3
EAV-20,Municipal waste (household waste and similar waste),104,123.4,3.4,119.1,0.8,7,1.1,0.1,1,0,0
EAV-99,dangerous accidents,211,4786.8,742,3680.2,364.7,52,594.8,507.1,87.5,0,0.1
Thermal waste treatment plants,,,,,,,,,,,,
EAV-19,"Waste from waste treatment facilities, etc",128,8944.4,1151,6744.6,1048.8,137,7096.5,530.6,6450.8,0,115.1
EAV-20,Municipal waste (household waste and similar waste),93,13121.3,17.4,12710.3,393.7,13,5.3,0,5.1,0,0.2
EAV-99,dangerous accidents,99,2423.9,889.4,1249.3,285.2,128,1506.4,383.5,1121.7,0,1.2
combustion plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",96,630.1,128.6,468.3,33.2,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,462,5172.9,3052.5,2023.8,96.6,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",5,8.3,0,8.3,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,5,133,0.4,86.1,46.5,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,27,207.8,110.6,81,16.2,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",7,0.2,0,0.2,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,16,887,9.3,742.8,134.9,424,1084.7,313.5,630.1,0,141
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,10,36.7,0.1,35.6,0.9,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,9,37.6,5.6,13.6,18.4,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",10,52.3,3.8,47.6,0.9,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",45,228.1,28,198.1,1.9,5,0.1,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,17,167.1,1.4,156.9,8.8,5,0.4,0,0.3,0,0
EAV-17,construction and demolition waste,51,650.3,0.3,594.5,55.6,14,3.5,0.2,1.2,0,2.1
EAV-18,Fall from the medical care,6,28.8,0,28.8,0,0,0,0,0,0,0
EAV-20,Municipal waste (household waste and similar waste),40,578.4,1.2,570.7,6.4,5,2.3,0.4,1.9,0,0
EAV-99,dangerous accidents,81,2055.3,126.9,1592.5,335.9,98,719.1,299.6,419.4,0,0
Chemical-physical treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,27,33.1,0,33.1,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",36,518,474.3,43.7,0,12,106.7,100.1,6.6,0,0
EAV-03,Waste from woodworking etc,9,2155,2150.8,4.1,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",22,23.5,0.9,16,6.6,3,0.3,0.3,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",31,13.1,0,11.2,1.8,7,1.7,0,1.7,0,0
EAV-06,Drops from inorganic-chemical processes,92,208.6,44.6,146,18,56,53.2,9.2,39.7,0,4.2
EAV-07,Fallen from organic chemical processes,120,372.8,139.7,224.5,8.6,56,61.8,16.9,44.5,0,0.4
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",88,146.1,21.5,119.4,5.2,33,16.6,2.2,14.4,0,0
EAV-09,Drops from the photographic industry,32,13.9,0,13.6,0.3,18,6.1,3.6,2.5,0,0
EAV-10,Drops from thermal processes,64,524.9,91.8,349,84,20,73.4,29.3,43,0,1.1
EAV-11,Fall from the chemical surface treatment,184,1259,844.9,368.6,45.4,65,51.3,28.9,11.3,0,11
EAV-12,Drops from mechanical forming processes,138,720.5,92.6,621.4,6.4,62,61.7,4.1,56.9,0,0.6
EAV-13,Lakes and ravines from liquid fuels,136,678.1,60.5,557.9,59.8,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",41,36.6,0.1,28.6,8,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",34,20.2,1.1,18.2,0.8,59,14.5,0.6,13.7,0,0.2
EAV-16,Cases not otherwise listed in the directory,137,386,11.4,335.4,39.1,66,49.5,22,27.3,0,0.2
EAV-17,construction and demolition waste,29,597.5,2,595.5,0.1,30,217.3,152.9,42.4,0,22
EAV-18,Fall from the medical care,15,5.9,0.1,5.6,0.2,13,4.9,0.8,4,0,0
EAV-19,"Waste from waste treatment facilities, etc",139,1600.4,500.3,1008.7,91.3,346,2713.7,720.2,1152.8,0,840.8
EAV-20,Municipal waste (household waste and similar waste),49,44,0,41.5,2.4,23,18.7,0.7,18,0,0
EAV-99,dangerous accidents,439,4817.2,1300.5,3173.1,343.6,393,1456.3,702.3,737.4,0,16.5
soil treatment plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,9,8.9,0,8.9,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",6,4.4,0,4.4,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,7,19.4,0,19.4,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,6,8,0,8,0,3,0.5,0.2,0.3,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,26,68.1,1.4,66.5,0.3,4,4.6,2.1,2.6,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,19,7.3,0,7.3,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,34,22.6,3.4,19.2,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",4,2.3,0,2.3,0,6,0.7,0,0.3,0,0.4
EAV-16,Cases not otherwise listed in the directory,13,2.6,0,2.6,0,0,0,0,0,0,0
EAV-17,construction and demolition waste,96,3260.5,189.3,3040.3,30.9,83,2659.7,212.8,1915,0,532
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",58,147.5,11.7,119.5,16.3,60,1046.7,376.7,561.6,0,108.4
EAV-20,Municipal waste (household waste and similar waste),42,299.4,0.8,293.6,5,13,29.9,0.4,13.7,0,15.8
EAV-99,dangerous accidents,80,1451.9,97.9,1317,37,45,231.7,132.3,98.9,0,0.5
Biological treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",487,3733.1,787.6,2867.8,77.7,6,5,0.1,4.8,0,0.1
EAV-03,Waste from woodworking etc,56,153.2,0,153.1,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",8,3.4,0,3.4,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,17,92,0,91.5,0.5,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,12,5.8,0,5.8,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",13,9.1,0,9.1,0,4,0.6,0,0.6,0,0
EAV-16,Cases not otherwise listed in the directory,5,17.5,0,17.5,0,7,4.6,4.3,0.2,0,0.1
EAV-17,construction and demolition waste,26,100.3,0.6,99.7,0,13,7.6,0.3,4.5,0,2.8
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",179,1563.8,579,984.8,0,1272,10989.2,152,1480.7,0,9356.5
EAV-99,dangerous accidents,0,0,0,0,0,0,0,0,0,0,0
Mechanical-biological ointment treatment systems,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",14,2.8,0,2.8,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,10,43.4,0.4,42.8,0.1,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",5,4.5,0,4.5,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,10,12.4,0,11.1,1.3,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",4,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,5,0.1,0,0.1,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",24,72.2,0,72.2,0,0,0,0,0,0,0
EAV-16,Cases not otherwise listed in the directory,4,0.1,0,0.1,0,4,1.1,0,1.1,0,0
EAV-17,construction and demolition waste,25,55,0,55,0,4,1.8,1.7,0.1,0,0
EAV-18,Fall from the medical care,7,3.7,0,3.7,0,3,1.5,0,1.5,0,0
EAV-19,"Waste from waste treatment facilities, etc",46,917.2,17.7,871.7,27.7,54,3516,1092.9,2396.4,0,26.7
EAV-20,Municipal waste (household waste and similar waste),45,3052.7,46.2,3006.5,0,16,31.7,9.1,22.6,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,3,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",0,0,0,0,0,84,0.1,0,0.1,0,0
EAV-16,Cases not otherwise listed in the directory,1212,524.4,0,520.5,3.9,1201,513.3,1.6,489.4,0,22.3
EAV-17,construction and demolition waste,0,0,0,0,0,65,9.1,0,9,0,0.1
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",0,0,0,0,0,13,0.7,0,0.6,0,0
EAV-20,Municipal waste (household waste and similar waste),0,0,0,0,0,8,0.1,0,0.1,0,0
EAV-99,dangerous accidents,1211,506.3,0,502.7,3.6,1137,18.3,0.1,17.6,0,0.6
Shredder systems and scrap shears,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",23,59.5,1.9,55.3,2.4,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,47,142.4,9,133.5,0,5,122.6,0,39.6,0,83
EAV-04,"Scraps from the Leather, Fur and Textile Industry",3,14.6,0,14.6,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-07,Fallen from organic chemical processes,27,123.6,2.2,111,10.4,7,8.4,0,4.6,0,3.8
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-09,Drops from the photographic industry,6,0.3,0,0.3,0,3,0.2,0,0.2,0,0
EAV-10,Drops from thermal processes,8,258.1,128.7,78,51.4,4,10.2,0,10.2,0,0
EAV-20,Municipal waste (household waste and similar waste),272,1849.8,40.3,1795.7,13.8,53,226.4,9.5,204.2,0,12.8
EAV-99,dangerous accidents,117,547,5.9,488.6,52.6,133,746.3,11.3,731.9,0,3.2
sorting plants,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",52,55.5,0,54.2,1.3,19,45.8,0,38.7,0,7.1
EAV-03,Waste from woodworking etc,59,129.1,0,129,0.2,18,40.4,0.5,31.5,0,8.4
EAV-04,"Scraps from the Leather, Fur and Textile Industry",28,19.6,0,18.2,1.5,6,3.5,0,2.6,0,0.9
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,3,1.1,0,1.1,0,4,1.1,0,1.1,0,0
EAV-07,Fallen from organic chemical processes,73,57.5,0,51.4,6.1,28,8.3,0,7.2,0,1
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",19,0.8,0,0.8,0,10,0.4,0,0,0,0.3
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,33,76,0,66.6,9.4,13,25.8,1.4,24.1,0,0.3
EAV-11,Fall from the chemical surface treatment,4,0.4,0,0.4,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,78,277.7,0,270,7.6,43,241.4,43.4,95.3,0,102.7
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",672,8779.6,22.7,8454.7,302.1,288,1034.1,17.9,873.2,0,142.9
EAV-16,Cases not otherwise listed in the directory,200,199.5,0.1,193.3,6,204,143.2,14.6,115.1,0,13.5
EAV-17,construction and demolition waste,646,5877.2,31.2,5795.2,50.8,407,2388.9,178.6,1649.3,0,561.1
EAV-18,Fall from the medical care,12,6.1,0,6.1,0,8,4.7,0.9,3.9,0,0
EAV-19,"Waste from waste treatment facilities, etc",254,2173.2,277.9,1715.9,179.4,872,19518.6,801.5,12096.4,0,6620.7
EAV-20,Municipal waste (household waste and similar waste),683,8235,2.8,8167.6,64.6,334,1963.3,248.4,1462,0,252.9
EAV-99,dangerous accidents,194,204.7,0.2,204.1,0.4,238,266.7,24.8,226.2,0,15.7
dismantling instrument,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,0,0,0,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
EAV-05,"Drains from the oil refining, earth gas purification",0,0,0,0,0,0,0,0,0,0,0
EAV-06,Drops from inorganic-chemical processes,0,0,0,0,0,7,0.6,0.5,0.1,0,0
EAV-07,Fallen from organic chemical processes,0,0,0,0,0,0,0,0,0,0,0
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",8,0.1,0,0,0,24,0.3,0,0.3,0,0
EAV-09,Drops from the photographic industry,0,0,0,0,0,0,0,0,0,0,0
EAV-10,Drops from thermal processes,0,0,0,0,0,0,0,0,0,0,0
EAV-11,Fall from the chemical surface treatment,0,0,0,0,0,0,0,0,0,0,0
EAV-12,Drops from mechanical forming processes,0,0,0,0,0,0,0,0,0,0,0
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",12,0.6,0,0.6,0,41,1.9,0.1,1.7,0,0.1
EAV-16,Cases not otherwise listed in the directory,180,277.9,8.6,259.7,9.6,225,276.5,2,267.8,0,6.7
EAV-17,construction and demolition waste,29,7.5,0.5,6.8,0.2,81,19.6,0.9,18.2,0,0.4
EAV-18,Fall from the medical care,0,0,0,0,0,0,0,0,0,0,0
EAV-19,"Waste from waste treatment facilities, etc",32,14.2,0.1,13.7,0.4,237,466.2,10.5,412.8,0,42.9
EAV-20,Municipal waste (household waste and similar waste),193,538.8,0.7,500.7,37.4,106,52,0.1,49.1,0,2.8
EAV-99,dangerous accidents,210,624.9,9.2,574.7,41.1,220,166.2,6.7,158.2,0,1.3
Other treatment facilities,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,15,27.3,4.1,23.1,0.1,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",135,1157.3,31.5,1025.2,100.6,31,533.3,79.4,322.1,0,131.8
EAV-03,Waste from woodworking etc,50,519,0,442.2,76.8,14,333.8,1.2,43.8,0,288.9
EAV-04,"Scraps from the Leather, Fur and Textile Industry",20,26,0,15.4,10.6,5,2.1,1.2,0.3,0,0.6
EAV-05,"Drains from the oil refining, earth gas purification",20,18.7,9.3,9.2,0.3,6,3.9,0.7,3.2,0,0
EAV-06,Drops from inorganic-chemical processes,55,269.2,150.8,113.3,5.1,29,51.2,4.6,42.5,0,4.1
EAV-07,Fallen from organic chemical processes,124,313.9,30.5,257.2,26.2,55,46.4,8.3,15.1,0,23.1
EAV-08,"Cases from HZVA v. Coatings, adhesives etc.",43,69.6,0,63.3,6.3,21,5.4,3.9,1.4,0,0.1
EAV-09,Drops from the photographic industry,15,4.2,0,3.8,0.4,5,0.4,0,0.4,0,0
EAV-10,Drops from thermal processes,143,3696.4,591.4,2802.4,302.6,82,1889.7,531.5,653.1,0,705.1
EAV-11,Fall from the chemical surface treatment,44,125.1,0.3,81.9,42.9,20,180.8,162.4,12.9,0,5.5
EAV-12,Drops from mechanical forming processes,161,923.4,20.3,854,49,83,287.9,4.2,223.7,0,60
EAV-13,Lakes and ravines from liquid fuels,0,0,0,0,0,0,0,0,0,0,0
EAV-14,"Waste from organic solvents, refrigerants",0,0,0,0,0,0,0,0,0,0,0
EAV-15,"Packaging all, absorbent masses, wipes",216,1353.6,25.8,1219.2,108.5,149,202.2,15.6,119.5,0,67.1
EAV-16,Cases not otherwise listed in the directory,175,1038.5,4.8,824.1,209.6,133,248.3,11.9,167.4,0,69
EAV-17,construction and demolition waste,267,2811.1,52.5,2580.9,177.7,217,1458.3,129.2,955,0,374.1
EAV-18,Fall from the medical care,14,3,0,3,0,5,1.5,0,1.5,0,0
EAV-19,"Waste from waste treatment facilities, etc",326,10637.4,1833,8053.7,750.8,523,16888,1997.4,8808.3,0,6082.4
EAV-20,Municipal waste (household waste and similar waste),216,2127.2,17.2,2068.8,41.1,144,498.6,63.1,354.5,0,81
EAV-99,dangerous accidents,229,3355.9,216.8,2428.1,711,217,2526.7,579,1651.5,0,296.2
Natural materials in mining,,,,,,,,,,,,
EAV-01,Falls from the extraction of land values,11,27407.3,27407.3,0,0,0,0,0,0,0,0
EAV-02,"Crops from agriculture, forestry etc.",0,0,0,0,0,0,0,0,0,0,0
EAV-03,Waste from woodworking etc,0,0,0,0,0,0,0,0,0,0,0
EAV-04,"Scraps from the Leather, Fur and Textile Industry",0,0,0,0,0,0,0,0,0,0,0
