GENESIS table: 32161-0002
Companies, amount of waste generated: Germany, years,;;;;;;
Economic sectors, types of waste;;;;;;
Waste generation survey;;;;;;
Germany;;;;;;
;;;;;Operations;Amount of waste generated
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-16;Wastes not included elsewhere in the inventory;883;575.1
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-17;Construction and demolition waste;1067;1032.6
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-18;Wastes from medical care;10;0.0
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;EAV-19;waste from waste treatment plants etc.;310;255.5
2014;WZ08-24-03;Metal production and processing, manuf. of metal ore; EAV-20; municipal waste (household waste and similar waste); 1784; 277.0
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore.;EAV-99;Hazardous waste;-;-
2014;WZ08-24-03;Metal production and processing, manuf. v.Metal ore;;Total;1922;12219.9
2014;WZ08-26-03;DV devices, electr. and optical products.,vehicle construction,etc.;EAV-01;waste from the extraction of mineral resources;19;4.1
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-02; Waste from agriculture, forestry, etc.; 551; 20.2
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-03; waste from wood processing, etc.; 108; 17.0
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-04; waste from the leather, fur and textile industry; 32; 7.2
2014;WZ08-26-03;DV devices, electr. and optical products,vehicle construction,etc.;EAV-05;waste from petroleum refining, natural gas purification;15;0.2
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-06; waste from inorganic chemical processes; 617; 52.4
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-07; waste from organic chemical processes; 1221; 73.5
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-08; waste from MFSU from coatings, adhesives, etc.; 2285; 76.3
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-09; waste from the photographic industry; 120; 0.3
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-10; waste from thermal processes; 347; 329.0
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-11; Waste from chemical surface treatment; 884; 76.8
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-12; Waste from mechanical shaping processes; 3460; 3869.1
2014;WZ08-26-03;DV devices, electr. and optical products,vehicle construction,etc.;EAV-13;waste oil and liquid fuels;2510;78.6
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-14; Waste from organic solvents, coolants; 1316; 13.4
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-15; packaging waste, absorbent masses, wipes; 4956; 729.5
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-16; Waste not included elsewhere in the inventory; 2535; 448.1
2014;WZ08-26-03;DV devices, electr. and optical production, vehicle construction, etc.; EAV-17; construction and demolition waste; 2681; 1488.5
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-18; waste from medical care; 46; 0.1
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-19; waste from waste treatment plants, etc.; 588; 112.0
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.; EAV-20; municipal waste (household waste and similar waste); 5141; 763.8
2014;WZ08-26-03;DV devices, electr. and optical products.,vehicle construction,etc.;EAV-99;hazardous waste;-;-
2014;WZ08-26-03;DV devices, electr. and optical products, vehicle construction, etc.;; Total; 5387; 8160.2
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-01;Waste from the extraction of mineral resources;-;-
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-02;Waste from agriculture, forestry, etc.;35;0.8
2014;WZ08-31-02;manufacturing of furniture and other goods;EAV-03;waste from wood processing, etc.;245;308.7
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-04;Waste from the leather, fur and textile industry;29;3.1
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-05;Waste from petroleum refining, natural gas purification;3;0.0
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-06;Waste from inorganic chemical processes;85;10.4
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-07;Waste from organic chemical processes;186;34.8
2014;WZ08-31-02;manufacturing of furniture and other goods;EAV-08;waste from MFSU from coatings,adhesives, etc.;338;6.7
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-09;Waste from the photographic industry;15;0.0
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-10;Waste from thermal processes;173;4.1
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-11;Wastes from chemical surface treatment;118;9.7
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-12;Waste from mechanical shaping processes;370;42.3
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-13;Oil waste and liquid fuel waste;221;2.0
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-14;Waste from organic solvents, coolants;155;0.9
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-15;Packaging waste, absorbent masses, wipes;925;85.4
2014;WZ08-31-02;Manufacture of furniture and other articles;EAV-16;Wastes not included elsewhere in the inventory;224;6.0
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-17;Construction and demolition waste;366;28.9
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-18;Waste from medical care;23;0.8
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-19;Waste from waste treatment plants, etc.;71;6,6
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-20;Municipal waste (household waste and similar waste);988;134.1
2014;WZ08-31-02;Manufacture of furniture and other goods;EAV-99;Hazardous waste;-;-
2014;WZ08-31-02;Manufacture of furniture and other goods;;Total;1059;685.1
2014;WZ08-35-01;Energy supply, water supply;EAV-01;Waste from mineral extraction;6;0.3
2014;WZ08-35-01;Energy supply, water supply;EAV-02;Waste from agriculture, forestry, etc.;103;2.8
2014;WZ08-35-01;Energy supply, water supply;EAV-03;Waste from wood processing, etc.;11;0.1
2014;WZ08-35-01;Energy supply, water supply;EAV-04;Waste from the leather, fur and textile industry;-;-
2014;WZ08-35-01;Energy supply, water supply;EAV-05;Waste from petroleum refining, natural gas purification;16;0.1
2014;WZ08-35-01;Energy supply, water supply;EAV-06;Waste from inorganic chemical processes;54;8.2
2014;WZ08-35-01;Energy supply, water supply;EAV-07;Waste from organic-chemical processes;77;1,2
2014;WZ08-35-01;Energy supply, water supply;EAV-08;Waste from MFSU from coatings, adhesives, etc.;137;0.1
2014;WZ08-35-01;Energy supply, water supply;EAV-09;Waste from the photographic industry;-;-
2014;WZ08-35-01;Energy supply, water supply;EAV-10;Waste from thermal processes;72;11543.4
2014;WZ08-35-01;Energy supply, water supply;EAV-11;Waste from chemical surface treatment;22;0.2
2014;WZ08-35-01;Energy supply, water supply;EAV-12;Waste from mechanical shaping processes;96;7.4
2014;WZ08-35-01;Energy supply, water supply;EAV-13;Oil waste and liquid fuel waste;251;13.5
2014;WZ08-35-01;Energy supply, water supply;EAV-14;Waste from organic solvents, coolants;57;0.1
2014;WZ08-35-01;Energy supply, water supply;EAV-15;Packaging waste, absorbent masses, wipes;384;23.0
2014;WZ08-35-01;Energy supply, water supply;EAV-16;Wastes not included elsewhere in the inventory;294;28.9
2014;WZ08-35-01;Energy supply, water supply;EAV-17;Construction and demolition waste;318;1207.0
2014;WZ08-35-01;Energy supply, water supply;EAV-18;Waste from medical care;16;0.0
2014;WZ08-35-01;Energy supply, water supply;EAV-19;Waste from waste treatment plants etc.;169;820.5
2014;WZ08-35-01;Energy supply, water supply;EAV-20;Municipal waste (household waste and similar waste);453;76.6
2014;WZ08-35-01;Energy supply, water supply;EAV-99;Hazardous waste;-;-
2014;WZ08-35-01;Energy supply, water supply;;Total;460;13733.3
2014;WZ08-45-04;Services;EAV-01;Wastes from mineral extraction;6;0.1
2014;WZ08-45-04;Services;EAV-02;Waste from agriculture, forestry, etc.;774;68.5
2014;WZ08-45-04;Services;EAV-03;Waste from wood processing, etc.;54;1.1
2014;WZ08-45-04;Services;EAV-04;Waste from the leather, fur and textile industry;7;0.0
2014;WZ08-45-04;Services;EAV-05;Wastes from petroleum refining, natural gas purification;5;6.0
2014;WZ08-45-04;Services;EAV-06;Waste from inorganic chemical processes;250;3.7
2014;WZ08-45-04;Services;EAV-07;Waste from organic chemical processes;434;19.0
2014; WZ08-45-04; Services; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 525; 3.4
2014;WZ08-45-04;Services;EAV-09;Waste from the photographic industry;317;2.0
2014;WZ08-45-04;Services;EAV-10;Waste from thermal processes;49;63.6
2014;WZ08-45-04;Services;EAV-11;Wastes from chemical surface treatment;123;1.9
2014;WZ08-45-04;Services;EAV-12;Waste from mechanical shaping processes;218;14.2
2014;WZ08-45-04;Services;EAV-13;Oil waste and liquid fuel waste;583;19.6
2014;WZ08-45-04;Services;EAV-14;Waste from organic solvents, coolants;267;1.5
2014;WZ08-45-04;Services;EAV-15;Packaging waste, absorbent masses, wipes;2577;679.4
2014;WZ08-45-04;Services;EAV-16;Waste not included elsewhere in the inventory;1137;43.4
2014;WZ08-45-04;Services;EAV-17;Construction and demolition waste;1229;1761.0
2014;WZ08-45-04;Services;EAV-18;Waste from medical care;815;232.6
2014;WZ08-45-04;Services;EAV-19;Waste from waste treatment plants etc.;289;88.3
2014;WZ08-45-04;Services;EAV-20;Municipal waste (household waste and similar waste);3184;1428.0
2014;WZ08-45-04;Services;EAV-99;Hazardous waste;-;-
2014;WZ08-45-04;Services;;Total;3222;4437.5
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-02;Waste from agriculture, forestry, etc.;197;377.9
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-03;Waste from wood processing, etc.;3;0.0
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-04;Waste from the leather, fur and textile industry;-;-
2018;WZ08-01-03;Agriculture and forestry, fisheries;EAV-05;Wastes from petroleum refining, natural gas purification;3;0.0
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-06;Waste from inorganic chemical processes;4;0.0
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-07;Waste from organic chemical processes;6;0.1
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;6;0.0
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-09;Waste from the photographic industry;-;-
2018;WZ08-01-03;Agriculture and forestry, fisheries;EAV-10;Waste from thermal processes;4;0.1
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-11;Waste from chemical surface treatment;-;-
2018;WZ08-01-03;Agriculture and forestry, fishing;EWC-12;Waste from mechanical shaping processes;3;0.1
2018;WZ08-01-03;Agriculture, forestry, fisheries;EAV-13;Oil waste and liquid fuel waste;109;1.0
2018;WZ08-01-03;Agriculture, forestry, fisheries;EAV-14;Wastes from organic solvents, coolants;12;0.0
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-15;Packaging waste, absorbent masses, wipes;321;16.4
2018;WZ08-01-03;Agriculture, forestry, fisheries;EAV-16;Wastes not included elsewhere in the inventory;118;1.0
2018;WZ08-01-03;Agriculture, forestry, fisheries;EAV-17;Construction and demolition waste;113;8.8
2018;WZ08-01-03;Agriculture, forestry, fisheries;EAV-18;Waste from medical care;5;0.2
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-19;Waste from waste treatment plants etc.;16;0.4
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-20;Municipal waste (household waste and similar waste);342;17.9
2018;WZ08-01-03;Agriculture and forestry, fishing;EAV-99;Hazardous waste;-;-
2018;WZ08-01-03;Agriculture, forestry, fisheries;;Total;366;423.9
2018;WZ08-05-02;Mining and quarrying;EAV-01;Waste from mineral extraction;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-02;Waste from agriculture, forestry, etc.;8;0.2
2018;WZ08-05-02;Mining and quarrying of stone and earth;EAV-03;Waste from wood processing, etc.;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-04;Waste from the leather, fur and textile industry;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-06;Waste from inorganic chemical processes;10;0.3
2018;WZ08-05-02;Mining and quarrying;EAV-07;Waste from organic chemical processes;10;0.1
2018;WZ08-05-02;Mining and quarrying;EAV-08;Waste from MFSU from coatings, adhesives, etc.;17;0.0
2018;WZ08-05-02;Mining and quarrying;EAV-09;Waste from the photographic industry;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-10;Waste from thermal processes;8;9,3
2018;WZ08-05-02;Mining and quarrying;EAV-11;Waste from chemical surface treatment;6;0.0
2018;WZ08-05-02;Mining and quarrying;EAV-12;Waste from mechanical shaping processes;14;0.5
2018;WZ08-05-02;Mining and quarrying;EAV-13;Oil waste and liquid fuel waste;37;3,1
2018;WZ08-05-02;Mining and quarrying;EAV-14;Wastes from organic solvents, coolants;9;0.0
2018;WZ08-05-02;Mining and quarrying;EAV-15;Packaging waste, absorbent masses, wipes;45;2.9
2018;WZ08-05-02;Mining and quarrying;EAV-16;Wastes not included elsewhere in the inventory;32;13,6
2018;WZ08-05-02;Mining and quarrying;EAV-17;Construction and demolition waste;35;414.4
2018;WZ08-05-02;Mining and quarrying;EAV-18;Waste from medical care;-;-
2018;WZ08-05-02;Mining and quarrying;EAV-19;Waste from waste treatment plants etc.;14;9.0
2018;WZ08-05-02;Mining and quarrying;EAV-20;Municipal waste (household waste and similar waste);49;7.5
2018;WZ08-05-02;Mining and quarrying;EAV-99;Hazardous waste;-;-
2018;WZ08-05-02;Mining and quarrying;;Total;49;463.3
2018;WZ08-10-01;Food industry and tobacco processing;EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-10-01;Food industry and tobacco processing;EAV-02;Waste from agriculture, forestry, etc.;1086;5015.5
2018;WZ08-10-01;Food industry and tobacco processing;EAV-03;Waste from wood processing, etc.;5;0.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-04;Waste from the leather, fur and textile industry;-;-
2018;WZ08-10-01;Food industry and tobacco processing;EAV-05;Waste from petroleum refining, natural gas purification;11;0.0
2018;WZ08-10-01;Food industry and tobacco processing;EAV-06;Waste from inorganic chemical processes;102;27.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-07;Waste from organic chemical processes;135;25.0
2018;WZ08-10-01;Food industry and tobacco processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;142;0.2
2018;WZ08-10-01;Food industry and tobacco processing;EAV-09;Waste from the photographic industry;-;-
2018;WZ08-10-01;Food industry and tobacco processing;EAV-10;Waste from thermal processes;43;82.3
2018;WZ08-10-01;Food industry and tobacco processing;EAV-11;Waste from chemical surface treatment;26;0.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-12;Waste from mechanical shaping processes;113;2.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-13;Oil waste and liquid fuel waste;519;5.3
2018;WZ08-10-01;Food industry and tobacco processing;EAV-14;Waste from organic solvents, refrigerants;128;0.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-15;Packaging waste, absorbent masses, wipes;1342;543.8
2018;WZ08-10-01;Food industry and tobacco processing;EAV-16;Wastes not included elsewhere in the inventory;438;3.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-17;Construction and demolition waste;642;127.5
2018;WZ08-10-01;Food industry and tobacco processing;EAV-18;Waste from medical care;12;0.1
2018;WZ08-10-01;Food industry and tobacco processing;EAV-19;Waste from waste treatment plants etc.;263;102.3
2018;WZ08-10-01;Food industry and tobacco processing;EAV-20;Municipal waste (household waste and similar waste);1379;383.3
2018;WZ08-10-01;Food industry and tobacco processing;EAV-99;Hazardous waste;-;-
2018;WZ08-10-01;Food industry and tobacco processing;;Total;1451;6318.3
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-02;Waste from agriculture, forestry, etc.;8;0.3
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-03;Waste from wood processing, etc.;7;0.1
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-04;Waste from the leather, fur and textile industry;248;94.4
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-05;Waste from petroleum refining, natural gas purification;-;-
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-06;Waste from inorganic chemical processes;28;0.1
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-07;Waste from organic chemical processes;91;11.8
2018;WZ08-13-03; Textile and clothing industry, leather industry; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 96; 3.7
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-09;Waste from the photographic industry;-;-
2018;WZ08-13-03;Textile and clothing industry, leather industry;EWC-10;Waste from thermal processes;10;2.4
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-11;Waste from chemical surface treatment;14;0.3
2018;WZ08-13-03;Textile and clothing industry, leather industry;EWC-12;Waste from mechanical shaping processes;52;0.6
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-13;Oil waste and liquid fuel waste;128;2.4
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-14;Waste from organic solvents, coolants;39;0.4
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-15;Packaging waste, absorbent masses, wipes;468;55.0
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-16;Waste not included elsewhere in the inventory;122;1.9
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-17;Construction and demolition waste;200;7.2
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-18;Waste from medical care;-;-
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-19;Waste from waste treatment plants etc.;49;11.3
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-20;Municipal waste (household waste and similar waste);467;37.8
2018;WZ08-13-03;Textile and clothing industry, leather industry;EAV-99;Hazardous waste;-;-
2018;WZ08-13-03;Textile and clothing industry, leather industry;;Total;503;229.7
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-02; Waste from agriculture, forestry, etc.; 12; 0.1
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-03; Waste from wood processing, etc.; 198; 3202.5
2018;WZ08-16;H.v. Wood, plaiting, wicker and cork goods (without furniture);EAV-04;Waste from the leather, fur and textile industry;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-05;Waste from petroleum refining, natural gas cleaning;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-06; Waste from inorganic chemical processes; 15; 0.1
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-07; Waste from organic chemical processes; 50; 2.4
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-08; Waste from MFSU from coatings, adhesives, etc.; 132; 7.4
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-09;Waste from the photographic industry;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-10; Waste from thermal processes; 143; 157.9
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-11; Waste from chemical surface treatment; 10; 0.1
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-12; Waste from mechanical shaping processes; 54; 1.8
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-13; Oil waste and waste from liquid fuels; 101; 2.8
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-14; Waste from organic solvents, coolants; 23; 0.1
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture); EAV-15; packaging waste, absorbent masses, wipes; 307; 36.1
2018;WZ08-16;H.v. Articles of wood, plaiting, wicker and cork (excluding furniture); EAV-16; Waste not included elsewhere in the inventory; 95; 3.8
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-17; Construction and demolition waste; 183; 52.6
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-18;Waste from medical care;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-19; Waste from waste treatment plants, etc.; 40; 79.8
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (excluding furniture); EAV-20; Municipal waste (household waste and similar waste); 329; 34.8
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);EAV-99;Hazardous waste;-;-
2018;WZ08-16;H.v. Wood, wicker, wicker and cork goods (without furniture);;Total;348;3582.6
2018;WZ08-17-03;Paper and printing industry;EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-17-03;paper and printing industry;EAV-02;waste from agriculture, forestry, etc.;49;1.0
2018;WZ08-17-03;paper and printing industry;EAV-03;waste from wood processing, etc.;303;4423.8
2018;WZ08-17-03;paper and printing industry;EAV-04;waste from the leather, fur and textile industry;10;7.5
2018;WZ08-17-03;paper and printing industry;EAV-05;waste from petroleum refining, natural gas purification;-;-
2018;WZ08-17-03;paper and printing industry;EAV-06;waste from inorganic chemical processes;63;3.5
2018;WZ08-17-03;paper and printing industry;EAV-07;waste from organic chemical processes;185;21.4
2018; WZ08-17-03; paper and printing industry; EAV-08; waste from MFSU from coatings, adhesives, etc.; 638; 55.0
2018;WZ08-17-03;Paper and printing industry;EAV-09;Waste from the photographic industry;277;18.9
2018;WZ08-17-03;Paper and printing industry;EAV-10;Waste from thermal processes;31;242.3
2018;WZ08-17-03;paper and printing industry;EAV-11;waste from chemical surface treatment;52;0.7
2018;WZ08-17-03;paper and printing industry;EWC-12;waste from mechanical shaping processes;123;6.8
2018;WZ08-17-03;Paper and printing industry;EAV-13;Oil waste and liquid fuel waste;368;3.6
2018;WZ08-17-03;paper and printing industry;EAV-14;waste from organic solvents, coolants;239;9.2
2018;WZ08-17-03;paper and printing industry;EAV-15;packaging waste, absorbent masses, wipes;943;574.5
2018;WZ08-17-03;Paper and printing industry;EAV-16;Waste not included elsewhere in the inventory;330;9.2
2018;WZ08-17-03;paper and printing industry;EAV-17;construction and demolition waste;509;101.6
2018;WZ08-17-03;Paper and printing industry;EAV-18;Waste from medical care;3;0.0
2018;WZ08-17-03;paper and printing industry;EAV-19;waste from waste treatment plants etc.;158;113.7
2018;WZ08-17-03;paper and printing industry;EAV-20;municipal waste (household waste and similar waste);1005;959.5
2018;WZ08-17-03;Paper and printing industry;EAV-99;Hazardous waste;-;-
2018;WZ08-17-03;Paper and printing industry;;Total;1039;6552.3
2018;WZ08-19;Coking plant and mineral oil processing;EAV-01;Waste from the extraction of mineral resources;-;-
2018;WZ08-19;Coking plant and mineral oil processing;EAV-02;Waste from agriculture, forestry, etc.;8;0.2
2018;WZ08-19;coking plant and mineral oil processing;EAV-03;waste from wood processing, etc.;-;-
2018;WZ08-19;coking plant and mineral oil processing;EAV-04;waste from the leather, fur and textile industry;-;-
2018;WZ08-19;Coking plant and petroleum processing;EAV-05;Waste from petroleum refining, natural gas purification;22;40.8
2018;WZ08-19;coking plant and mineral oil processing;EAV-06;waste from inorganic chemical processes;15;40.7
2018;WZ08-19;Coking plant and mineral oil processing;EAV-07;Waste from organic chemical processes;26;12.2
2018;WZ08-19;Coking plant and mineral oil processing;EAV-08;Waste from MFSU from coatings, adhesives, etc.;11;0.1
2018;WZ08-19;Coking plant and mineral oil processing;EAV-09;Waste from the photographic industry;-;-
2018;WZ08-19;Coking plant and mineral oil processing;EAV-10;Waste from thermal processes;10;166.0
2018;WZ08-19;Coking plant and mineral oil processing;EAV-11;Waste from chemical surface treatment;6;0.1
2018;WZ08-19;Coking plant and mineral oil processing;EAV-12;Waste from mechanical shaping processes;26;5.8
2018;WZ08-19;Coking plant and petroleum processing;EAV-13;Oil waste and liquid fuel waste;38;19.2
2018;WZ08-19;Coking plant and mineral oil processing;EAV-14;Waste from organic solvents, coolants;15;0.4
2018;WZ08-19;Coking plant and mineral oil processing;EAV-15;Packaging waste, absorbent masses, wipes;48;5.5
2018;WZ08-19;Coking plant and petroleum processing;EAV-16;Wastes not included elsewhere in the inventory;39;26.0
2018;WZ08-19;Coking plant and mineral oil processing;EAV-17;Construction and demolition waste;38;133.6
2018;WZ08-19;Coking plant and mineral oil processing;EAV-18;Waste from medical care;4;0.0
2018;WZ08-19;coking plant and mineral oil processing;EAV-19;waste from waste treatment plants etc.;21;25.9
2018;WZ08-19;Coking plant and mineral oil processing;EAV-20;Municipal waste (household waste and similar waste);47;10.0
2018;WZ08-19;Coking plant and petroleum processing;EAV-99;Hazardous waste;-;-
2018;WZ08-19;Coking plant and petroleum processing;;Total;50;486.5
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products;EAV-01;Wastes from mineral extraction;27;927.0
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-02; waste from agriculture, forestry, etc.; 233; 429.3
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-03; waste from wood processing, etc.; 69; 23.7
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-04;Wastes from the leather, fur and textile industries;34;8.7
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-05;Wastes from petroleum refining, natural gas purification;21;17.0
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-06;Wastes from inorganic chemical processes;455;400.7
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-07; Waste from organic chemical processes; 1739; 1516.4
2018;WZ08-20-03;Chem. and pharma. Products, rubber, plastic goods; EAV-08; Waste from MFSU from coatings, adhesives, etc.; 945; 103.6
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-09; waste from the photographic industry; 17; 1.6
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-10;waste from thermal processes;150;381.4
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods;EAV-11;Waste from chemical surface treatment;234;34.6
2018;WZ08-20-03;Chem. and pharma. Articles of rubber and plastic; EAV-12; Waste from mechanical shaping processes; 930; 92.8
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic;EAV-13;Oil waste and liquid fuel waste;1278;49.2
2018;WZ08-20-03;Chem. and pharma. Manufacture, rubber, plastic products;EAV-14;Waste from organic solvents, coolants;557;13.3
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-15; packaging waste, absorbent masses, wipes; 2820; 594.9
2018;WZ08-20-03;Chem. and pharma. Articles of rubber, plastic; EAV-16; Wastes not included elsewhere in the inventory; 1386; 193.8
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic products; EAV-17; construction and demolition waste; 1654; 1347.8
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-18; Waste from medical care; 147; 12.7
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-19; Waste from waste treatment plants, etc.; 451; 1055.1
2018;WZ08-20-03;Chem. and pharma. Articles, rubber, plastic goods; EAV-20; municipal waste (household waste and similar waste); 2823; 525.8
