Waste Producers,Waste Quantities,Years,Waste Types - EAV 2- and 6-Digit Codes,Survey of Hazardous Waste,Count,,,,,,,,,,,,,,,,,
2014,EAV-070608-G, Fette,,,,Seifen: Reaktions-,,,Destillationsrückstände,138,4,0,,,,,,,,,,
2014,EAV-070609-G, Fette,,,,Seifen: Halog.Filterkuchen,,,Aufsaugmat.,-,,,,,,,,,,,,
2014,EAV-070610-G, Fette,,,,Seifen: Filterkuchen,,,Aufsaugmaterialien,20,0,9,,,,,,,,,,
2014,EAV-070611-G, Fette,,,,Seifen: Schlämme (betriebseig.Abwasserbeh.),6,1,4,1,4,,,,,,,,,,,
2014,EAV-070701-G, Feinchemikalien: Wässrige Waschfl.,,,,Mutterlaugen,152,82,3,70,7,,,,,,,,,,,
2014,EAV-070703-G, Feinchemikalien: Halogenorg.Lösemittel,,,,Waschfl.,105,26,0,24,6,,,,,,,,,,,
2014,EAV-070704-G, Feinchemikalien: organ. Lösemittel,,,,Waschflüssigk.,172,53,6,50,0,,,,,,,,,,,
2014,EAV-070707-G, Feinchemikalien: Halog.Reaktions-,,,,Destill.rückst.,33,7,3,7,0,,,,,,,,,,,
2014,EAV-070708-G, Feinchemikalien: Reaktions-,,,,Destillationsrückst.,81,38,1,37,0,,,,,,,,,,,
2014,EAV-070709-G, Feinchemikalien: Halog.Filterkuchen,,,,Aufsaugmat.,21,0,6,0,5,,,,,,,,,,,
2014,EAV-070710-G, Feinchemikalien: Filterkuchen,,,,Aufsaugmaterialien,46,2,9,2,7,,,,,,,,,,,
2014,EAV-070711-G, Feinchemikalien:Schlämme(betriebseig.Abwasserbeh.),21,1,,5,1,,4,,,,,,,,,,,,,
2014,EAV-08,Abfälle aus HZVA v.Beschichtungen,,,,Klebstoffen u.a.,1371,200,9,169,4,,,,,,,,,,,
2014,EAV-080111-G, Farb- und Lackabfälle mit gefährlichen Stoffen,698,70,,1,54,,9,,,,,,,,,,,,,
2014,EAV-080113-G, Farb- und Lackschlämme mit gefährlichen Stoffen,376,38,,9,31,,7,,,,,,,,,,,,,
2014,EAV-080115-G, Farben,,,,Lacke: Wässrige Schlämme mit gefährl. St.,152,18,2,16,2,,,,,,,,,,,
2014,EAV-080117-G, Abfälle aus der Farb- oder Lackentfernung,163,24,,5,22,,7,,,,,,,,,,,,,
2014,EAV-080119-G, Wässrige Suspensionen,,,,Farben o. Lacke enthaltend,51,12,2,11,8,,,,,,,,,,,
2014,EAV-080121-G, Farb- oder Lackentfernerabfälle,11,0,,3,0,,3,,,,,,,,,,,,,
2014,EAV-080312-G, Druckfarbenabfälle mit gefährlichen Stoffen,115,6,,3,5,,3,,,,,,,,,,,,,
2014,EAV-080314-G, Druckfarbenschlämme mit gefährlichen Stoffen,49,4,,4,4,,3,,,,,,,,,,,,,
2014,EAV-080316-G, Abfälle von Ätzlösungen,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-080317-G, Tonerabfälle,,,,die gefährliche Stoffe enthalten,-,-,,,,,,,,,,,,,,
2014,EAV-080319-G, Dispersionsöl,25,0,,6,0,,3,,,,,,,,,,,,,
2014,EAV-080409-G, Klebstoff- und Dichtmassenabfälle mit gefährl. St.,288,23,,3,20,,1,,,,,,,,,,,,,
2014,EAV-080411-G, Klebstoff- und dichtmassenhaltige Schlämme,10,0,,4,0,,3,,,,,,,,,,,,,
2014,EAV-080413-G, Klebst.,,,,Dichtm.: Wässrige Schlämme m.gefährl.St.,12,0,4,0,4,,,,,,,,,,,
2014,EAV-080415-G, Klebst.,,,,Dichtm.:Wässrige flüssige Abf.m.gefährl.St,11,0,5,0,5,,,,,,,,,,,
2014,EAV-080417-G, Klebstoffe,,,,Dichtmassen: Harzöle,-,-,,,,,,,,,,,,,,
2014,EAV-080501-G, Isocyanatabfälle,45,0,,8,0,,5,,,,,,,,,,,,,
2014,EAV-09,Abfälle aus der fotografischen Industrie,195,20,,9,17,,3,,,,,,,,,,,,,
2014,EAV-090101-G, Entwickler und Aktivatorenlösungen auf Wasserbasis,110,5,,3,4,,7,,,,,,,,,,,,,
2014,EAV-090102-G, Offsetdruckplatten-Entwicklerlösungen,95,8,,6,7,,3,,,,,,,,,,,,,
2014,EAV-090103-G, Entwicklerlösungen auf Lösemittelbasis,11,0,,0,0,,0,,,,,,,,,,,,,
2014,EAV-090104-G, Fixierbäder,92,4,,2,3,,4,,,,,,,,,,,,,
2014,EAV-090105-G, Bleichlösungen und Bleich-Fixier-Bäder,34,2,,1,2,,0,,,,,,,,,,,,,
2014,EAV-090106-G, Silberhaltige Abfälle aus Beh. fotograf. Abfälle,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-090111-G, Einwegkameras mit Batterien (160601-160603),-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-090113-G, Abfälle aus Silberrückgewinnung (ohne 090106),-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-10,Abfälle aus thermischen Prozessen,711,808,,1,761,,9,,,,,,,,,,,,,
2014,EAV-100104-G, Filterstäube und Kesselstaub aus Ölfeuerung,25,3,,1,3,,0,,,,,,,,,,,,,
2014,EAV-100109-G, Schwefelsäure,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100113-G, Filterstäube aus emulgierten Kohlenwasserstoffen,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100114-G, Rost- und Kesselasche,,,,Schlacken,,,Kesselstaub,41,9,7,,,,,,,,,,
2014,EAV-100116-G, Filterstäube aus der Abfallmitverbrennung,29,19,,3,18,,7,,,,,,,,,,,,,
2014,EAV-100118-G, Abfälle aus der Abgasbehandlung mit gefährl. St.,123,25,,6,25,,6,,,,,,,,,,,,,
2014,EAV-100120-G, Kraftwerke u.a.:Schlämme(betriebseig.Abwasserbeh.),5,1,,5,1,,5,,,,,,,,,,,,,
2014,EAV-100122-G, Kraftwerke u.a.:Wässrige Schlämme a. Kesselreinig.,5,1,,3,1,,3,,,,,,,,,,,,,
2014,EAV-100207-G, Eisen-,,,,Stahlind.: Feste Abfälle aus Abgasbehandl.,66,222,9,222,2,,,,,,,,,,,
2014,EAV-100211-G, Eisen-,,,,Stahlind.: Ölhalt. Abf. aus Kühlwasserbeh.,-,-,,,,,,,,,,,,,,
2014,EAV-100213-G, Eisen-,,,,Stahlind.: Schlämme,,,Filterk. aus Abgasbeh.,12,6,3,,,,,,,,,,
2014,EAV-100304-G, Aluminium-Metallurgie: Schlacken aus Erstschmelze,3,2,,3,2,,3,,,,,,,,,,,,,
2014,EAV-100308-G, Aluminium-Metallurgie:Salzschlacken a.Zweitschmel.,14,234,,4,208,,9,,,,,,,,,,,,,
2014,EAV-100309-G, Aluminium-Metallurgie:Schwarze Krätzen a.Zweitsch.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100315-G, Aluminium-Metallurgie: Abschaum (entzündlich),54,30,,1,26,,8,,,,,,,,,,,,,
2014,EAV-100317-G, Aluminium-Metallurgie:Teerh. Abf. aus Anodenherst.,5,0,,9,0,,6,,,,,,,,,,,,,
2014,EAV-100319-G, Aluminium-Metallurgie: Filterstaub m.gefährl.St.,15,0,,9,0,,9,,,,,,,,,,,,,
2014,EAV-100321-G, Aluminium-Metallurgie: Andere Teilchen und Staub,10,2,,3,2,,3,,,,,,,,,,,,,
2014,EAV-100323-G, Aluminium-Metallurgie: Feste Abf. a. Abgasbehandl.,28,16,,2,15,,0,,,,,,,,,,,,,
2014,EAV-100325-G, Aluminium-Metallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,3,0,3,0,3,,,,,,,,,,,
2014,EAV-100327-G, Aluminium-Metallurgie: Ölh.Abf. aus Kühlwasserbeh.,3,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-100329-G, Aluminium-Metallurgie: Abf.a. Beh. v.Salzschlacken,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100401-G, Bleimetallurgie: Schlacken (Erst-,,,,Zweitschmelze),8,25,2,25,2,,,,,,,,,,,
2014,EAV-100402-G, Bleimetall.: Krätzen,,,,Abschaum (Erst-,,,Zweitschm.),54,2,1,,,,,,,,,,
2014,EAV-100403-G, Bleimetallurgie: Calciumarsenat,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100404-G, Bleimetallurgie: Filterstaub,3,0,,1,0,,1,,,,,,,,,,,,,
2014,EAV-100405-G, Bleimetallurgie: Andere Teilchen und Staub,11,8,,6,4,,2,,,,,,,,,,,,,
2014,EAV-100406-G, Bleimetallurgie: Feste Abfälle aus Abgasbehandlung,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100407-G, Bleimetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2014,EAV-100409-G, Bleimetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100503-G, Zinkmetallurgie: Filterstaub,8,0,,4,0,,4,,,,,,,,,,,,,
2014,EAV-100505-G, Zinkmetallurgie: Feste Abfälle aus Abgasbehandlung,6,0,,3,0,,3,,,,,,,,,,,,,
2014,EAV-100506-G, Zinkmetallurgie: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2014,EAV-100508-G, Zinkmetallurgie: Ölh. Abfälle aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100510-G, Zinkmetallurgie: Krätzen,,,,Abschaum (entzündlich),-,-,,,,,,,,,,,,,,
2014,EAV-100603-G, Kupfermetallurgie: Filterstaub,9,1,,7,1,,6,,,,,,,,,,,,,
2014,EAV-100606-G, Kupfermetallurgie: Feste Abfälle a.Abgasbehandlung,3,2,,4,2,,4,,,,,,,,,,,,,
2014,EAV-100607-G, Kupfermetallurgie: Schlämme,,,,Filterk. a.Abgasbeh.,-,-,,,,,,,,,,,,,,
2014,EAV-100609-G, Kupfermetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100707-G, Silbermet.u.a.: Ölhaltige Abfälle a.Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100808-G, Nichteisenmet.: Salzschlacken(Erst-,,,,Zweitschmelze),-,-,,,,,,,,,,,,,,
2014,EAV-100810-G, Nichteisenmetallurgie:Krätzen,,,,Abschaum (entzündl.),8,0,6,0,6,,,,,,,,,,,
2014,EAV-100812-G, Nichteisenmet.: Teerh. Abfälle aus Anodenherst.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100815-G, Nichteisenmetallurgie: Filterstaub m.gefährl.St.,40,5,,7,5,,6,,,,,,,,,,,,,
2014,EAV-100817-G, Nichteisenmetallurgie:Schlämme,,,,Filterk.a.Abgasbeh.,3,0,1,0,1,,,,,,,,,,,
2014,EAV-100819-G, Nichteisenmetallurgie: Ölh.Abf. aus Kühlwasserbeh.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-100905-G, Eisen,,,,Stahl: Gießformen und -sande vor dem Gießen,-,-,,,,,,,,,,,,,,
2014,EAV-100907-G, Eisen,,,,Stahl: Gießformen und -sande nach dem Gießen,12,2,7,2,7,,,,,,,,,,,
2014,EAV-100909-G, Eisen,,,,Stahl: Filterstaub mit gefährlichen Stoffen,42,7,1,7,0,,,,,,,,,,,
2014,EAV-100911-G, Eisen,,,,Stahl: Andere Teilchen mit gefährl. Stoffen,4,0,7,0,5,,,,,,,,,,,
2014,EAV-100913-G, Eisen,,,,Stahl: Abf. v. Bindemitteln mit gefährl. St.,-,-,,,,,,,,,,,,,,
2014,EAV-100915-G, Eisen,,,,Stahl: Abf. aus rissanzeigenden Substanzen,-,-,,,,,,,,,,,,,,
2014,EAV-101005-G, Nichteisenmet.: Gießformen,,,,#NAME?,-,-,,,,,,,,,,,,,,
2014,EAV-101007-G, Nichteisenmet.: Gießformen,,,,#NAME?,8,3,6,3,6,,,,,,,,,,,
2014,EAV-101009-G, Nichteisenmetalle: Filterstaub m.gefährl.Stoffen,16,2,,8,1,,0,,,,,,,,,,,,,
2014,EAV-101011-G, Nichteisenmet.: And. Teilchen mit gefährl. Stoffen,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-101013-G, Nichteisenmet.:Abf.v. Bindemitteln mit gefährl.St.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-101015-G, Nichteisenmetalle: Abf. aus rissanzeigenden Subst.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-101109-G, Gemengeabfall mit gefährl. Stoffen v. d. Schmelzen,9,0,,6,0,,6,,,,,,,,,,,,,
2014,EAV-101111-G, Glasabfall in kleinen Teilchen und Glasstaub,22,13,,3,11,,3,,,,,,,,,,,,,
2014,EAV-101113-G, Glaspolier- und Glasschleifschlämme,27,0,,9,0,,9,,,,,,,,,,,,,
2014,EAV-101115-G, Glasherstellung: Feste Abfälle aus Abgasbehandlung,35,3,,0,2,,6,,,,,,,,,,,,,
2014,EAV-101117-G, Glasherstellung: Schlämme,,,,Filterk. aus Abgasbeh.,-,-,,,,,,,,,,,,,,
2014,EAV-101119-G, Glasherst.:Feste Abf. a. betriebseig. Abwasserbeh.,10,0,,7,0,,5,,,,,,,,,,,,,
2014,EAV-101209-G, Keramikerzeugnisse: Feste Abfälle a. Abgasbehandl.,17,5,,9,3,,7,,,,,,,,,,,,,
2014,EAV-101211-G, Keramikerzeugn.: Glasurabfälle mit Schwermetallen,5,0,,1,0,,1,,,,,,,,,,,,,
2014,EAV-101309-G, Asbesthaltige Abfälle a. Herstell. v. Asbestzement,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-101312-G, Zement u.a.: Feste Abfälle aus Abgasbehandlung,9,6,,9,6,,9,,,,,,,,,,,,,
2014,EAV-101401-G, Krematorien:Quecksilberh. Abfälle a.d.Gasreinigung,68,0,,6,0,,5,,,,,,,,,,,,,
2014,EAV-11,Abfälle aus der chemischen Oberflächenbearbeitung,2119,612,,2,579,,8,,,,,,,,,,,,,
2014,EAV-110105-G, Oberflächenbearb.: Saure Beizlösungen,526,85,,7,79,,8,,,,,,,,,,,,,
2014,EAV-110106-G, Oberflächenbearb.: Säuren a.n.g.,144,13,,4,12,,3,,,,,,,,,,,,,
2014,EAV-110107-G, Oberflächenbearb.: Alkalische Beizlösungen,435,79,,4,75,,0,,,,,,,,,,,,,
2014,EAV-110108-G, Oberflächenbearb.: Phosphatierschlämme,210,11,,3,10,,2,,,,,,,,,,,,,
2014,EAV-110109-G, Oberflächenbearb.: Schlämme,,,,Filterkuchen m.gef.St.,948,107,7,99,6,,,,,,,,,,,
2014,EAV-110111-G, Oberflächenbearb.:Wässrige Spülflüssigk. m.gef.St.,712,91,,5,82,,8,,,,,,,,,,,,,
2014,EAV-110113-G, Oberflächenbearb.:Abfälle a.d.Entfettung m.gef.St.,158,13,,0,12,,2,,,,,,,,,,,,,
2014,EAV-110115-G, Oberflächenbearb.: Eluate,,,,Schlämme a. Membransyst.,3,0,5,0,5,,,,,,,,,,,
2014,EAV-110116-G, Oberflächenbearb.: Ionenaustauscherharze,16,0,,1,0,,1,,,,,,,,,,,,,
2014,EAV-110198-G, Oberflächenbearb.: Andere Abfälle mit gefährl. St.,219,18,,9,16,,8,,,,,,,,,,,,,
2014,EAV-110202-G, Schlämme aus der Zink-Hydrometallurgie,8,157,,2,157,,2,,,,,,,,,,,,,
2014,EAV-110205-G, Abfälle aus Prozessen der Kupfer-Hydrometallurgie,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-110207-G, Nichteisen-Hydrometallurgie:And.Abf. m.gefährl.St.,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-110301-G, Schlämme,,,,Festst.a.Härteprozessen: Cyanidh. Abfälle,40,0,6,0,6,,,,,,,,,,,
2014,EAV-110302-G, Schlämme,,,,Festst.a.Härteprozessen: Andere Abfälle,52,1,8,1,7,,,,,,,,,,,
2014,EAV-110503-G, Verzinkung: Feste Abfälle aus Abgasbehandlung,13,0,,3,0,,2,,,,,,,,,,,,,
2014,EAV-110504-G, Verzinkung: Gebrauchte Flussmittel,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-12,Abfälle aus Prozessen der mechanischen Formgebung,3769,1135,,4,836,,3,,,,,,,,,,,,,
2014,EAV-120106-G, Halogenhaltige Bearbeitungsöle auf Mineralölbasis,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-120107-G, Halogenfreie Bearbeitungsöle auf Mineralölbasis,110,77,,6,30,,3,,,,,,,,,,,,,
2014,EAV-120108-G, Halogenhaltige Bearbeitungsemulsionen u. -lösungen,13,1,,0,0,,9,,,,,,,,,,,,,
2014,EAV-120109-G, Halogenfreie Bearbeitungsemulsionen und -lösungen,2994,861,,6,647,,5,,,,,,,,,,,,,
2014,EAV-120110-G, Synthetische Bearbeitungsöle,23,0,,9,0,,9,,,,,,,,,,,,,
2014,EAV-120112-G, Gebrauchte Wachse und Fette,211,7,,9,6,,6,,,,,,,,,,,,,
2014,EAV-120114-G, Bearbeitungsschlämme mit gefährlichen Stoffen,252,22,,2,21,,3,,,,,,,,,,,,,
2014,EAV-120116-G, Strahlmittelabfälle (mit gefährlichen Stoffen),381,29,,0,24,,2,,,,,,,,,,,,,
2014,EAV-120118-G, Ölhaltige Metallschlämme (Schleifschlämme,,,,etc.),449,87,2,61,2,,,,,,,,,,,
2014,EAV-120119-G, Biologisch leicht abbaubare Bearbeitungsöle,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-120120-G, Gebrauchte Hon-u.Schleifmittel mit gefährl.Stoffen,84,5,,5,4,,3,,,,,,,,,,,,,
2014,EAV-120301-G, Wässrige Waschflüssigkeiten,315,40,,3,36,,9,,,,,,,,,,,,,
2014,EAV-120302-G, Abfälle aus der Dampfentfettung,17,1,,9,1,,9,,,,,,,,,,,,,
2014,EAV-13,Ölabfälle und Abfälle aus flüssigen Brennstoffen,3863,1406,,5,1181,,3,,,,,,,,,,,,,
2014,EAV-130101-G, Hydrauliköle,,,,die PCB enthalten,6,0,2,0,0,,,,,,,,,,,
2014,EAV-130104-G, Hydrauliköle: Chlorierte Emulsionen,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-130105-G, Hydrauliköle: Nichtchlorierte Emulsionen,82,11,,2,10,,3,,,,,,,,,,,,,
2014,EAV-130109-G, Chlorierte Hydrauliköle auf Mineralölbasis,3,0,,0,0,,0,,,,,,,,,,,,,
2014,EAV-130110-G, Nichtchlorierte Hydrauliköle auf Mineralölbasis,78,2,,6,2,,4,,,,,,,,,,,,,
2014,EAV-130111-G, Synthetische Hydrauliköle,8,0,,1,0,,1,,,,,,,,,,,,,
2014,EAV-130112-G, Biologisch leicht abbaubare Hydrauliköle,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-130113-G, Andere Hydrauliköle,7,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-130204-G, Chlorierte Maschinen-,,,,Getriebe- und Schmieröle,59,1,4,1,1,,,,,,,,,,,
2014,EAV-130205-G, Nichtchlorierte Maschinen-,,,,Getriebe-u. Schmieröle,1467,533,0,403,7,,,,,,,,,,,
2014,EAV-130206-G, Synthetische Maschinen-,,,,Getriebe- und Schmieröle,13,0,5,0,5,,,,,,,,,,,
2014,EAV-130207-G, Biologisch leicht abbau. Maschinen-,,,,Getriebeöle,-,-,,,,,,,,,,,,,,
2014,EAV-130208-G, Andere Maschinen-,,,,Getriebe- und Schmieröle,129,29,6,19,7,,,,,,,,,,,
2014,EAV-130301-G, Isolier- und Wärmeübertragungsöle mit PCB,45,1,,3,0,,7,,,,,,,,,,,,,
2014,EAV-130306-G, Chlor. Isolier- u. Wärmeübertragungsöle(oh.130301),3,0,,0,0,,0,,,,,,,,,,,,,
2014,EAV-130307-G, Nichtchlorierte Isolier- und Wärmeübertragungsöle,192,10,,8,10,,3,,,,,,,,,,,,,
2014,EAV-130308-G, Synthetische Isolier- und Wärmeübertragungsöle,23,0,,9,0,,8,,,,,,,,,,,,,
2014,EAV-130309-G, Biolog. leicht abbaub. Isolier-u. Wärmeübertr.öle,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-130310-G, Andere Isolier- und Wärmeübertragungsöle,20,0,,3,0,,2,,,,,,,,,,,,,
2014,EAV-130401-G, Bilgenöle aus der Binnenschifffahrt,12,5,,6,5,,3,,,,,,,,,,,,,
2014,EAV-130402-G, Bilgenöle aus Molenablaufkanälen,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-130403-G, Bilgenöle aus der übrigen Schifffahrt,20,105,,0,103,,2,,,,,,,,,,,,,
2014,EAV-130501-G, Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.,188,63,,7,47,,2,,,,,,,,,,,,,
2014,EAV-130502-G, Schlämme aus Öl-/Wasserabscheidern,854,182,,6,173,,8,,,,,,,,,,,,,
2014,EAV-130503-G, Schlämme aus Einlaufschächten,377,111,,4,101,,7,,,,,,,,,,,,,
2014,EAV-130506-G, Öle aus Öl-/Wasserabscheidern,38,5,,6,4,,2,,,,,,,,,,,,,
2014,EAV-130507-G, Öliges Wasser aus Öl-/Wasserabscheidern,198,43,,3,34,,6,,,,,,,,,,,,,
2014,EAV-130508-G, Abfallgemische a.Sandfanganlagen,,,,Öl-/Wasserabsch.,965,188,8,180,4,,,,,,,,,,,
2014,EAV-130701-G, Heizöl und Diesel,130,15,,5,13,,0,,,,,,,,,,,,,
2014,EAV-130702-G, Benzin,47,1,,6,1,,4,,,,,,,,,,,,,
2014,EAV-130703-G, Andere Brennstoffe (einschließlich Gemische),165,26,,1,13,,3,,,,,,,,,,,,,
2014,EAV-130801-G, Ölabfälle: Schlämme oder Emulsionen aus Entsalzern,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-130802-G, Ölabfälle: Andere Emulsionen,164,34,,3,27,,6,,,,,,,,,,,,,
2014,EAV-130899-G, Ölabfälle: Abfälle a.n.g.,170,30,,7,25,,6,,,,,,,,,,,,,
2014,EAV-14,Abfälle aus organischen Lösemitteln,,,,Kühlmitteln,714,149,0,69,5,,,,,,,,,,,
2014,EAV-140601-G, Fluorchlorkohlenwasserstoffe,,,,HFCKW,,,HFKW,57,8,5,,,,,,,,,,
2014,EAV-140602-G, Andere halogenierte Lösemittel u. Lösemittelgem.,107,10,,8,3,,9,,,,,,,,,,,,,
2014,EAV-140603-G, Andere Lösemittel und Lösemittelgemische,605,128,,0,58,,0,,,,,,,,,,,,,
2014,EAV-140604-G, Schlämme,,,,feste Abfälle (halogenierte Lösemittel),20,1,2,0,2,,,,,,,,,,,
2014,EAV-140605-G, Schlämme,,,,feste Abfälle (andere Lösemittel ),62,7,2,5,9,,,,,,,,,,,
2014,EAV-15,Verpackungsabfall,,,,Aufsaugmassen,,,Wischtücher,2578,6,4,,,,,,,,,,
2014,EAV-150110-G, Verpackungen mit Rückständen gefährlicher Stoffe,1115,58,,5,46,,5,,,,,,,,,,,,,
2014,EAV-150111-G, Verpackungen aus Metall,31,2,,4,2,,4,,,,,,,,,,,,,
2014,EAV-150202-G, Aufsaug- und Filtermaterialien,,,,Wischtücher,2118,203,6,145,6,,,,,,,,,,,
2014,EAV-16,Abfälle,,,,nicht anderswo im Verzeichnis aufgeführt,2878,931,7,772,0,,,,,,,,,,,
2014,EAV-160104-G, Altfahrzeuge,52,90,,5,90,,5,,,,,,,,,,,,,
2014,EAV-160107-G, Altfahrzeuge: Ölfilter,106,12,,1,9,,5,,,,,,,,,,,,,
2014,EAV-160108-G, Altfahrzeuge: Quecksilberhaltige Bauteile,-,-,-,,,,,,,,,,,,,,,,,
2014,EAV-160109-G, Altfahrzeuge: Bauteile,,,,die PCB enthalten,-,-,,,,,,,,,,,,,,
2014,EAV-160110-G, Altfahrzeuge: Explosive Bauteile (z.B.aus Airbags),59,1,,5,1,,4,,,,,,,,,,,,,
2014,EAV-160111-G, Altfahrzeuge: Asbesthaltige Bremsbeläge,5,0,,0,0,,0,,,,,,,,,,,,,
2014,EAV-160113-G, Altfahrzeuge: Bremsflüssigkeiten,146,12,,6,8,,8,,,,,,,,,,,,,
2014,EAV-160114-G, Altfahrzeuge: Frostschutzmittel m.gefährl. Stoffen,222,23,,9,17,,5,,,,,,,,,,,,,
2014,EAV-160121-G, Gefährl. Bauteile (oh.160107-160111,,,,160113-160114),50,3,0,2,9,,,,,,,,,,,
2014,EAV-160209-G, Transformatoren u. Kondensatoren,,,,die PCB enthal.,194,1,8,1,4,,,,,,,,,,,
2014,EAV-160210-G, Gebrauchte Geräte,,,,die PCB enthalten (oh.160209),5,0,0,0,0,,,,,,,,,,,
2014,EAV-160211-G, Gebrauchte Geräte,187,13,,1,6,,1,,,,,,,,,,,,,
2014,EAV-160212-G, Gebrauchte Geräte,,,,die freies Asbest enthalten,117,10,2,8,7,,,,,,,,,,,
2014,EAV-160213-G, Gebr. Geräte mit gefährl. Bauteilen (oh.160209-12),480,48,,5,37,,2,,,,,,,,,,,,,
2014,EAV-160215-G, Aus gebrauchten Geräten entfernte gefährl.Bauteile,151,53,,2,34,,9,,,,,,,,,,,,,
2014,EAV-160303-G, Fehlchargen:Anorganische Abfälle m.gefährl.Stoffen,71,4,,3,4,,3,,,,,,,,,,,,,
2014,EAV-160305-G, Fehlchargen: Organische Abfälle m.gefährl. Stoffen,128,7,,4,6,,9,,,,,,,,,,,,,
2014,EAV-160401-G, Munitionsabfälle,8,0,,0,0,,0,,,,,,,,,,,,,
2014,EAV-160402-G, Feuerwerkskörperabfälle,9,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-160403-G, Andere Explosivabfälle,22,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-160504-G, Gefährliche Stoffe enthaltende Gase in Druckbehäl.,347,4,,0,3,,2,,,,,,,,,,,,,
2014,EAV-160506-G, Laborchemikalien aus gefährlichen Stoffen,226,3,,7,2,,9,,,,,,,,,,,,,
2014,EAV-160507-G, Gebrauchte anorganische Chemikalien,446,7,,8,6,,3,,,,,,,,,,,,,
2014,EAV-160508-G, Gebrauchte organische Chemikalien,421,6,,8,5,,5,,,,,,,,,,,,,
2014,EAV-160601-G, Bleibatterien,462,322,,3,255,,0,,,,,,,,,,,,,
2014,EAV-160602-G, Ni-Cd-Batterien,103,1,,5,1,,3,,,,,,,,,,,,,
2014,EAV-160603-G, Quecksilber enthaltende Batterien,13,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-160606-G, Getrennt gesammelte Elektrolyte a. Batterien,,,,Akku.,23,2,1,1,4,,,,,,,,,,,
2014,EAV-160708-G, Tanks,,,,Fässer: Ölhaltige Abfälle,665,140,0,126,6,,,,,,,,,,,
2014,EAV-160709-G, Tanks,,,,Fässer: Abfälle mit sonstigen gefährl. St.,179,20,7,19,0,,,,,,,,,,,
2014,EAV-160802-G, Gebrauchte Katalysat. m.gefährl.Übergangsmetallen,104,14,,3,13,,5,,,,,,,,,,,,,
2014,EAV-160805-G, Gebrauchte Katalysatoren mit Phosphorsäure,3,0,,2,0,,2,,,,,,,,,,,,,
2014,EAV-160806-G, Gebrauchte Flüssigkeiten (Katalysatoren),4,0,,3,0,,3,,,,,,,,,,,,,
2014,EAV-160807-G, Gebrauchte Katalysatoren mit gefährlichen Stoffen,115,11,,2,10,,4,,,,,,,,,,,,,
2014,EAV-160901-G, Permanganate,,,,z.B. Kaliumpermanganat,-,-,,,,,,,,,,,,,,
2014,EAV-160902-G, Chromate (Kaliumchromat,,,,Kalium-o.Natriumdichromat),3,0,0,0,0,,,,,,,,,,,
2014,EAV-160903-G, Peroxide,,,,z.B. Wasserstoffperoxid,12,0,1,0,1,,,,,,,,,,,
2014,EAV-160904-G, Oxidierende Stoffe a.n.g.,7,0,,1,0,,1,,,,,,,,,,,,,
