GENESIS-Tabelle: 32141-0002
Bauschuttaufbereitungsanlagen: Deutschland, Jahre,;;;;;;
Abfallarten;;;;;;
Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen;;;;;;
Deutschland;;;;;;
;;;Bauschuttaufbereitungsanlagen;Input von Bauschuttaufbereitungsanlagen;Bauschuttaufbereitungsanlagen mit Output;Output von Bauschuttaufbereitungsanlagen
2014;EAV-200201-U;  Biologisch abbaubare Abfälle;17;21,3;9;8,0
2014;EAV-200202-U;  Boden und Steine;19;30,8;-;-
2014;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2014;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;-;-
2014;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2014;EAV-200303-U;  Straßenkehricht;13;42,5;-;-
2014;EAV-200306-U;  Abfälle aus der Kanalreinigung;-;-;-;-
2014;EAV-200307-U;  Sperrmüll;4;1,4;-;-
2014;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2014;EAV-99;Gefährliche Abfälle;168;1101,5;112;475,1
2014;EAV-990000-G;  Gefährliche Abfälle insgesamt;168;1101,5;112;475,1
2016;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-;-;-
2016;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);-;-;-;-
2016;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2016;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2016;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2016;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2016;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2016;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2016;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2016;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2016;EAV-10;Abfälle aus thermischen Prozessen;36;237,3;-;-
2016;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);7;15,5;-;-
2016;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2016;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2016;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;-;-;-;-
2016;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2016;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2016;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;15;144,9;-;-
2016;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2016;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);8;56,2;-;-
2016;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2016;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2016;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2016;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2016;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2016;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2016;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2016;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);3;4,5;-;-
2016;EAV-101314-U;  Betonabfälle und Betonschlämme;6;1,5;-;-
2016;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;-;-;-;-
2016;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2016;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2016;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2016;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);-;-;-;-
2016;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-;-
2016;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;-;-
2016;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2016;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2016;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;-;-;-;-
2016;EAV-150101-U;  Verpackungen aus Papier und Pappe;-;-;-;-
2016;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2016;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2016;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;-;-;-;-
2016;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2016;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2016;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2016;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;13;52,7;-;-
2016;EAV-160103-U;  Altreifen;-;-;-;-
2016;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2016;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);12;52,1;-;-
2016;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);3;0,6;-;-
2016;EAV-17;Bau- und Abbruchabfälle;2394;68961,9;244;3306,7
2016;EAV-170101-U;  Beton;1887;23166,7;67;696,8
2016;EAV-170102-U;  Ziegel;925;3999,4;36;93,2
2016;EAV-170103-U;  Fliesen und Keramik;336;574,2;5;15,6
2016;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;5;0,7;-;-
2016;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1403;17692,5;88;631,2
2016;EAV-170201-U;  Holz;46;44,1;17;3,6
2016;EAV-170202-U;  Glas;6;0,9;-;-
2016;EAV-170203-U;  Kunststoff;-;-;-;-
2016;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;11;3,2;7;0,5
2016;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;124;957,2;68;500,9
2016;EAV-170302-U;  Bitumengemische (ohne 170301);1097;10805,4;47;352,4
2016;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;11;46,6;9;1,2
2016;EAV-170402-U;  Aluminium;-;-;-;-
2016;EAV-170403-U;  Blei;-;-;-;-
2016;EAV-170405-U;  Eisen und Stahl;14;2,4;23;24,0
2016;EAV-170407-U;  Gemischte Metalle;-;-;7;3,6
2016;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2016;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;3;9,0;-;-
2016;EAV-170504-U;  Boden und Steine (ohne 170503);778;9613,5;61;747,8
2016;EAV-170506-U;  Baggergut (ohne 170505);21;93,2;-;-
2016;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;8;72,2;-;-
2016;EAV-170508-U;  Gleisschotter (ohne 170507);91;1629,8;13;169,3
2016;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2016;EAV-170603-G;  Anderes Dämmmaterial;5;0,1;6;0,3
2016;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);-;-;-;-
2016;EAV-170605-G;  Asbesthaltige Baustoffe;7;0,4;6;0,4
2016;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);42;29,1;27;18,5
2016;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2016;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);58;220,6;72;47,2
2016;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;37;630,4;2332;65826,5
2016;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2016;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);5;438,4;-;-
2016;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2016;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2016;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2016;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;-;-
2016;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2016;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2016;EAV-190802-U;  Sandfangrückstände;3;0,4;-;-
2016;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2016;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;71;3,0
2016;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;-;-;712;217,2
2016;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;101;13,9
2016;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;84;3,6
2016;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;4;0,3
2016;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2016;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;8;2,1
2016;EAV-191207-U;  Holz (ohne 191206);-;-;202;62,7
2016;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2016;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);26;120,9;32;934,2
2016;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1807;38121,4
2016;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1315;15930,7
2016;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;81;452,4
2016;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;233;5942,4
2016;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;270;3630,3
2016;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2016;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2016;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;5;27,7
2016;EAV-191212-U;  Sonstige Abfälle (ohne 191211);8;10,0;242;249,1
2016;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2016;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);45;68,3;10;5,4
2016;EAV-200101-U;  Papier und Pappe;-;-;-;-
2016;EAV-200102-U;  Glas;-;-;-;-
2016;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2016;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2016;EAV-200138-U;  Holz (ohne 200137);-;-;-;-
2016;EAV-200140-U;  Metalle;-;-;-;-
2016;EAV-200201-U;  Biologisch abbaubare Abfälle;17;30,1;9;2,8
2016;EAV-200202-U;  Boden und Steine;16;32,1;-;-
2016;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2016;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;-;-
2016;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2016;EAV-200303-U;  Straßenkehricht;8;3,6;-;-
2016;EAV-200306-U;  Abfälle aus der Kanalreinigung;-;-;-;-
2016;EAV-200307-U;  Sperrmüll;3;1,1;-;-
2016;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2016;EAV-99;Gefährliche Abfälle;150;1089,4;89;533,0
2016;EAV-990000-G;  Gefährliche Abfälle insgesamt;150;1089,4;89;533,0
2018;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;3;0,1;-;-
2018;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);3;0,1;-;-
2018;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2018;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2018;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2018;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2018;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2018;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2018;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2018;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2018;EAV-10;Abfälle aus thermischen Prozessen;37;190,4;-;-
2018;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);9;20,4;-;-
2018;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2018;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2018;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;-;-;-;-
2018;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2018;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2018;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;17;61,5;-;-
2018;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2018;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);10;63,8;-;-
2018;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2018;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2018;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2018;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2018;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2018;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2018;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2018;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);3;7,2;-;-
2018;EAV-101314-U;  Betonabfälle und Betonschlämme;15;7,5;-;-
2018;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;7;2,2;-;-
2018;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2018;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2018;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2018;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);7;2,2;-;-
2018;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-;-
2018;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;-;-
2018;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2018;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2018;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;7;4,2;5;0,8
2018;EAV-150101-U;  Verpackungen aus Papier und Pappe;4;0,2;4;0,1
2018;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;3;0,0
2018;EAV-150103-U;  Verpackungen aus Holz;5;1,1;-;-
2018;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;4;3,0;-;-
2018;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2018;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2018;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2018;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;12;86,0;-;-
2018;EAV-160103-U;  Altreifen;-;-;-;-
2018;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2018;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);10;81,5;-;-
2018;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);6;4,5;-;-
2018;EAV-17;Bau- und Abbruchabfälle;2552;70154,6;297;4684,6
2018;EAV-170101-U;  Beton;2012;23169,0;86;1056,2
2018;EAV-170102-U;  Ziegel;972;4219,0;56;134,0
2018;EAV-170103-U;  Fliesen und Keramik;336;464,7;-;-
2018;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;5;23,2;-;-
2018;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);1508;18726,5;105;545,9
2018;EAV-170201-U;  Holz;37;22,0;23;11,2
2018;EAV-170202-U;  Glas;7;0,8;3;0,4
2018;EAV-170203-U;  Kunststoff;-;-;-;-
2018;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;9;2,0;7;0,8
2018;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;138;1325,0;126;543,5
2018;EAV-170302-U;  Bitumengemische (ohne 170301);1110;8429,4;53;516,6
2018;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;8;30,4;8;0,6
2018;EAV-170402-U;  Aluminium;-;-;-;-
2018;EAV-170403-U;  Blei;-;-;-;-
2018;EAV-170405-U;  Eisen und Stahl;8;0,6;21;3,9
2018;EAV-170407-U;  Gemischte Metalle;3;0,4;8;1,6
2018;EAV-170411-U;  Kabel (ohne 170410);-;-;-;-
2018;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;9;127,8;-;-
2018;EAV-170504-U;  Boden und Steine (ohne 170503);855;11660,6;80;1648,0
2018;EAV-170506-U;  Baggergut (ohne 170505);19;85,5;-;-
2018;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;7;53,6;-;-
2018;EAV-170508-U;  Gleisschotter (ohne 170507);80;1545,5;10;170,5
2018;EAV-170601-G;  Dämmmaterial, das Asbest enthält;-;-;-;-
2018;EAV-170603-G;  Anderes Dämmmaterial;8;2,1;8;2,3
2018;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);4;0,2;-;-
2018;EAV-170605-G;  Asbesthaltige Baustoffe;6;0,9;7;0,5
2018;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);53;30,2;24;19,1
2018;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;-;-;-;-
2018;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);68;235,4;46;25,3
2018;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;48;712,8;2503;64236,0
2018;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;-;-;-;-
2018;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);10;430,0;-;-
2018;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;-;-;-;-
2018;EAV-190114-U;  Filterstaub (ohne 190113);-;-;-;-
2018;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-;-;-
2018;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-;-;-
2018;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;-;-;-;-
2018;EAV-190801-U;  Sieb- und Rechenrückstände;-;-;-;-
2018;EAV-190802-U;  Sandfangrückstände;5;1,8;-;-
2018;EAV-190903-U;  Schlämme aus der Dekarbonatisierung;-;-;-;-
2018;EAV-19120100-U;  Mech.Abfallbehandlung: Papier, Pappe nicht diff.;-;-;97;66,0
2018;EAV-191202-U;  Mech.Abfallbehandlung: Eisenmetalle;4;0,3;833;212,5
2018;EAV-191203-U;  Mech.Abfallbehandlung: Nichteisenmetalle;-;-;97;11,4
2018;EAV-191204-U;  Mech.Abfallbehandlung: Kunststoff und Gummi;-;-;161;3,5
2018;EAV-19120500-U;  Mech.Abfallbehandlung: Glas nicht differenzierbar;-;-;4;0,4
2018;EAV-19120505-U;  Mech.Abfallbehandlung: Mischglas;-;-;-;-
2018;EAV-191206-G;  Mech.Abfallbehandlung: Holz mit gefährl. Stoffen;-;-;6;0,9
2018;EAV-191207-U;  Holz (ohne 191206);-;-;300;67,6
2018;EAV-191208-U;  Mech.Abfallbehandlung: Textilien;-;-;-;-
2018;EAV-19120900-U;  Mech.Abfallbehandlung: Mineralien (Sand, Steine);35;214,4;64;1367,3
2018;EAV-19120901-U;  Erzeugnisse für Verwendung im Straßen-u. Wegebau;-;-;1881;37554,3
2018;EAV-19120902-U;  Erzeugnisse für Verwendung im sonstigen Erdbau;-;-;1309;16341,2
2018;EAV-19120903-U;  Erzeugnisse f.d. Verwendung in Betonmischanlagen;-;-;91;528,3
2018;EAV-19120904-U;  Erzeugnisse für Verwendung in Asphaltmischanlagen;-;-;227;4377,2
2018;EAV-19120905-U;  Erzeugnisse für sonstige Verwendung;-;-;177;2686,1
2018;EAV-19120906-U;  Heißmischgut für den Straßen- und Wegebau;-;-;-;-
2018;EAV-191210-U;  Brennbare Abfälle (Brennstoffe aus Abfällen);-;-;-;-
2018;EAV-191211-G;  Sonstige Abfälle (einschl. Materialmischungen);-;-;3;19,2
2018;EAV-191212-U;  Sonstige Abfälle (ohne 191211);9;11,6;230;738,7
2018;EAV-191302-U;  Feste Abfälle aus Sanierung von Böden (oh.191301);-;-;-;-
2018;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);40;86,9;16;38,6
2018;EAV-200101-U;  Papier und Pappe;3;3,8;-;-
2018;EAV-200102-U;  Glas;-;-;-;-
2018;EAV-200135-G;  Gebrauchte elektrische Geräte (oh.200121,200123);-;-;-;-
2018;EAV-200137-G;  Holz, das gefährliche Stoffe enthält;-;-;-;-
2018;EAV-200138-U;  Holz (ohne 200137);5;4,2;-;-
2018;EAV-200140-U;  Metalle;-;-;-;-
2018;EAV-200201-U;  Biologisch abbaubare Abfälle;11;17,2;10;11,7
2018;EAV-200202-U;  Boden und Steine;8;10,5;-;-
2018;EAV-200203-U;  Andere nicht biologisch abbaubare Abfälle;-;-;-;-
2018;EAV-20030100-U;  Gemischte Siedlungsabfälle nicht differenzierbar;-;-;6;12,6
2018;EAV-20030101-U;  Hausmüll, hausmüllähnliche Gewerbeabfälle;-;-;-;-
2018;EAV-200303-U;  Straßenkehricht;21;43,3;-;-
2018;EAV-200306-U;  Abfälle aus der Kanalreinigung;7;1,6;-;-
2018;EAV-200307-U;  Sperrmüll;6;6,3;-;-
2018;EAV-200399-U;  Siedlungsabfälle a.n.g.;-;-;-;-
2018;EAV-99;Gefährliche Abfälle;163;1564,9;149;567,8
2018;EAV-990000-G;  Gefährliche Abfälle insgesamt;163;1564,9;149;567,8
2020;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;5;1,2;-;-
2020;EAV-010413-U;  Abfälle aus Steinmetz-,-sägearbeiten (ohne 010407);5;1,2;-;-
2020;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;-;-;-;-
2020;EAV-020401-U;  Zuckerherstellung: Rübenerde;-;-;-;-
2020;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-;-;-
2020;EAV-030310-U;  Faserabfälle, Faser-, Füller- und Überzugsschlämme;-;-;-;-
2020;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-;-;-
2020;EAV-050117-U;  Erdölraffination: Bitumen;-;-;-;-
2020;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;-;-;-;-
2020;EAV-060899-U;  Silizium, Siliziumverbindungen: Abfälle a.n.g.;-;-;-;-
2020;EAV-10;Abfälle aus thermischen Prozessen;39;186,6;-;-
2020;EAV-100101-U;  Rost-u. Kesselasche,Schlacken,Kesselst.(oh.100104);8;39,4;-;-
2020;EAV-100117-U;  Filterstäube aus Abfallmitverbrennung (oh.100116);-;-;-;-
2020;EAV-100201-U;  Eisen-,Stahlind.: Abfälle aus Schlackeverarbeitung;-;-;-;-
2020;EAV-100202-U;  Eisen-,Stahlind.: Unbearbeitete Schlacke;-;-;-;-
2020;EAV-100501-U;  Zinkmetallurgie: Schlacken (Erst-, Zweitschmelze);-;-;-;-
2020;EAV-100503-G;  Zinkmetallurgie: Filterstaub;-;-;-;-
2020;EAV-100903-U;  Eisen,Stahl: Ofenschlacke;10;73,0;-;-
2020;EAV-100906-U;  Gießformen und -sande vor dem Gießen (oh.100905);-;-;-;-
2020;EAV-100908-U;  Gießformen u. -sande nach dem Gießen (ohne 100907);6;30,9;-;-
2020;EAV-101008-U;  Gießformen und -sande nach dem Gießen (oh. 101007);-;-;-;-
2020;EAV-101112-U;  Glasabfall (ohne 101111);-;-;-;-
2020;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;-;-;-;-
2020;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;-;-;-;-
2020;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;-;-;-;-
2020;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);-;-;-;-
2020;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;-;-;-;-
2020;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);-;-;-;-
2020;EAV-101314-U;  Betonabfälle und Betonschlämme;22;31,4;-;-
2020;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;5;3,0;-;-
2020;EAV-120101-U;  Eisenfeil- und -drehspäne;-;-;-;-
2020;EAV-120103-U;  NE-Metallfeil- und -drehspäne;-;-;-;-
2020;EAV-120105-U;  Kunststoffspäne und -drehspäne;-;-;-;-
2020;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);5;3,0;-;-
2020;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;-;-;-;-
2020;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;-;-;-;-
2020;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;-;-;-;-
2020;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;-;-;-;-
2020;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;4;6,8;-;-
2020;EAV-150101-U;  Verpackungen aus Papier und Pappe;-;-;-;-
2020;EAV-150102-U;  Verpackungen aus Kunststoff;-;-;-;-
2020;EAV-150103-U;  Verpackungen aus Holz;-;-;-;-
2020;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;3;0,9;-;-
2020;EAV-150107-U;  Verpackungen aus Glas;-;-;-;-
2020;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;-;-;-;-
2020;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);-;-;-;-
2020;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;10;104,1;-;-
2020;EAV-160103-U;  Altreifen;-;-;-;-
2020;EAV-160119-U;  Altfahrzeuge: Kunststoffe;-;-;-;-
2020;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);7;87,8;-;-
2020;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);7;16,4;-;-
