GENESIS table: 32161-0001
Companies, amount of waste generated: Germany, years,;;;;
types of waste;;;;
Waste generation survey;;;;
Germany;;;;
;;;Operations;Amount of waste generated
2014;EAV-100914-U; Binding agent waste (without 100913);-;-
2014;EAV-100915-G; Iron,steel: from crack-indicating substances;-;-
2014;EAV-100916-U; Waste from crack-indicating substances (oh.100915);-;-
2014;EAV-100999-U; Casting of iron and steel: wastes not otherwise specified;8;1,9
2014;EAV-101003-U; Non-ferrous metals: furnace slag;32;8.5
2014;EAV-101005-G; Non-ferrous metals: casting moulds, sands before casting;-;-
2014;EAV-101006-U; Casting molds and sand before casting (without 101005);14;38.5
2014;EAV-101007-G; Non-ferrous metals: casting moulds, sand after casting;5;2,3
2014;EAV-101008-U; Casting molds and sands after casting (oh. 101007);59;318.4
2014;EAV-101009-G; Non-ferrous metals: filter dust with hazardous substances; 12; 3.1
2014;EAV-101010-U; Filter dust (without 101009);13;9.6
2014;EAV-101011-G; Non-ferrous metals: And. particles with dangerous fabrics;-;-
2014;EAV-101012-U; Other particles (excluding 101011);6;0.7
2014;EAV-101013-G; Non-ferrous metal: Abf.v. Binding agents with hazardous tax;-;-
2014;EAV-101014-U; Binding waste (without 101013);-;-
2014;EAV-101015-G; Non-ferrous metals: waste from crack-indicating substances;-;-
2014;EAV-101016-U; Waste from crack-indicating substances (oh.101015);-;-
2014;EAV-101099-U; Casting of non-ferrous metals: wastes not otherwise specified;7;0.3
2014;EAV-101103-U; Glass fiber waste;50;32.4
2014;EAV-101105-U; Glass manufacture: particles and dust;32;8,6
2014;EAV-101109-G; Mixture waste with hazardous fabrics v. i.e. melts;11;0.6
2014;EAV-101110-U; Batch waste before melting (without 101109);15;4.4
2014;EAV-101111-G; glass waste in small particles and glass dust;10;2,6
2014;EAV-101112-U; Glass waste (without 101111);233;197.4
2014;EAV-101113-G; Glass polishing and glass grinding sludge;27;1.0
2014;EAV-101114-U; Glass polishing and glass grinding sludge (without 101113);51;4.1
2014;EAV-101115-G; Glass manufacture: solid waste from gas treatment;24;3,4
2014;EAV-101116-U; Solid waste from flue gas treatment (excluding 101115);15;3.1
2014;EAV-101117-G; Glass production: sludges, filters. from flue gas treatment;-;-
2014;EAV-101118-U; Sludge and filter cake from exhaust gas treatment (oh.101117);4;0.1
2014;EAV-101119-G; Glass manuf.: Solid waste a. in-house Sewage treatment;6;0.3
2014;EAV-101120-U; solid waste a. operational Sewage treatment (oh.101119);6;0.4
2014;EAV-101199-U; Glass manufacture: wastes not otherwise specified;6;1,9
2014;EAV-101201-U; Pottery products: raw mixtures before firing;42;31.0
2014;EAV-101203-U; Ceramic products: particles and dust;55;7,7
2014;EAV-101205-U; Ceramic products: slurries, filter c. a.exhaust tank;-;-
2014;EAV-101206-U; Pottery: discarded forms;33;7,2
2014;EAV-101208-U; Waste from ceramic products, bricks, etc.;99;103.4
2014;EAV-101209-G; Ceramic products: solid waste a. Emission treatment;16;3.5
2014;EAV-101210-U; Solid waste from flue gas treatment (excluding 101209);57;12.1
2014;EAV-101211-G; Ceramic products: glaze waste with heavy metals;3;0.1
2014;EAV-101212-U; glaze waste (without 101211);6;0.3
2014;EAV-101213-U; Ceramic products: sludge (in-house waste water treatment); 39; 182.0
2014;EAV-101299-U; Ceramic products, ceramic building materials: waste not otherwise specified;19;4,2
2014;EAV-101301-U; Cement and others: waste from raw batch before burning;4;101.3
2014;EAV-101304-U; Waste from calcination, hydration of quicklime;29;124.3
2014;EAV-101306-U; Cement etc.: particles, dust (except 101312,101313);50;202.8
2014;EAV-101307-U; Cement etc.: sludge, filter cake from exhaust gas treatment;-;-
2014;EAV-101309-G; Waste containing asbestos a. Manufacturing. v. asbestos cement;-;-
2014;EAV-101310-U; waste from production Asbestos cement(oh.101309);-;-
2014;EAV-101311-U; Composite waste (excluding 101309, 101310);30;42.0
2014;EAV-101312-G; Cement and others: Solid waste from flue gas treatment;4;5,3
2014;EAV-101313-U; Solid waste from flue gas treatment (excluding 101312);4;0.1
2014;EAV-101314-U; Concrete waste and concrete sludge;138;273.9
2014;EAV-101399-U; Cement, gypsum, quicklime: wastes not otherwise specified;14;6,8
2014;EAV-101401-G; Crematoria: mercury h. Waste from gas cleaning;4;0.0
2014;EAV-11;Waste from chemical surface treatment;;
2014;EAV-110105-G; Surface finish: Acid pickling solutions;617;155.7
2014;EAV-110106-G; Surface treat.: Acids not otherwise specified;201;7,6
2014;EAV-110107-G; Surface treatment: Alkaline pickling solutions;572;40.9
2014;EAV-110108-G; Surface treatment: phosphating sludge;183;7.4
2014;EAV-110109-G; Surface treatment: sludge, filter cake with col.;616;53.0
2014;EAV-110110-U; sludge and filter cake (without 110109);92;47.4
2014;EAV-110111-G; Surface treatment: Aqueous flushing liquid. with tax; 661; 44.9
2014;EAV-110112-U; Aqueous rinsing fluids (excluding 110111);77;6.1
2014;EAV-110113-G; Surface treatment: Waste from degreasing, including tax; 116; 7.9
2014;EAV-110114-U; Waste from degreasing (excluding 110113);12;0.3
2014;EAV-110115-G; Surface treatment: eluates, sludges a. membrane system;3;0.4
2014;EAV-110116-G; Surface treatment: ion exchange resins;23;0.1
2014;EAV-110198-G; Surface treatment: Other waste with hazardous St.;208;8.2
2014;EAV-110199-U; Surface treatment: waste not otherwise specified;10;10.6
2014;EAV-110202-G; Sludge from zinc hydrometallurgy;7;157.1
2014;EAV-110203-U; waste from the manufacture of anodes;-;-
2014;EAV-110205-G; Waste from copper hydrometallurgy processes;-;-
2014;EAV-110206-U; waste from process. d.Kupfer-Hydromet.(oh.110205);-;-
2014;EAV-110207-G; Non-ferrous hydrometallurgy: Other Abf. with dangerous tax;-;-
2014;EAV-110299-U; Non-ferrous hydrometallurgy: wastes not otherwise specified;5;13,9
2014;EAV-110301-G; Sludges, solids from hardening processes: cyanidh. waste;35;0.5
2014;EAV-110302-G; Sludges, solids from hardening processes: Other waste;56;1.4
2014;EAV-110501-U; Galvanizing: hard zinc;15;6.1
2014;EAV-110502-U; Galvanizing: zinc ash;15;2.2
2014;EAV-110503-G; Galvanizing: Solid waste from flue gas treatment;7;0.2
2014;EAV-110504-G; Galvanizing: Used fluxes;-;-
2014;EAV-110599-U; galvanizing: waste not otherwise specified;-;-
2014;EAV-12;Waste from mechanical shaping processes;;
2014;EAV-120101-U; Iron filings and turnings;2549;1548.7
2014;EAV-120102-U; Iron dust and particles;2492;3109.9
2014;EAV-120103-U; Non-ferrous metal filings and turnings;1792;312.6
2014;EAV-120104-U; non-ferrous metal dust and particles; 1385; 201.1
2014;EAV-120105-U; Plastic shavings and turnings;490;58.0
2014;EAV-120106-G; Mineral oil-based machining oils containing halogens;21;0.3
2014;EAV-120107-G; Halogen-free mineral-based machining oils;149;27.9
2014;EAV-120108-G; Halogenated Machining Emulsions & Solutions;30;3,6
2014;EAV-120109-G; Halogen-free machining emulsions and solutions;4666;417.6
2014;EAV-120110-G; Synthetic machining oils;34;0.8
2014;EAV-120112-G; Used waxes and fats;622;9.7
2014;EAV-120113-U; Sweat debris;84;33.1
2014;EAV-120114-G; Machining sludges with dangerous substances;338;18.3
2014;EAV-120115-U; Machining sludge (without 120114);117;10.7
2014;EAV-120116-G; Abrasive waste (with dangerous substances);198;11.3
2014;EAV-120117-U; Abrasive waste (without 120116);766;62.2
2014;EAV-120118-G; Oily metal sludge (grinding sludge, etc.);670;47.5
2014;EAV-120119-G; Easily biodegradable machining oils;-;-
2014;EAV-120120-G; Used honing and abrasives with hazardous substances;79;3.5
2014;EAV-120121-U; Used honing and abrasives (without 120120);434;13.4
2014;EAV-120199-U; surface treatment Metals, plastics: waste not otherwise specified;187;128.0
2014;EAV-120301-G; Aqueous washing liquids;424;25.5
2014;EAV-120302-G; Wastes from vapor degreasing;15;2.1
2014;EAV-13;Oil waste and liquid fuel waste;;
2014;EAV-130101-G; Hydraulic oils containing PCB;6;0.0
2014;EAV-130104-G; Hydraulic oils: chlorinated emulsions;-;-
2014;EAV-130105-G; Hydraulic oils: Non-chlorinated emulsions;136;5.8
2014;EAV-130109-G; Chlorinated hydraulic oils based on mineral oil;4;0.0
2014;EAV-130110-G; Mineral-based non-chlorinated hydraulic oils;229;2.5
2014;EAV-130111-G; Synthetic hydraulic oils;20;0.1
2014;EAV-130112-G; Easily biodegradable hydraulic oils;7;0.0
2014;EAV-130113-G; Other hydraulic oils;29;0.1
2014;EAV-130204-G; Chlorinated engine, gear and lubricating oils;100;0.8
2014;EAV-130205-G; Non-chlorinated machine, gear and lubricating oils;5817;75.4
2014;EAV-130206-G; Synthetic engine, gear and lubricating oils;64;0.2
2014;EAV-130207-G; Easily biodegradable. Machine, gear oils;10;0.0
2014;EAV-130208-G; Other engine, gear and lubricating oils;474;7.9
2014;EAV-130301-G; Insulating and heat transfer oils with PCB;28;0.2
2014;EAV-130306-G; Chlorine. Insulating and heat transfer oils(oh.130301);4;0.0
2014;EAV-130307-G; Non-chlorinated insulating and heat transfer oils;148;4.9
2014;EAV-130308-G; Synthetic insulating and heat transfer oils;28;0.8
2014;EAV-130309-G; Biologist easily degradable. Insulation and Heat transfer oils;-;-
2014;EAV-130310-G; Other insulating and heat transfer oils;26;0.1
2014;EAV-130401-G; Bilge oils from inland shipping;-;-
2014;EAV-130402-G; Bilge oils from jetty drains;-;-
2014;EAV-130403-G; Bilge oils from other shipping;17;2.7
2014;EAV-130501-G; Solid waste from grit chambers and oil/water separators;237;17.5
2014;EAV-130502-G; Oil/water separator sludges;1690;60.9
2014;EAV-130503-G; sludges from sumps;453;11.3
2014;EAV-130506-G; Oils from oil/water separators;53;2.0
2014;EAV-130507-G; Oily water from oil/water separators;356;21.5
2014;EAV-130508-G; Waste mixtures from sand traps, oil/water separators;882;19.0
2014;EAV-130701-G; Heating oil and diesel;128;0.9
2014;EAV-130702-G; Gasoline;57;0.5
2014;EAV-130703-G; Other fuels (including mixtures);250;8.5
2014;EAV-130801-G; Oil waste: sludges or emulsions from desalinators;-;-
2014;EAV-130802-G; Oil waste: other emulsions;462;11.8
2014;EAV-130899-G; Oil waste: waste not otherwise specified;342;18.1
2014;EAV-14;Waste from organic solvents, coolants;;
2014;EAV-140601-G; chlorofluorocarbons, HCFC, HFC;109;0.1
2014;EAV-140602-G; Other halogenated solvents and solvent mixtures;367;2.4
2014;EAV-140603-G; Other solvents and solvent mixtures;3114;36.5
2014;EAV-140604-G; sludge, solid waste (halogenated solvents);18;1.1
2014;EAV-140605-G; sludge, solid waste (other solvents);63;1.9
2014;EAV-15;Packaging waste, absorbent masses, wipes;;
2014;EAV-150101-U; Paper and cardboard packaging;13499;1669.4
2014;EAV-150102-U; Plastic packaging;9727;431.1
2014;EAV-150103-U; Wooden packaging;6912;446.5
2014;EAV-150104-U; Metal packaging;895;48.4
2014;EAV-150105-U; Composite packaging;374;64.0
2014;EAV-15010600-U; Mixed packs not differentiable;7039;561.8
2014;EAV-15010601-U; Lightweight packaging (LVP);1493;34.0
2014;EAV-15010602-U; Mixed recyclables together with lightweight packaging;207;12.8
2014;EAV-150107-U; Glass packaging;932;96.3
2014;EAV-150109-U; Textile packaging;18;0.5
2014;EAV-150110-G; Packaging with residues of dangerous substances;4450;39.7
2014;EAV-150111-G; metal packaging;87;0.6
2014;EAV-150202-G; absorbent and filter materials, wipes;8431;100.1
2014;EAV-150203-U; Absorbent and filter materials (without 150202);511;34.3
2014;EAV-16;Wastes not included elsewhere in the inventory;;
2014;EAV-160103-U; Used tires;685;57.9
2014;EAV-160104-G; end-of-life vehicles;31;5.7
2014;EAV-160106-U; end-of-life vehicles without hazardous components;14;10.8
2014;EAV-160107-G; Old vehicles: oil filter;390;0.6
2014;EAV-160108-G; End-of-life vehicles: components containing mercury;10;0.1
2014;EAV-160109-G; End-of-life vehicles: components containing PCBs;-;-
2014;EAV-160110-G; End-of-life vehicles: Explosive components (e.g. from airbags);44;0.7
2014;EAV-160111-G; End-of-life vehicles: brake pads containing asbestos;5;0.0
2014;EAV-160112-U; Brake pads (without 160111);35;1.8
2014;EAV-160113-G; Old vehicles: brake fluids;160;0.3
2014;EAV-160114-G; End-of-life vehicles: antifreeze m.dangerous. Substances;606;2.7
2014;EAV-160115-U; Antifreeze (without 160114);25;0.1
2014;EAV-160116-U; End-of-life vehicles: LPG tanks;-;-
2014;EAV-160117-U; End-of-life vehicles: ferrous metals;269;413.9
2014;EAV-160118-U; End-of-life vehicles: non-ferrous metals;173;87.2
2014;EAV-160119-U; End-of-life vehicles: plastics;132;14.1
2014;EAV-160120-U; End-of-life vehicles: glass;121;3.6
2014;EAV-16012100-G; dangerous Components (oh.160107-160111,160113-160114);30;1.2
2014;EAV-16012101-G; dangerous metal.components (oh.160107-11,160113-14);8;0.6
2014;EAV-16012102-G; dangerous n.metal.components(without.160107-11,160113-14);-;-
2014;EAV-16012200-U; Components not differentiable;25;2.4
2014;EAV-16012201-U; Metallic components;58;5.4
2014;EAV-16012202-U; Non-metallic components;4;0.1
2014;EAV-160199-U; End-of-life vehicles: waste not otherwise specified;29;0.6
2014;EAV-160209-G; Transformers & Capacitors containing PCB.;254;0.3
2014;EAV-160210-G; Used equipment containing PCB (oh.160209);22;0.1
2014;EAV-160211-G; Used equipment;777;1.5
2014;EAV-160212-G; Used equipment containing free asbestos;45;0.1
2014;EAV-160213-G; Used devices with dangerous components (oh.160209-12);2047;19.6
2014;EAV-160214-U; Used devices (without 160209 to 160213);1814;21.1
2014;EAV-16021500-G; Hazardous components removed from used equipment;68;0.2
2014;EAV-16021501-G; Waste containing mercury;-;-
2014;EAV-16021502-G; printed circuit boards;30;0.3
2014;EAV-16021503-G; Toner cartridges;184;0.2
2014;EAV-16021504-G; Plastics with brominated flame retardant;-;-
2014;EAV-16021505-G; Components containing asbestos;-;-
2014;EAV-16021506-G; cathode ray tubes;5;0.0
2014;EAV-16021507-G; gas discharge lamps;9;0.0
2014;EAV-16021508-G; Liquid crystal displays;-;-
2014;EAV-16021509-G; External electrical wiring;20;0.1
2014;EAV-16021510-G; Components containing refractory ceramic fibers;-;-
2014;EAV-16021511-G; Electrolytic - Capacitors;-;-
2014;EAV-16021512-G; Photoconductor drums containing cadmium or selenium;-;-
2014;EAV-16021600-U; Remove from used devices. Components (oh.160215);442;5.3
2014;EAV-16021601-U; External electrical wiring (including cables);229;0.8
2014;EAV-160303-G; Bad batches: inorganic waste with hazardous substances;73;4.3
2014;EAV-160304-U; Inorganic waste (excluding 160303);121;7.5
2014;EAV-160305-G; Bad batches: Organic waste with hazardous Substances;141;5.1
2014;EAV-160306-U; Organic waste (excluding 160305);156;13.2
2014;EAV-160401-G; ammunition waste;-;-
2014;EAV-160402-G; fireworks waste;3;0.1
2014;EAV-160403-G; Other explosive waste;18;0,1
2014;EAV-160504-G; Gases in pressure vessels containing dangerous substances;1389;1.6
2014;EAV-160505-U; Gases in pressure vessels (excluding 160504);52;0.0
2014;EAV-160506-G; Laboratory chemicals from hazardous substances;922;3.5
2014;EAV-160507-G; Used inorganic chemicals;1367;3.1
2014;EAV-160508-G; Used Organic Chemicals;1316;6.0
2014;EAV-160509-U; Used chemicals (excluding 160506-160508);129;2.4
2014;EAV-160601-G; Lead-acid batteries;1888;19.1
2014;EAV-160602-G; Ni-Cd batteries;191;0.1
2014;EAV-160603-G; Batteries containing mercury;6;0.0
2014;EAV-160604-U; Alkaline batteries (except 160603);454;0.4
2014;EAV-160605-U; Other batteries and accumulators;190;1.7
2014;EAV-160606-G; Separately collected electrolytes a. Batteries, rechargeable battery.; 16; 1.0
2014;EAV-160708-G; Tanks, barrels: oily waste;870;45.7
2014;EAV-160709-G; Tanks, barrels: waste with other hazardous St.;131;8.1
2014;EAV-160799-U; Tanks, casks: wastes not otherwise specified;8;1,7
2014;EAV-160801-U; Used catalytic converters (without 160807);38;0.9
2014;EAV-160802-G; Used catalyst. m.dangerous.transition metals;76;11.5
2014;EAV-160803-U; Used catalysts with transition metals;15;2.0
2014;EAV-160804-U; Used catalysts v. crack proc.(oh. 160807);8;8.5
2014;EAV-160805-G; Used catalysts with phosphoric acid;4;0.3
2014;EAV-160806-G; Used fluids (catalysts);6;0.7
2014;EAV-160807-G; Used catalysts with hazardous substances;78;9.5
2014;EAV-160901-G; permanganates, e.g. potassium permanganate;-;-
2014;EAV-160902-G; Chromates (potassium chromate, potassium or sodium dichromate);-;-
2014;EAV-160903-G; peroxides, e.g., hydrogen peroxide;11;0.0
2014;EAV-160904-G; Oxidizing substances n.e.c.;7;0.1
2014;EAV-161001-G; Aqueous liquid waste containing hazardous substances;190;20.9
2014;EAV-161002-U; Aqueous liquid waste (excluding 161001);217;33.0
2014;EAV-161003-G; Aqueous concentrates with dangerous substances;107;2.5
2014;EAV-161004-U; Aqueous concentrates (excluding 161003);12;0.7
2014;EAV-161101-G; Metallurgical refractory materials. processes;12;3,3
2014;EAV-161102-U; Refractory mat. from metallurg. percent (oh.161101);31;1.6
2014;EAV-161103-G; Other linings and refractories;38;15.9
2014;EAV-161104-U; Refractory mat. from metallurg. percent (oh.161103);217;363.1
2014;EAV-161105-G; Non-metallurgical refractory materials. percent;56;13.0
2014;EAV-161106-U; Refractory material a. nonmetallurgical proc.(oh.161105);128;25.2
2014;EAV-17;Construction and demolition waste;;
2014;EAV-170101-U; Concrete;812;372.8
2014;EAV-170102-U; Brick;291;51.8
2014;EAV-170103-U; tiles and ceramics;252;25.9
2014;EAV-170106-G; Mixtures from o. separate fractions v. Concrete, etc.;276;101.5
2014;EAV-170107-U; Mixtures of concrete, bricks, etc. (oh.170106);2313;902.4
2014;EAV-170201-U; Wood;3507;172.6
2014;EAV-170202-U; Glass;591;15.2
2014;EAV-170203-U; Plastic;659;25.9
2014;EAV-170204-G; Glass, plastic and wood with dangerous substances;949;54.8
2014;EAV-170301-G; Bituminous mixtures containing coal tar;253;205.4
2014;EAV-170302-U; Bitumen mixtures (without 170301);457;400.7
2014;EAV-170303-G; Coal tar and tarry products;208;4.0
2014;EAV-170401-U; copper, bronze, brass;978;15.7
2014;EAV-170402-U; Aluminum;1605;62.7
2014;EAV-170403-U; Lead;82;0.6
2014;EAV-170404-U; Zinc;56;1.7
2014;EAV-170405-U; Iron and Steel;3539;1307.3
2014;EAV-170406-U; tin;37;0.6
2014;EAV-170407-U; Mixed metals;1736;163.9
2014;EAV-170409-G; Metal waste with dangerous substances;93;18.3
2014;EAV-170410-G; Cables hazardous to oil, coal tar, etc. Substances contain;123;3.1
2014;EAV-170411-U; Cable (without 170410);1745;20.1
2014;EAV-170503-G; Soil and stones containing dangerous substances;310;574.4
2014;EAV-170504-U; soil and stones (without 170503);745;2992.4
2014;EAV-170505-G; dredged material containing dangerous substances;7;0.5
2014;EAV-170506-U; dredged material (without 170505);17;105.4
2014;EAV-170507-G; track ballast containing dangerous substances;17;29.8
2014;EAV-170508-U; Track ballast (without 170507);50;707.2
2014;EAV-170601-G; Insulation material containing asbestos;40;0.9
2014;EAV-170603-G; Other insulation material;1461;20.7
2014;EAV-170604-U; Insulating material (without 170601 and 170603);472;14.4
2014;EAV-170605-G; Building materials containing asbestos;729;12.9
2014;EAV-170801-G; Contaminated gypsum-based building materials;9;0.4
2014;EAV-170802-U; Gypsum-based building materials (excluding 170801);475;30.5
2014;EAV-170901-G; Construction and demolition waste containing mercury;4;0.1
2014;EAV-170902-G; Construction and demolition waste containing PCBs;26;0.2
2014;EAV-170903-G; Other construction and demolition waste;117;4.6
2014;EAV-170904-U; Mixed construction and demolition waste (oh.170901-170903);3236;172.7
2014;EAV-18;Wastes from medical care;;
2014;EAV-180101-U; Pointed or sharp objects (except 180103);72;0.9
2014;EAV-180102-U; Body parts, organs, blood supplies (except 180103);519;7.9
2014;EAV-180103-G; Waste (particularly requirements from the point of view of infection prevention);708;11.9
2014;EAV-180104-U; Wound, plaster bandages, laundry, disposable clothing, diapers; 643; 208.1
2014;EAV-180106-G; chemicals consisting of hazardous substances;40;0.3
2014;EAV-180107-U; chemicals (excluding 180106);21;0.8
2014;EAV-180108-G; cytotoxic. and cytostatic drugs for humans;501;5.2
2014;EAV-180109-U; Medicines (excluding 180108);139;6.7
2014;EAV-180110-G; amalgam waste from dentistry;-;-
2014;EAV-180201-U; Pointed or sharp objects (without 180202);-;-
2014;EAV-180202-G; Waste (particularly requirements from the point of view of preventing infection);57;1.0
2014;EAV-180203-U; Waste (without particular requirement for an infection prevention view);40;2.2
2014;EAV-180205-G; Chemicals consisting of hazardous substances;6;0.0
2014;EAV-180206-U; chemicals (excluding 180205);3;0.0
2014;EAV-180207-G; Cytotoxic and cytostatic drugs for animals;3;0.0
2014;EAV-180208-U; Medicines (without 180207);4;0.0
2014;EAV-19;Waste from waste treatment plants etc.;;
2014;EAV-190102-U; Combustion, pyrolysis: iron parts from rust and boiler ash;-;-
2014;EAV-190105-G; Combustion, pyrolysis: filter cake from exhaust gas treatment; 7; 24.5
2014;EAV-190106-G; Incineration, pyrolysis: Aqueous liquid waste from flue gas tank; 9; 16.6
2014;EAV-190107-G; Incineration, pyrolysis: solid waste a. Emission treatment;16;42.0
2014;EAV-190110-G; Combustion, pyrolysis: used activated carbon a. Exhaust gas treatment;12;0.9
2014;EAV-190111-G; Combustion, pyrolysis: grate, boiler ashes, slag; 25; 87.5
2014;EAV-190112-U; Bottom ash and slag (oh.190111);43;483.4
2014;EAV-190113-G; Combustion.,Pyrolysis: Filter dust with haz. St.;21;31.8
2014;EAV-190114-U; filter dust (without 190113);6;11.9
2014;EAV-190115-G; Combustion, pyrolysis: Boiler dust with hazardous Substances;6;2.1
2014;EAV-190116-U; Boiler dust (without 190115);-;-
2014;EAV-190117-G; Pyrolysis wastes containing dangerous substances;4;1.1
2014;EAV-190118-U; Pyrolysis waste (without 190117);-;-
2014;EAV-190119-U; Combustion.,Pyrolysis:Sands from fluidized bed combustion;-;-
2014;EAV-190199-U; Incineration, pyrolysis of waste: wastes not otherwise specified;-;-
2014;EAV-190203-U; Premixed waste from non-hazardous waste;6;0.9
2014;EAV-190204-G; Premixed waste with at least one hazardous waste;7;2.0
2014;EAV-190205-G; Sludges from physico-chemical treatment;209;33.2
2014;EAV-190206-U; sludge a. physical-chemical treatment (oh.190205);23;2.3
2014;EAV-190207-G; Oil and concentrates from separation processes;41;12.5
2014;EAV-190208-G; Liquid combustible waste with hazardous Substances;3;1.1
2014;EAV-190209-G; Solid combustible waste containing hazardous substances;-;-
2014;EAV-190210-U; Combustible waste (excluding 190208 and 190209);-;-
2014;EAV-190211-G; Other wastes containing dangerous substances;-;-
2014;EAV-19029900-U; physics.-chem. Treatment of waste: waste not otherwise specified;-;-
2014;EAV-19029950-U; Products resulting from waste treatment;-;-
2014;EAV-190304-G; as dangerous classified partly stabilized waste;-;-
2014;EAV-190305-U; Stabilized waste (without 190304);-;-
2014;EAV-190306-G; Solidified waste classified as hazardous;-;-
2014;EAV-190307-U; Solidified waste (without 190306);-;-
2014;EAV-190401-U; Vitrified Waste;-;-
2014;EAV-190402-G; Filter dust and other waste from exhaust gas treatment;-;-
2014;EAV-190403-G; Non-vitrified solid phase;-;-
2014;EAV-190404-U; Aqueous liquid waste from tempering;-;-
2014;EAV-190501-U; Non-composted fraction of municipal waste;4;0.0
2014;EAV-190502-U; Non-composted fraction v. Animal and vegetable waste;5;2.1
2014;EAV-190503-U; Out of specification compost;3;39.5
2014;EAV-19059900-U; waste not otherwise specified not differentiable;-;-
2014;EAV-19059901-U; Compost (to specification);6;1,3
2014;EAV-190603-U; liquids from municipal waste treatment;-;-
2014;EAV-190604-U; Digestate/sludge from tank v.municipal waste;-;-
2014;EAV-190605-U; liquids from container v. animal and plant waste;-;-
2014;EAV-190606-U; Digestate/sludge a. Treatment of animal and plant waste;-;-
2014;EAV-190699-U; Anaerobic treatment of waste: wastes not otherwise specified;-;-
2014;EAV-190702-G; Landfill leachate, the hazardous contains substances;-;-
2014;EAV-190703-U; Landfill leachate (without 190702);4;211.0
2014;EAV-190801-U; sieving and raking residues;134;20.4
2014;EAV-190802-U; Sand trap residues;159;29.2
2014;EAV-190805-U; Sludges from treatment v. municipal waste water;-;-
2014;EAV-190806-G; Saturated or spent ion exchange resins;76;0.4
2014;EAV-190807-G; Solutions and sludges from regeneration of ion exhaust.;-;-
2014;EAV-190808-G; Waste containing heavy metals from membrane systems;-;-
2014;EAV-190809-U; Fat and oil mixtures from oil separators (edible oils);220;14.6
2014;EAV-190810-G; Fat and oil mixtures from oil separators (oh.190809);21;0.4
2014;EAV-190811-G; Sludges from biological treatment of industrial waste water;19;313.0
2014;EAV-190812-U; sludge a. biological treatment of industrial waste water (oh.190811); 62; 220.6
2014;EAV-190813-G; Slurries with hazardous Substances from industrial waste water;136;131.3
2014;EAV-190814-U; Sludges from industrial waste water (excluding 190813);313;82.0
2014;EAV-190899-U; Wastewater treatment plants: wastes not otherwise specified;13;8.1
2014;EAV-190901-U; Solid waste from primary filtration and screening residues;38;13.9
2014;EAV-190902-U; sludges from water treatment;147;139.2
2014;EAV-190903-U; decarbonation sludges;39;79.9
2014;EAV-190904-U; Used activated carbon;56;2.9
2014;EAV-190905-U; Saturated or used ion exchange resins;103;1.5
2014;EAV-190906-U; Solutions and sludges from regeneration of ion exchange;4;0.7
2014;EAV-190999-U; Service water: waste not otherwise specified;-;-
2014;EAV-191001-U; Iron and steel waste;52;19.0
2014;EAV-191002-U; non-ferrous metal waste;22;2.4
2014;EAV-191003-G; Shredder light fractions and dust;-;-
2014;EAV-191004-U; Shredder light fractions and dust (without 191003);4;0.1
2014;EAV-191005-G; Other factions that are dangerous substances contain;-;-
2014;EAV-191006-U; Other fractions (without 191005);3;18.7
2014;EAV-191101-G; Waste oil treatment: used filter clay;10;2.5
2014;EAV-191102-G; Waste oil treatment: acid tar;-;-
2014;EAV-191103-G; Waste oil treatment: Aqueous liquid waste;3;0.1
2014;EAV-191104-G; Waste oil processing: Abf.a.d. Fuel cleaning with bases;-;-
2014;EAV-191105-G; Waste oil treatment: sludge (in-house waste water treatment);9;0.4
2014;EAV-191106-U; sludge from operational Wastewater treatment (oh.191105);8;1.2
2014;EAV-191107-G; Waste oil treatment: Waste from exhaust gas cleaning;-;-
2014;EAV-19119900-U; waste not otherwise specified;-;-
2014;EAV-19119950-U; Base oil (source of lubricant), (SK);4;0.0
2014;EAV-19119951-U; Lubricant, (SS);4;0.0
2014;EAV-19119952-U; middle distillate component;-;-
2014;EAV-19119953-U; Light heating oil (including diesel), (HL);-;-
2014;EAV-19119954-U; Heavy fuel oil component;-;-
2014;EAV-19119955-U; Heavy fuel oil (HS);-;-
2014;EAV-19120100-U; Mechanical waste treatment: paper, cardboard not diff.;167;66.6
2014;EAV-19120101-U; Mechanical waste treatment: lower grades (group I);24;17.5
2014;EAV-19120102-U; Mech.waste treatment: medium grades (group II);20;8.6
2014;EAV-19120103-U; Mech.Waste Treatment: Better grades (Group III);11;2,8
2014;EAV-19120104-U; Mech.waste treatment: Powerful varieties (Gr.IV);4;1.6
2014;EAV-19120105-U; Mechanical waste treatment: special types (group V);7;0.2
2014;EAV-191202-U; Mechanical waste treatment: ferrous metals;215;90.4
2014;EAV-191203-U; Mechanical waste treatment: non-ferrous metals;97;9.0
2014;EAV-191204-U; Mechanical waste treatment: plastic and rubber;232;62.9
2014;EAV-19120500-U; Mechanical waste treatment: glass not differentiable;24;0.8
2014;EAV-19120501-U; Mechanical waste treatment: flint glass;25;5.4
2014;EAV-19120502-U; Mechanical waste treatment: amber glass;13;2.2
2014;EAV-19120503-U; Mechanical waste treatment: green glass;13;1.4
2014;EAV-19120504-U; Mech.waste treatment: stained glass;8;0.7
2014;EAV-19120505-U; Mechanical waste treatment: mixed glass;24;6.8
2014;EAV-191206-G; Mechanical waste treatment: wood with hazardous fabrics;9;3,4
2014;EAV-191207-U; wood (without 191206);59;5.9
