year,data_belong_to,eav_code,types_of_waste,etroi_establishments_number,generated_waste_quantity
2014,Germany as a whole,EAV-101114-U, Glass polishing and glass grinding slurry (without 101113),51,4.1
2014,Germany as a whole,EAV-101115-G, Glass production: Celebrations from exhaust gas treatment,24,3.4
2014,Germany as a whole,EAV-101116-U, Solid waste from gas treatment (oh. 101115),15,3.1
2014,Germany as a whole,EAV-101117-G, Glass production: sludges filters. To install from exhaust tank.,,
2014,Germany as a whole,EAV-101118-U, Sludge and filter cake from exhaust tank (oh.101117),4,0.1
2014,Germany as a whole,EAV-101119-G, Glass manufacturer: Solid Abf. a. company-owned wastewater tank,6,0.3
2014,Germany as a whole,EAV-101120-U, Solid waste a. businesses. Waste water tank (oh.101119),6,0.4
2014,Germany as a whole,EAV-101199-U, Glass production: waste nec,6,1.9
2014,Germany as a whole,EAV-101201-U, Ceramic products: raw mixtures before firing,42,31.0
2014,Germany as a whole,EAV-101203-U, Ceramic products: particles and dust,55,7.7
2014,Germany as a whole,EAV-101205-U, Ceramic products: slurries filter c. a.Exhaust tank,,
2014,Germany as a whole,EAV-101206-U, Pottery Items: Discarded Forms,33,7.2
2014,Germany as a whole,EAV-101208-U, Failures from Ceramics testimonies bricks among others,99,103.4
2014,Germany as a whole,EAV-101209-G, Ceramic products: solid waste a. To install exhaust gas treatment.,16,3.5
2014,Germany as a whole,EAV-101210-U, Solid Waste from Exhaust Treatment (excluding 101209),57,12.1
2014,Germany as a whole,EAV-101211-G, Ceramic products: Glass balls with heavy metals,3,0.1
2014,Germany as a whole,EAV-101212-U, glaze waste (without 101211),6,0.3
2014,Germany as a whole,EAV-101213-U, Ceramic products: sludge (in-house waste water treatment),39,182.0
2014,Germany as a whole,EAV-101299-U, Ceramic productskeram.Building materials:,19,4.2
2014,Germany as a whole,EAV-101301-U, Cement et al:Falls of raw mixture before the firing,4,101.3
2014,Germany as a whole,EAV-101304-U, Waste a.Calcination hydration of quicklime,29,124.3
2014,Germany as a whole,EAV-101306-U, Cement etc.: particles dust (except 101312101313),50,202.8
2014,Germany as a whole,EAV-101307-U,Cement etc.: sludge filter cake from gas tanks.,,
2014,Germany as a whole,EAV-101309-G, Asbestos containing waste a. Manufacturing. v. asbestos,,
2014,Germany as a whole,EAV-101310-U, Wastes from Manufacturing v. asbestos(oh.101309),,
2014,Germany as a whole,EAV-101311-U, Cases made of composite materials (such as 101309 101310),30,42.0
2014,Germany as a whole,EAV-101312-G, Cement et al.: Wastes from exhaust gas treatment,4,5.3
2014,Germany as a whole,EAV-101313-U, Fest Falls from the Gas Treatment (oh. 101312),4,0.1
2014,Germany as a whole,EAV-101314-U, concrete falls and concrete slush,138,273.9
2014,Germany as a whole,EAV-101399-U, Cement gypsum quicklime: waste nec,14,6.8
2014,Germany as a whole,EAV-101401-G, Crematorium: mercury h. Waste gas cleaning,4,0.0
2014,Germany as a whole,EAV-11,Fall from the chemical surface treatment,,
2014,Germany as a whole,EAV-110105-G, Surface treatment: Acid pickling solutions,617,155.7
2014,Germany as a whole,EAV-110106-G, Surface treatment: Acid angle,201,7.6
2014,Germany as a whole,EAV-110107-G, Surface treatment: Alkaline pickling solutions,572,40.9
2014,Germany as a whole,EAV-110108-G, Surface treatment: phosphating sludge,183,7.4
2014,Germany as a whole,EAV-110109-G,Surface treatment: sludges filter cakes w.f.st.,616,53.0
2014,Germany as a whole,EAV-110110-U, Slurries and filter cakes (oh 110109),92,47.4
2014,Germany as a whole,EAV-110111-G, Surface treatment: Aqueous flushing liquid. m.f.st.,661,44.9
2014,Germany as a whole,EAV-110112-U, Water-repellent detergents (without 110111),77,6.1
2014,Germany as a whole,EAV-110113-G, Surface treatment: Waste from degreasing m.st.,116,7.9
2014,Germany as a whole,EAV-110114-U, Waste from degreasing (oh 110113),12,0.3
2014,Germany as a whole,EAV-110115-G, Surface treatment: eluate sludge a. Membrane system,3,0.4
2014,Germany as a whole,EAV-110116-G, Surface treatment: ion exchange resins,23,0.1
2014,Germany as a whole,EAV-110198-G, Surface edit: Other falls with danger. St.,208,8.2
2014,Germany as a whole,EAV-110199-U, Surface treatment:,10,10.6
2014,Germany as a whole,EAV-110202-G, Zinc hydrometallurgy sludges,7,157.1
2014,Germany as a whole,EAV-110203-U, Wastes from the manufacture of anodes,,
2014,Germany as a whole,EAV-110205-G, Drops from processes of copper hydrometallurgy,,
2014,Germany as a whole,EAV-110206-U, Failures from Prose. d.Copper Hydromet.(oh.110205),,
2014,Germany as a whole,EAV-110207-G,Non-ferrous hydrometallurgy: Other Abf. m.dangerous.St.,,
2014,Germany as a whole,EAV-110299-U, Non-ferrous hydrometallurgy: wastes not otherwise specified,5,13.9
2014,Germany as a whole,EAV-110301-G, Sludges solids from hardening processes: cyanidh. waste,35,0.5
2014,Germany as a whole,EAV-110302-G, Sludges solids and hard processes: Other cases,56,1.4
2014,Germany as a whole,EAV-110501-U, Galvanizing: hard zinc,15,6.1
2014,Germany as a whole,EAV-110502-U, Galvanizing: zinc ash,15,2.2
2014,Germany as a whole,EAV-110503-G, Galvanizing: Festivals related to exhaust gas treatment,7,0.2
2014,Germany as a whole,EAV-110504-G, Galvanizing: Used flux materials,,
2014,Germany as a whole,EAV-110599-U, Galvanizing: waste nec,,
2014,Germany as a whole,EAV-12,Drops from mechanical forming processes,,
2014,Germany as a whole,EAV-120101-U, Iron and turning turnings,2549,1548.7
2014,Germany as a whole,EAV-120102-U, Iron dust and particles,2492,3109.9
2014,Germany as a whole,EAV-120103-U, Non-ferrous metal filings and turnings,1792,312.6
2014,Germany as a whole,EAV-120104-U, Non-ferrous metal dust and particles,1385,201.1
2014,Germany as a whole,EAV-120105-U, Plastic splines and turning chips,490,58.0
2014,Germany as a whole,EAV-120106-G, Halogen-containing treatment oil on mineral oil basis,21,0.3
2014,Germany as a whole,EAV-120107-G,Halogen-free treatment oil based on mineral oil,149,27.9
2014,Germany as a whole,EAV-120108-G, Halogen-containing treatment emulsions and solutions,30,3.6
2014,Germany as a whole,EAV-120109-G, Halogen-free treatment emulsions and solutions,4666,417.6
2014,Germany as a whole,EAV-120110-G, synthetic overburdening sols,34,0.8
2014,Germany as a whole,EAV-120112-G, Used waxes and fat,622,9.7
2014,Germany as a whole,EAV-120113-U, sweat if,84,33.1
2014,Germany as a whole,EAV-120114-G, Treatment plasters with dangerous substances,338,18.3
2014,Germany as a whole,EAV-120115-U, Beardmores mud (without 120114),117,10.7
2014,Germany as a whole,EAV-120116-G, Abrasive waste (with dangerous substances),198,11.3
2014,Germany as a whole,EAV-120117-U, Abrasive waste (excluding 120116),766,62.2
2014,Germany as a whole,EAV-120118-G, Oil-containing metal sludge (grinding sludge etc.),670,47.5
2014,Germany as a whole,EAV-120119-G, biologically easy to digest,,
2014,Germany as a whole,EAV-120120-G, Used hone-u.sleifmittel with dangerous.Stoffen,79,3.5
2014,Germany as a whole,EAV-120121-U, Used honing and grinding materials (without 120120),434,13.4
2014,Germany as a whole,EAV-120199-U, To install Surface Edit. Metals plastics: waste nec,187,128.0
2014,Germany as a whole,EAV-120301-G,wet wash liquids,424,25.5
2014,Germany as a whole,EAV-120302-G, Fall from the steam fattening,15,2.1
2014,Germany as a whole,EAV-13,Lakes and ravines from liquid fuels,,
2014,Germany as a whole,EAV-130101-G, Hydraulics that contain PCBs,6,0.0
2014,Germany as a whole,EAV-130104-G, Hydraulics: Chlorinated Emulsions,,
2014,Germany as a whole,EAV-130105-G, Hydraulics: Non-chlorinated emulsions,136,5.8
2014,Germany as a whole,EAV-130109-G, Chlorinated hydraulics on mineral oil basis,4,0.0
2014,Germany as a whole,EAV-130110-G, Non-chlorinated hydraulic oils on mineral oil basis,229,2.5
2014,Germany as a whole,EAV-130111-G, Synthetic hydraulic oil,20,0.1
2014,Germany as a whole,EAV-130112-G, Biologically easily digestible hydraulic oils,7,0.0
2014,Germany as a whole,EAV-130113-G, Other Hydraulics,29,0.1
2014,Germany as a whole,EAV-130204-G, Chlorinated machine gear and lubricating oils,100,0.8
2014,Germany as a whole,EAV-130205-G, Non-chlorinated machine gear and lubricating oils,5817,75.4
2014,Germany as a whole,EAV-130206-G, Synthetic machines transmissions and lubricants,64,0.2
2014,Germany as a whole,EAV-130207-G, Easily biodegraded. Machine and gear oils,10,0.0
2014,Germany as a whole,EAV-130208-G, Other machines gears and lubricants,474,7.9
2014,Germany as a whole,EAV-130301-G,Isolation and heat-transmission sole with PCB,28,0.2
2014,Germany as a whole,EAV-130306-G, Chlorine. Isolation and Heat transfer oil(oh.130301),4,0.0
2014,Germany as a whole,EAV-130307-G, Non-chlorinated insulation and heat transfer tubes,148,4.9
2014,Germany as a whole,EAV-130308-G, Synthetic insulation and thermal insulation,28,0.8
2014,Germany as a whole,EAV-130309-G, Biology. To install easily dismantled. Isolation and warm-up oils,,
2014,Germany as a whole,EAV-130310-G, Other insulating and heat transfer elements,26,0.1
2014,Germany as a whole,EAV-130401-G, Bilge oils from the inner ship journey,,
2014,Germany as a whole,EAV-130402-G, bilgenoil from molena blood channels,,
2014,Germany as a whole,EAV-130403-G, Bilge oils from the other side of the ship,17,2.7
2014,Germany as a whole,EAV-130501-G, Solid waste from sand traps and oil/water separation.,237,17.5
2014,Germany as a whole,EAV-130502-G, Sludge from oil/water absorbers,1690,60.9
2014,Germany as a whole,EAV-130503-G, Slams from drain shafts,453,11.3
2014,Germany as a whole,EAV-130506-G, Oil from oil/water separators,53,2.0
2014,Germany as a whole,EAV-130507-G, Oliges water from oil/water separators,356,21.5
2014,Germany as a whole,EAV-130508-G,Waste mixtures from sand traps oil/water separators.,882,19.0
2014,Germany as a whole,EAV-130701-G, Heating oil and diesel,128,0.9
2014,Germany as a whole,EAV-130702-G, gasoline,57,0.5
2014,Germany as a whole,EAV-130703-G, Other fuels (including blends),250,8.5
2014,Germany as a whole,EAV-130801-G, Ointment cases: Sludge or Emulsions from Desalters,,
2014,Germany as a whole,EAV-130802-G, Ointments: Other Emulsions,462,11.8
2014,Germany as a whole,EAV-130899-G, Drop Falls: Drop Falls,342,18.1
2014,Germany as a whole,EAV-14,Waste from organic solvents refrigerants,,
2014,Germany as a whole,EAV-140601-G, Hydrochlorofluorocarbons HCFC HFC,109,0.1
2014,Germany as a whole,EAV-140602-G, Other halogenated solvents and To install Solvent acc.,367,2.4
2014,Germany as a whole,EAV-140603-G, Other solvents and chemical solvents,3114,36.5
2014,Germany as a whole,EAV-140604-G, slush solid deposits (halogenated solvents),18,1.1
2014,Germany as a whole,EAV-140605-G, Sludges solid waste (other solvents),63,1.9
2014,Germany as a whole,EAV-15,Packaging all absorbent masses wipes,,
2014,Germany as a whole,EAV-150101-U, Paper and cardboard packaging,13499,1669.4
2014,Germany as a whole,EAV-150102-U, Plastic packaging,9727,431.1
2014,Germany as a whole,EAV-150103-U, Packaging made of wood,6912,446.5
2014,Germany as a whole,EAV-150104-U, Packaging made of metal,895,48.4
2014,Germany as a whole,EAV-150105-U, composite packs,374,64.0
2014,Germany as a whole,EAV-15010600-U, Mixed packaging not distinguishable,7039,561.8
2014,Germany as a whole,EAV-15010601-U, Light packaging (LVP),1493,34.0
2014,Germany as a whole,EAV-15010602-U, Mixed recyclables together with light packaging,207,12.8
2014,Germany as a whole,EAV-150107-U, Glass packaging,932,96.3
2014,Germany as a whole,EAV-150109-U, Packaging from textiles,18,0.5
2014,Germany as a whole,EAV-150110-G, Packaging with residues of hazardous substances,4450,39.7
2014,Germany as a whole,EAV-150111-G, Packaging made of metal,87,0.6
2014,Germany as a whole,EAV-150202-G, Suction and filter materials wipes,8431,100.1
2014,Germany as a whole,EAV-150203-U, Suction and filter materials (without 150202),511,34.3
2014,Germany as a whole,EAV-16,Cases not otherwise listed in the directory,,
2014,Germany as a whole,EAV-160103-U, old tires,685,57.9
2014,Germany as a whole,EAV-160104-G, old vehicles,31,5.7
2014,Germany as a whole,EAV-160106-U, Old vehicles without hazardous components,14,10.8
2014,Germany as a whole,EAV-160107-G, Old vehicles: Oil filters,390,0.6
2014,Germany as a whole,EAV-160108-G, End of Life Vehicles: Quicksilver-containing body parts,10,0.1
2014,Germany as a whole,EAV-160109-G, Old vehicles: Parts that contain PCBs,,
2014,Germany as a whole,EAV-160110-G, End-of-life vehicles: Explosive vehicles (e.g. from airbags),44,0.7
2014,Germany as a whole,EAV-160111-G, Late vehicles: Asbestos-containing brakes,5,0.0
2014,Germany as a whole,EAV-160112-U, Brake pads (one 160111),35,1.8
2014,Germany as a whole,EAV-160113-G, Old vehicles: Bremsfelden,160,0.3
2014,Germany as a whole,EAV-160114-G, End-of-life vehicles: antifreeze m.dangerous. fabrics,606,2.7
2014,Germany as a whole,EAV-160115-U, Frostproof material (without 160114),25,0.1
2014,Germany as a whole,EAV-160116-U, End-of-life vehicles: liquid gas containers,,
2014,Germany as a whole,EAV-160117-U, End-of-life vehicles: ferrous metals,269,413.9
2014,Germany as a whole,EAV-160118-U, End-of-life vehicles: non-ferrous metals,173,87.2
2014,Germany as a whole,EAV-160119-U, End-of-life vehicles: Plastic,132,14.1
2014,Germany as a whole,EAV-160120-U, Old vehicles: glass,121,3.6
2014,Germany as a whole,EAV-16012100-G, To install Danger Parts(oh.160107-160111160113-160114),30,1.2
2014,Germany as a whole,EAV-16012101-G, To install Danger. metal.components(oh.160107-11160113-14),8,0.6
2014,Germany as a whole,EAV-16012102-G, To install Danger. n.metal.components(oh.160107-11160113-14),,
2014,Germany as a whole,EAV-16012200-U, Batteries not differentiable,25,2.4
2014,Germany as a whole,EAV-16012201-U,metallic parts,58,5.4
2014,Germany as a whole,EAV-16012202-U, Non-metallic bottles,4,0.1
2014,Germany as a whole,EAV-160199-U, End-of-life vehicles: waste angle,29,0.6
2014,Germany as a whole,EAV-160209-G, Transformers and Capacitors the PCB contains.,254,0.3
2014,Germany as a whole,EAV-160210-G, Used devices that contain PCB (oh.160209),22,0.1
2014,Germany as a whole,EAV-160211-G, used equipment,777,1.5
2014,Germany as a whole,EAV-160212-G, Used appliances that contain free asbestos,45,0.1
2014,Germany as a whole,EAV-160213-G, Gebr. Devices with danger. Parts (oh.160209-12),2047,19.6
2014,Germany as a whole,EAV-160214-U, Used equipment (ones 160209 to 160213),1814,21.1
2014,Germany as a whole,EAV-16021500-G, Removes dangerous items from used equipment.,68,0.2
2014,Germany as a whole,EAV-16021501-G, Quicksilver-containing falls,,
2014,Germany as a whole,EAV-16021502-G, board plates,30,0.3
2014,Germany as a whole,EAV-16021503-G, toner cartridges,184,0.2
2014,Germany as a whole,EAV-16021504-G, Plastics with brominated flame retardants,,
2014,Germany as a whole,EAV-16021505-G, Asbestos containing bottles,,
2014,Germany as a whole,EAV-16021506-G, cathode ray tubes,5,0.0
2014,Germany as a whole,EAV-16021507-G, gas injection lamps,9,0.0
2014,Germany as a whole,EAV-16021508-G, flowing crystal display,,
2014,Germany as a whole,EAV-16021509-G,External electrical lines,20,0.1
2014,Germany as a whole,EAV-16021510-G, Parts that contain fireproof ceramic fibers,,
2014,Germany as a whole,EAV-16021511-G, Electrolytes - Capacitors,,
2014,Germany as a whole,EAV-16021512-G, Cadmium- or selenium-containing photoconductor drums,,
2014,Germany as a whole,EAV-16021600-U, Out of used devices removed. Parts (oh.160215),442,5.3
2014,Germany as a whole,EAV-16021601-U, External electrical cables (including cables),229,0.8
2014,Germany as a whole,EAV-160303-G, Bad batches: inorganic waste with hazardous substances,73,4.3
2014,Germany as a whole,EAV-160304-U, Inorganic Falls (without 160303),121,7.5
2014,Germany as a whole,EAV-160305-G, Faulty charging: Organic disorders m.dangerous. substances,141,5.1
2014,Germany as a whole,EAV-160306-U, Organic Falls (without 160305),156,13.2
2014,Germany as a whole,EAV-160401-G, ammunition file,,
2014,Germany as a whole,EAV-160402-G, firework bodies collapse,3,0.1
2014,Germany as a whole,EAV-160403-G, Other explosive cases,18,0.1
2014,Germany as a whole,EAV-160504-G, Gases in pressure vessels containing hazardous substances.,1389,1.6
2014,Germany as a whole,EAV-160505-U, Gas in Pressure Container (without 160504),52,0.0
2014,Germany as a whole,EAV-160506-G, Laboratory chemicals from dangerous substances,922,3.5
2014,Germany as a whole,EAV-160507-G, Used inorganic chemicals,1367,3.1
2014,Germany as a whole,EAV-160508-G, Used organic chemicals,1316,6.0
2014,Germany as a whole,EAV-160509-U, Used chemicals (one 160506-160508),129,2.4
2014,Germany as a whole,EAV-160601-G, leadbatteries,1888,19.1
2014,Germany as a whole,EAV-160602-G, Ni-Cd batteries,191,0.1
2014,Germany as a whole,EAV-160603-G, Batteries containing quicksilver,6,0.0
2014,Germany as a whole,EAV-160604-U, Alkaline batteries (other 160603),454,0.4
2014,Germany as a whole,EAV-160605-U, Other Batteries and Accumulators,190,1.7
2014,Germany as a whole,EAV-160606-G, Separately collected electrolyte a. Batteries accu.,16,1.0
2014,Germany as a whole,EAV-160708-G, Tanks Falls: Oil-containing Falls,870,45.7
2014,Germany as a whole,EAV-160709-G, Tanks Falls: Falls with other hazards. St.,131,8.1
2014,Germany as a whole,EAV-160799-U, tanks,8,1.7
2014,Germany as a whole,EAV-160801-U, Used Catalysts (without 160807),38,0.9
2014,Germany as a whole,EAV-160802-G, Used catalysts. with.hazardous.transition.metals,76,11.5
2014,Germany as a whole,EAV-160803-U, Used catalysts with transition metals,15,2.0
2014,Germany as a whole,EAV-160804-U, Used Catalysts v. crack proc.(without 160807),8,8.5
2014,Germany as a whole,EAV-160805-G, Used catalysts with phosphoric acid,4,0.3
2014,Germany as a whole,EAV-160806-G,Used liquids (catalysts),6,0.7
2014,Germany as a whole,EAV-160807-G, Catalysts used with dangerous substances,78,9.5
2014,Germany as a whole,EAV-160901-G, Permanganates e.g. potassium permanganates,,
2014,Germany as a whole,EAV-160902-G, Chromates (potassium chromate potassium or sodium dichromates),,
2014,Germany as a whole,EAV-160903-G, Peroxides,11,0.0
2014,Germany as a whole,EAV-160904-G, oxidizing substances,7,0.1
2014,Germany as a whole,EAV-161001-G, Liquid wastes with hazardous substances,190,20.9
2014,Germany as a whole,EAV-161002-U, Watery liquid waterfalls (without 161001),217,33.0
2014,Germany as a whole,EAV-161003-G, Water concentrate with dangerous substances,107,2.5
2014,Germany as a whole,EAV-161004-U, Water Concentrate (without 161003),12,0.7
2014,Germany as a whole,EAV-161101-G, Fire-fighting materials made from metallurgy. processes,12,3.3
2014,Germany as a whole,EAV-161102-U, Fireproof Mat. made of metallurgical. Proc. (oh.161101),31,1.6
2014,Germany as a whole,EAV-161103-G, Other clothing and fireproof materials,38,15.9
2014,Germany as a whole,EAV-161104-U, Fireproof Mat. made of metallurgical. percent (oh.161103),217,363.1
2014,Germany as a whole,EAV-161105-G, Fire-fighting materials made from non-metallurgy. Proc.,56,13.0
2014,Germany as a whole,EAV-161106-U,Refractory mat. a. non-metallurgical process (oh.161105),128,25.2
2014,Germany as a whole,EAV-17,construction and demolition waste,,
2014,Germany as a whole,EAV-170101-U, concrete,812,372.8
2014,Germany as a whole,EAV-170102-U, brick,291,51.8
2014,Germany as a whole,EAV-170103-U, Tiles and Ceramics,252,25.9
2014,Germany as a whole,EAV-170106-G, Mixtures from o. separate fractions v. concrete etc,276,101.5
2014,Germany as a whole,EAV-170107-U, Mixes of concrete brick etc. (oh.170106),2313,902.4
2014,Germany as a whole,EAV-170201-U, wooden,3507,172.6
2014,Germany as a whole,EAV-170202-U, glasses,591,15.2
2014,Germany as a whole,EAV-170203-U, plastic,659,25.9
2014,Germany as a whole,EAV-170204-G, Glass plastic and wood with dangerous substances,949,54.8
2014,Germany as a whole,EAV-170301-G, coal-based bituminous,253,205.4
2014,Germany as a whole,EAV-170302-U, Bitumen mixtures (without 170301),457,400.7
2014,Germany as a whole,EAV-170303-G, Kohltan oil and oil containing products,208,4.0
2014,Germany as a whole,EAV-170401-U, Copper bronze brass,978,15.7
2014,Germany as a whole,EAV-170402-U, aluminum,1605,62.7
2014,Germany as a whole,EAV-170403-U, white,82,0.6
2014,Germany as a whole,EAV-170404-U, Zinc,56,1.7
2014,Germany as a whole,EAV-170405-U, Iron and Steel,3539,1307.3
2014,Germany as a whole,EAV-170406-U, tin,37,0.6
2014,Germany as a whole,EAV-170407-U, mixed metals,1736,163.9
2014,Germany as a whole,EAV-170409-G,metallabs containing hazardous substances,93,18.3
2014,Germany as a whole,EAV-170410-G, Cables that contain oil coal tar etc. substances incl.,123,3.1
2014,Germany as a whole,EAV-170411-U, Cable (OH 170410),1745,20.1
2014,Germany as a whole,EAV-170503-G, Soil and rocks that contain hazardous substances,310,574.4
2014,Germany as a whole,EAV-170504-U, Soil and Stones (OH 170503),745,2992.4
2014,Germany as a whole,EAV-170505-G, Dredged material which contains dangerous substances,7,0.5
2014,Germany as a whole,EAV-170506-U, Dredged material (without 170505),17,105.4
2014,Germany as a whole,EAV-170507-G, Track Ballast the dangerous stuff contained,17,29.8
2014,Germany as a whole,EAV-170508-U, Track ballast (OH 170507),50,707.2
2014,Germany as a whole,EAV-170601-G, Damp material that contains asbestos,40,0.9
2014,Germany as a whole,EAV-170603-G, Different insulation material,1461,20.7
2014,Germany as a whole,EAV-170604-U, Insulation material (oh 170601 and 170603),472,14.4
2014,Germany as a whole,EAV-170605-G, asbestos containing materials,729,12.9
2014,Germany as a whole,EAV-170801-G, De-cleaned building materials on a plaster basis,9,0.4
2014,Germany as a whole,EAV-170802-U, Gypsum-based building materials (oh 170801),475,30.5
2014,Germany as a whole,EAV-170901-G, Build-and-Breakdown Falls which contain quicksilver,4,0.1
2014,Germany as a whole,EAV-170902-G,Construction and demolition waste that contain PCBs,26,0.2
2014,Germany as a whole,EAV-170903-G, Other construction and demolition cases,117,4.6
2014,Germany as a whole,EAV-170904-U, Mixed construction and demolition waste (oh.170901-170903),3236,172.7
2014,Germany as a whole,EAV-18,Fall from the medical care,,
2014,Germany as a whole,EAV-180101-U, Sharp or sharp objects (outside 180103),72,0.9
2014,Germany as a whole,EAV-180102-U, Body parts organs blood preservation (other 180103),519,7.9
2014,Germany as a whole,EAV-180103-G, Waste (esp. requirement from infection prevention sight),708,11.9
2014,Germany as a whole,EAV-180104-U, Wraps plaster wraps wash one-way clothing diapers,643,208.1
2014,Germany as a whole,EAV-180106-G, Chemicals which consist of dangerous substances,40,0.3
2014,Germany as a whole,EAV-180107-U, Chemicals (without 180106),21,0.8
2014,Germany as a whole,EAV-180108-G, Cytotox. and cytostatic drugs for humans,501,5.2
2014,Germany as a whole,EAV-180109-U, Medicines (without 180108),139,6.7
2014,Germany as a whole,EAV-180110-G, Amalgam cases from dentistry,,
2014,Germany as a whole,EAV-180201-U, Point or sharp objects (one 180202),,
2014,Germany as a whole,EAV-180202-G, Waste (esp. requirement from infection prevention sight),57,1.0
2014,Germany as a whole,EAV-180203-U, Waste (without special requirements for an infection-prevention view),40,2.2
2014,Germany as a whole,EAV-180205-G, Chemicals which consist of dangerous substances,6,0.0
2014,Germany as a whole,EAV-180206-U, Chemicals (without 180205),3,0.0
2014,Germany as a whole,EAV-180207-G, Cytotoxic and cytostatic drugs for animals,3,0.0
2014,Germany as a whole,EAV-180208-U, Medicines (OH 180207),4,0.0
2014,Germany as a whole,EAV-19,Waste from waste treatment facilities etc,,
2014,Germany as a whole,EAV-190102-U, Combustion pyrolysis: iron parts a.rust and boiler ash,,
2014,Germany as a whole,EAV-190105-G, Combustion.Pyrolysis: Filter cake from gas treated.,7,24.5
2014,Germany as a whole,EAV-190106-G, Combustion pyrolysis: Aqueous liquid waste from exhaust gas tank,9,16.6
2014,Germany as a whole,EAV-190107-G, Incineration pyrolysis: Solid waste a. To install exhaust gas treatment.,16,42.0
2014,Germany as a whole,EAV-190110-G, Combustion pyrolysis: Gebr. Activated charcoal a. To install exhaust gas treatment,12,0.9
2014,Germany as a whole,EAV-190111-G, Combustion pyrolysis: bottom ash boiler ash slag,25,87.5
2014,Germany as a whole,EAV-190112-U, Roast and boiler ash as well as slag (oh.190111),43,483.4
2014,Germany as a whole,EAV-190113-G, Combustion. Pyrolysis: Filter dust with danger. St.,21,31.8
2014,Germany as a whole,EAV-190114-U, Filter dust (without 190113),6,11.9
2014,Germany as a whole,EAV-190115-G,Combustion pyrolysis: Boiler dust with hazardous fabrics,6,2.1
2014,Germany as a whole,EAV-190116-U, Boiler Dust (OH 190115),,
2014,Germany as a whole,EAV-190117-G, Pyrolysis cases that contain hazardous substances,4,1.1
2014,Germany as a whole,EAV-190118-U, Pyrolysis seeds (without 190117),,
2014,Germany as a whole,EAV-190119-U, Combustion.Pyrolysis:Sands from fluidized bed combustion,,
2014,Germany as a whole,EAV-190199-U, Burning Pyrolysis of Fallen: Attack Fallen,,
2014,Germany as a whole,EAV-190203-U, The previously mixed falls are not dangerous. Falling,6,0.9
2014,Germany as a whole,EAV-190204-G, Premixed waste with at least one in danger,7,2.0
2014,Germany as a whole,EAV-190205-G, Sludge from the physical-chemical treatment,209,33.2
2014,Germany as a whole,EAV-190206-U, mud a. physical-chemical treatment (oh.190205),23,2.3
2014,Germany as a whole,EAV-190207-G, Oil and Concentrate from Extraction Processes,41,12.5
2014,Germany as a whole,EAV-190208-G, Floating incident falls with danger. substances,3,1.1
2014,Germany as a whole,EAV-190209-G, Festivities with dangerous substances,,
2014,Germany as a whole,EAV-190210-U, Combustible waste (oh 190208 and 190209),,
2014,Germany as a whole,EAV-190211-G,Other items that contain hazardous substances,,
2014,Germany as a whole,EAV-19029900-U, Physics-Chem. Treatment of waste: waste,,
2014,Germany as a whole,EAV-19029950-U, Products resulting from waste treatment,,
2014,Germany as a whole,EAV-190304-G, As dangerous. inserted parts. stabilized dep.,,
2014,Germany as a whole,EAV-190305-U, Stabilized Cases (oh 190304),,
2014,Germany as a whole,EAV-190306-G, Solidified ones classified as fermenting,,
2014,Germany as a whole,EAV-190307-U, Solidified waste (oh 190306),,
2014,Germany as a whole,EAV-190401-U, Glazed Affall,,
2014,Germany as a whole,EAV-190402-G, Filter dust and waste from the exhaust gas treatment,,
2014,Germany as a whole,EAV-190403-G, Non-vitrified solid phase,,
2014,Germany as a whole,EAV-190404-U, Wet liquid waste from the temper,,
2014,Germany as a whole,EAV-190501-U, Non-composted fractions from municipal waste,4,0.0
2014,Germany as a whole,EAV-190502-U, Non-composted fraction v. tier.u.plantzl.Abf.,5,2.1
2014,Germany as a whole,EAV-190503-U, Out of specification compost,3,39.5
2014,Germany as a whole,EAV-19059900-U, Absences and nothing differentiable,,
2014,Germany as a whole,EAV-19059901-U, Compost (specified),6,1.3
2014,Germany as a whole,EAV-190603-U, Fluids from the treatment of collapsed lungs,,
2014,Germany as a whole,EAV-190604-U, Digestate/sludge from tank v.municipal waste,,
2014,Germany as a whole,EAV-190605-U, Liquids from well. v. animal and plant fall,,
2014,Germany as a whole,EAV-190606-U, Fermentation residue/sludge a. Container for animal and plant waste,,
2014,Germany as a whole,EAV-190699-U, Anaerobic Treatment of Fall: Fall and,,
2014,Germany as a whole,EAV-190702-G, Landfill leachate the danger. Contents,,
2014,Germany as a whole,EAV-190703-U, Landfill leachate (OH 190702),4,211.0
2014,Germany as a whole,EAV-190801-U, Sieve and rake residues,134,20.4
2014,Germany as a whole,EAV-190802-U, Sand trap residues,159,29.2
2014,Germany as a whole,EAV-190805-U, Sludge from the treatment v. municipal waste water,,
2014,Germany as a whole,EAV-190806-G, Ion exchange resins added or used,76,0.4
2014,Germany as a whole,EAV-190807-G, Solutions and sludges from regeneration v. ion exchange,,
2014,Germany as a whole,EAV-190808-G, Heavy metal effluents from membrane systems,,
2014,Germany as a whole,EAV-190809-U, Fat and oil mixtures from oil separators (edible oils),220,14.6
2014,Germany as a whole,EAV-190810-G,Grease and oil mixtures from oil separators (oh.190809),21,0.4
2014,Germany as a whole,EAV-190811-G, Sludge from biol.Trendment of industr.Awnwater,19,313.0
