Year,EAV Code,Waste Description,Number Of Waste Producers,Quantities Of Waste (1000t),Quantities Of Waste Generated By Primary Producers (1000t)
2013,EAV-090102-G,Offset Printing Plate Developer Solutions,97.0,8.9,7.3
2013,EAV-090103-G,Solvent-based developer solutions,,,
2013,EAV-090104-G,fixing baths,99.0,5.1,4.0
2013,EAV-090105-G,bleach solutions and bleach-fix baths,35.0,2.1,2.1
2013,EAV-090106-G,Waste containing silver from tank photographer. waste,5.0,0.1,0.1
2013,EAV-090111-G,Disposable cameras with batteries (160601-160603),,,
2013,EAV-090113-G,Waste from silver recovery (excluding 090106),,,
2013,EAV-10,Waste from thermal processes,701.0,898.7,791.2
2013,EAV-100104-G,Filter dust and boiler dust from oil firing,26.0,4.1,4.1
2013,EAV-100109-G,sulfuric acid,,,
2013,EAV-100113-G,Filter dust from emulsified hydrocarbons,,,
2013,EAV-100114-G,"Rust and boiler ash, slag, boiler dust",41.0,57.7,57.7
2013,EAV-100116-G,Filter dust from co-incineration of waste,35.0,23.5,23.3
2013,EAV-100118-G,Waste from exhaust gas treatment with hazardous St.,114.0,24.6,24.5
2013,EAV-100120-G,"Power plants, among others: sludge (company wastewater tank)",4.0,1.5,1.5
2013,EAV-100122-G,"Power plants, etc.: Aqueous sludge a. boiler cleaning",4.0,0.9,0.9
2013,EAV-100207-G,"Iron, steel ind.: Solid waste from flue gas treatment.",67.0,233.5,232.5
2013,EAV-100211-G,"Iron, steel cylinder: oil content. Drain from cooling water tank.",,,
2013,EAV-100213-G,"Iron and steel industry: sludges, filters. from exhaust gas tank.",12.0,118.4,115.3
2013,EAV-100304-G,Aluminum metallurgy: slags from initial melting,,,
2013,EAV-100308-G,Aluminum metallurgy: salt slag a.Zzweischmel.,14.0,257.0,175.1
2013,EAV-100309-G,Aluminum metallurgy: Black dross a.Zweitsch.,,,
2013,EAV-100315-G,Aluminum Metallurgy: Scum (Flammable),51.0,27.3,24.1
2013,EAV-100317-G,Aluminum Metallurgy:Tarh. From anode manuf.,5.0,1.3,0.7
2013,EAV-100319-G,Aluminum metallurgy: filter dust with hazardous St.,14.0,0.6,0.6
2013,EAV-100321-G,Aluminum Metallurgy: Other particles and dust,7.0,1.1,1.0
2013,EAV-100323-G,Aluminum Metallurgy: Solid Abf. a. Exhaust gas treatment,27.0,18.3,13.0
2013,EAV-100325-G,"Aluminum metallurgy: sludges, filters, etc. exhaust gas tanks.",,,
2013,EAV-100327-G,Aluminum Metallurgy: Oil H.Abf. from cooling water tank.,,,
2013,EAV-100329-G,Aluminum Metallurgy: Abf.a. tank v.salt slag,,,
2013,EAV-100401-G,Lead metallurgy: slags (primary and secondary smelting),8.0,26.0,26.0
2013,EAV-100402-G,"Lead Metal.: Scabies,Scum (First,Second.)",58.0,7.9,7.7
2013,EAV-100403-G,Bleimetallurgie: Calciumarsenat,,,
2013,EAV-100404-G,Lead metallurgy: filter dust,4.0,0.1,0.1
2013,EAV-100405-G,Lead Metallurgy: Other Particles and Dust,11.0,7.2,3.6
2013,EAV-100406-G,Lead metallurgy: Solid waste from flue gas treatment,,,
2013,EAV-100407-G,"Lead metallurgy: sludges, filters. from exhaust gas tank.",,,
2013,EAV-100409-G,Lead Metallurgy: Oil H. Waste from cooling water tank.,,,
2013,EAV-100503-G,Zinc Metallurgy: Filter Dust,8.0,0.3,0.3
2013,EAV-100505-G,Zinc Metallurgy: Solid waste from waste gas treatment,10.0,0.3,0.3
2013,EAV-100506-G,"Zinc Metallurgy: Slurries, Filterk. from exhaust gas tank",,,
2013,EAV-100508-G,Zinc metallurgy: Ölh. Waste from cooling water tank.,,,
2013,EAV-100510-G,"Zinc metallurgy: dross, scum (flammable)",,,
2013,EAV-100603-G,Copper metallurgy: filter dust,8.0,1.3,1.3
2013,EAV-100606-G,Copper Metallurgy: Solid Waste a.Flue Gas Treatment,3.0,2.9,2.9
2013,EAV-100607-G,"Copper metallurgy: sludges, filters. a.Exhaust gas tank",,,
2013,EAV-100609-G,Copper Metallurgy: Oil H.Abf. from cooling water tank,,,
2013,EAV-100707-G,"Silver metal, among other things: oil-containing waste from cooling water tanks.",,,
2013,EAV-100808-G,"Non-ferrous metals: salt slag (first, second smelting)",,,
2013,EAV-100810-G,"Non-ferrous metallurgy: dross, scum (flammable)",7.0,0.7,0.7
2013,EAV-100812-G,Non-ferrous metal: tar. Waste from anode manufacturing,,,
2013,EAV-100815-G,Non-ferrous metallurgy: filter dust with hazardous level,37.0,4.7,4.6
2013,EAV-100817-G,"Non-ferrous metallurgy: sludges, filters, etc., exhaust gas tanks.",,,
2013,EAV-100819-G,Nonferrous Metallurgy: Oil H.Abf. from cooling water tank.,,,
2013,EAV-100905-G,"Iron, steel: casting molds and sand before casting",4.0,1.1,1.1
2013,EAV-100907-G,"Iron, steel: casting molds and sand after casting",7.0,4.1,4.1
2013,EAV-100909-G,"Iron, steel: filter dust containing dangerous substances",34.0,8.4,7.7
2013,EAV-100911-G,"Iron, steel: Other particles with dangerous substances",4.0,1.1,0.5
2013,EAV-100913-G,"Iron, steel: Abf. v. Binders with dangerous St.",,,
2013,EAV-100915-G,"Iron, steel: Removal of crack-indicating substances",,,
2013,EAV-101005-G,"Non-ferrous metal: casting molds, sand before casting",3.0,0.4,
2013,EAV-101007-G,"Non-ferrous metal: casting molds, sand after casting",8.0,2.8,2.8
2013,EAV-101009-G,Non-ferrous metals: filter dust with hazardous substances,14.0,2.7,0.9
2013,EAV-101011-G,Non-ferrous metal: And. Particles with dangerous substances,,,
2013,EAV-101013-G,Non-ferrous metal:Abf.v. Binding agents with hazardous St.,,,
2013,EAV-101015-G,Non-ferrous metals: Abf. from crack-indicating substances.,,,
2013,EAV-101109-G,Batch waste with hazardous fabrics v. d. Melt,11.0,0.7,0.7
2013,EAV-101111-G,Glass waste in small particles and glass dust,23.0,10.6,8.8
2013,EAV-101113-G,Glass polishing and glass grinding sludge,25.0,1.0,0.9
2013,EAV-101115-G,Glass production: Solid waste from waste gas treatment,34.0,3.0,2.6
2013,EAV-101117-G,"Glass production: sludge, filter k. from exhaust gas tank.",,,
2013,EAV-101119-G,Glass manuf.: Solid waste a. own waste water tank,10.0,0.2,0.2
2013,EAV-101209-G,Ceramic products: Solid waste a. Exhaust gas treatment,16.0,6.3,3.9
2013,EAV-101211-G,Ceramic products: Glaze waste with heavy metals,4.0,0.1,0.1
2013,EAV-101309-G,Asbestos-containing waste a. Manufacture. v. asbestos cement,,,
2013,EAV-101312-G,Cement among others: Solid waste from exhaust gas treatment,7.0,11.3,11.3
2013,EAV-101401-G,Crematoriums:Mercury h. Waste from gas cleaning,76.0,0.6,0.4
2013,EAV-11,Waste from chemical surface treatment,2096.0,572.9,544.5
2013,EAV-110105-G,Surface treatment: Acid pickling solutions,518.0,84.6,79.3
2013,EAV-110106-G,Surface treatment: Acids n.e.c.,133.0,12.6,11.6
2013,EAV-110107-G,Surface treatment: Alkaline pickling solutions,432.0,73.2,68.5
2013,EAV-110108-G,Surface treatment: phosphating sludge,212.0,10.7,9.8
2013,EAV-110109-G,"Surface treatment: sludges, filter cakes w.f.st.",957.0,107.0,100.3
2013,EAV-110111-G,Surface treatment: Aqueous flushing liquid. m.f.st.,673.0,82.0,75.8
2013,EAV-110113-G,Surface treatment: Waste from degreasing with,145.0,12.7,11.7
2013,EAV-110115-G,"Surface treatment: eluate, sludge a. membrane system",3.0,0.5,0.5
2013,EAV-110116-G,Surface treatment: ion exchange resins,17.0,0.1,0.1
2013,EAV-110198-G,Surface treatment: Other waste with hazardous St.,217.0,17.9,15.4
2013,EAV-110202-G,Zinc hydrometallurgy sludges,8.0,158.5,158.5
2013,EAV-110205-G,Waste from copper hydrometallurgy processes,,,
2013,EAV-110207-G,Non-ferrous hydrometallurgy:And.Abf. with dangerous tax,,,
2013,EAV-110301-G,"Slurries, solids from hardening processes: Cyanidh. waste",38.0,0.7,0.6
2013,EAV-110302-G,"Sludges, solids from hardening processes: Other wastes",55.0,1.5,1.4
2013,EAV-110503-G,Galvanizing: Solid waste from exhaust gas treatment,10.0,0.2,0.2
2013,EAV-110504-G,Galvanizing: Used fluxes,,,
2013,EAV-12,Waste from mechanical shaping processes,3691.0,1070.7,803.6
2013,EAV-120106-G,Halogen-containing mineral oil-based machining oils,,,
2013,EAV-120107-G,Halogen-free processing oils based on mineral oil,117.0,74.6,28.3
2013,EAV-120108-G,Halogenated machining emulsions and. -solutions,14.0,0.8,0.7
2013,EAV-120109-G,Halogen-free machining emulsions and solutions,2922.0,806.9,623.0
2013,EAV-120110-G,Synthetic machining oils,29.0,1.0,1.0
2013,EAV-120112-G,Used waxes and fats,221.0,7.6,6.4
2013,EAV-120114-G,Processing sludge with dangerous substances,266.0,21.3,20.3
2013,EAV-120116-G,Abrasive waste (with hazardous substances),325.0,31.3,26.1
2013,EAV-120118-G,"Oily metal sludge (grinding sludge, etc.)",445.0,81.5,56.5
2013,EAV-120119-G,Easily biodegradable machining oils,,,
2013,EAV-120120-G,Used honing and abrasives with hazardous substances,83.0,4.8,3.4
2013,EAV-120301-G,Aqueous washing liquids,302.0,39.1,36.1
2013,EAV-120302-G,Vapor degreasing waste,15.0,1.5,1.5
2013,EAV-13,Oil waste and liquid fuel waste,3823.0,1379.6,1151.0
2013,EAV-130101-G,Hydraulic oils containing PCBs,6.0,0.1,0.0
2013,EAV-130104-G,Hydraulic oils: Chlorinated emulsions,,,
2013,EAV-130105-G,Hydraulic oils: Non-chlorinated emulsions,89.0,12.0,8.8
2013,EAV-130109-G,Chlorinated hydraulic oils based on mineral oil,,,
2013,EAV-130110-G,Non-chlorinated mineral oil based hydraulic oils,79.0,2.4,2.2
2013,EAV-130111-G,Synthetic hydraulic oils,6.0,0.1,0.1
2013,EAV-130112-G,Easily biodegradable hydraulic oils,4.0,0.0,0.0
2013,EAV-130113-G,Other hydraulic oils,8.0,0.2,0.2
2013,EAV-130204-G,"Chlorinated machine, gear and lubricating oils",69.0,1.6,1.2
2013,EAV-130205-G,"Non-chlorinated machines, gears and. lubricating oils",1475.0,506.2,377.9
2013,EAV-130206-G,"Synthetic machine, gear and lubricating oils",13.0,0.6,0.6
2013,EAV-130207-G,Easily biodegradable. Machine and gear oils,3.0,0.0,0.0
2013,EAV-130208-G,"Other machine, gear and lubricating oils",123.0,29.8,20.7
2013,EAV-130301-G,Insulating and heat transfer oils with PCB,44.0,1.1,0.7
2013,EAV-130306-G,Chlorine. Insulating and heat transfer oils(oh.130301),,,
2013,EAV-130307-G,Non-chlorinated insulating and heat transfer oils,167.0,10.4,9.9
2013,EAV-130308-G,Synthetic insulating and heat transfer oils,36.0,1.6,1.4
2013,EAV-130309-G,Biologist easily degradable. Insulation and Heat transfer oils,,,
2013,EAV-130310-G,Other insulating and heat transfer oils,25.0,0.5,0.4
2013,EAV-130401-G,Bilge oils from inland shipping,10.0,5.4,5.4
2013,EAV-130402-G,Bilge oils from pier drains,,,
2013,EAV-130403-G,Bilge oils from other shipping,18.0,107.2,103.8
2013,EAV-130501-G,Solid waste from grit chambers and oil/water separators,199.0,64.5,45.8
2013,EAV-130502-G,Sludge from oil/water separators,842.0,200.2,189.0
2013,EAV-130503-G,Sludge from intake shafts,394.0,108.2,100.0
2013,EAV-130506-G,Oils from oil/water separators,31.0,5.2,4.1
2013,EAV-130507-G,Oily water from oil/water separators,207.0,42.1,33.2
2013,EAV-130508-G,"Waste mixtures from sand traps, oil/water separation.",931.0,171.4,164.3
2013,EAV-130701-G,Heating oil and diesel,139.0,13.8,11.4
2013,EAV-130702-G,Petrol,45.0,1.6,1.3
2013,EAV-130703-G,Other fuels (including mixtures),165.0,27.1,15.1
2013,EAV-130801-G,Oil waste: sludges or emulsions from desalters,,,
2013,EAV-130802-G,Waste oil: Other emulsions,166.0,35.5,27.6
2013,EAV-130899-G,Oil waste: waste n.e.c.,161.0,30.8,25.9
2013,EAV-14,"Waste from organic solvents, coolants",731.0,146.0,68.2
2013,EAV-140601-G,"Chlorofluorocarbons, HCFCs, HFCs",57.0,1.9,1.6
2013,EAV-140602-G,Other halogenated solvents and solvent-based,123.0,9.8,3.9
2013,EAV-140603-G,Other solvents and solvent mixtures,601.0,125.5,56.1
2013,EAV-140604-G,"Sludge, solid waste (halogenated solvents)",18.0,0.7,0.1
2013,EAV-140605-G,"Sludges, solid waste (other solvents)",66.0,8.0,6.5
2013,EAV-15,"Packaging waste, absorbents, wipes",2580.0,253.3,188.3
2013,EAV-150110-G,Packaging with residues of dangerous substances,1108.0,58.1,46.1
2013,EAV-150111-G,Metal packaging,27.0,0.8,0.7
2013,EAV-150202-G,"Absorbent and filter materials, wipes",2121.0,194.4,141.5
2013,EAV-16,Waste not included elsewhere in the inventory,2880.0,988.7,825.3
2013,EAV-160104-G,end-of-life vehicles,49.0,132.2,132.2
2013,EAV-160107-G,Old vehicles: oil filter,110.0,12.2,9.4
2013,EAV-160108-G,Old vehicles: components containing mercury,,,
2013,EAV-160109-G,End-of-life vehicles: Components containing PCBs,,,
2013,EAV-160110-G,End-of-life vehicles: Explosive components (e.g. from airbags),53.0,0.9,0.9
2013,EAV-160111-G,Old vehicles: brake pads containing asbestos,,,
2013,EAV-160113-G,Old vehicles: brake fluids,137.0,11.6,8.0
2013,EAV-160114-G,End-of-life vehicles: antifreeze is dangerous. substances,209.0,22.9,17.3
2013,EAV-160121-G,"dangerous Components (without 160107-160111,160113-160114)",41.0,2.5,2.4
2013,EAV-160209-G,transformers and Capacitors containing PCB.,215.0,2.0,1.7
2013,EAV-160210-G,Used devices containing PCB (oh.160209),7.0,0.0,0.0
2013,EAV-160211-G,Used equipment,181.0,12.1,6.3
2013,EAV-160212-G,Used equipment containing free asbestos,118.0,10.9,9.6
2013,EAV-160213-G,Used devices with dangerous components (oh.160209-12),439.0,45.5,32.3
2013,EAV-160215-G,Dangerous components removed from used equipment,169.0,61.3,43.2
2013,EAV-160303-G,Bad batches: inorganic waste with hazardous substances,64.0,3.4,3.3
2013,EAV-160305-G,Bad batches: Organic waste with hazardous fabrics,121.0,7.8,7.4
2013,EAV-160401-G,Ammunition waste,6.0,0.0,0.0
2013,EAV-160402-G,firecracker waste,7.0,0.7,0.7
2013,EAV-160403-G,Other explosive waste,18.0,0.2,0.2
2013,EAV-160504-G,Gases containing dangerous substances in pressure vessels.,331.0,3.9,3.1
2013,EAV-160506-G,Laboratory chemicals from hazardous substances,242.0,3.5,2.8
2013,EAV-160507-G,Used inorganic chemicals,437.0,8.1,6.4
2013,EAV-160508-G,Used organic chemicals,417.0,6.4,5.3
2013,EAV-160601-G,Lead batteries,481.0,328.7,262.0
2013,EAV-160602-G,Ni~Cd-Battery Garden,93.0,1.6,1.4
2013,EAV-160603-G,Batteries containing mercury,13.0,0.2,0.2
2013,EAV-160606-G,"Separately collected electrolytes a. batteries, rechargeable battery.",29.0,2.4,1.7
2013,EAV-160708-G,"Tanks, barrels: waste containing oil",671.0,154.8,134.0
2013,EAV-160709-G,"Tanks, barrels: waste with other hazardous St.",166.0,19.3,17.2
2013,EAV-160802-G,Used catalyst. with.dangerous.transition-metals,103.0,10.6,10.1
2013,EAV-160805-G,Used catalysts with phosphoric acid,,,
2013,EAV-160806-G,Used Fluids (Catalysts),3.0,0.3,0.3
2013,EAV-160807-G,Used catalysts with hazardous substances,123.0,11.1,10.1
2013,EAV-160901-G,"Permanganate, z.B. Potassium permanganate",3.0,0.0,0.0
2013,EAV-160902-G,"Chromates (potassium chromate, potassium or sodium dichromate)",,,
2013,EAV-160903-G,"Peroxides, e.g. hydrogen peroxide",15.0,0.1,0.1
2013,EAV-160904-G,Oxidizing substances n.e.c.,7.0,0.1,0.1
2013,EAV-161001-G,Aqueous liquid waste containing hazardous substances,243.0,52.2,38.4
2013,EAV-161003-G,Aqueous concentrates with dangerous substances,55.0,5.8,5.2
2013,EAV-161101-G,Refractory materials from metallurgy. processes,14.0,20.1,20.1
2013,EAV-161103-G,Other linings and refractory materials,60.0,13.5,13.1
2013,EAV-161105-G,Non-metallurgical refractory materials. percent,91.0,19.5,18.5
2013,EAV-17,construction and demolition waste,11226.0,8195.9,7252.4
2013,EAV-170106-G,"Mixtures of o. separate fractions v. Concrete, etc.",1187.0,639.0,592.5
2013,EAV-170204-G,"Glass, plastic and wood containing dangerous substances",4084.0,929.2,784.6
2013,EAV-170301-G,Bitumen mixtures containing coal tar,3075.0,3108.3,2627.1
2013,EAV-170303-G,Coal tar and tarry products,1384.0,231.0,165.7
2013,EAV-170409-G,Metal waste containing hazardous substances,150.0,7.8,7.5
2013,EAV-170410-G,"Cables that contain oil, coal tar, etc. are dangerous. Substances included",275.0,10.3,7.9
2013,EAV-170503-G,Soil and stones containing hazardous substances,1666.0,2076.2,1999.2
2013,EAV-170505-G,Dredged material containing dangerous substances,26.0,9.3,8.0
2013,EAV-170507-G,Track ballast containing dangerous substances,87.0,432.8,423.0
2013,EAV-170601-G,Insulating material that contains asbestos,148.0,4.3,3.9
2013,EAV-170603-G,other insulation material,2167.0,171.7,139.4
2013,EAV-170605-G,Building materials containing asbestos,3280.0,511.8,432.0
2013,EAV-170801-G,Contaminated gypsum-based building materials,10.0,0.2,0.2
2013,EAV-170901-G,Construction and demolition waste containing mercury,9.0,0.3,0.3
2013,EAV-170902-G,Construction and demolition waste containing PCBs,128.0,3.0,2.8
2013,EAV-170903-G,Other construction and demolition waste,236.0,60.6,58.3
2013,EAV-18,Waste from medical supplies,202.0,21.9,18.3
2013,EAV-180103-G,Waste (especially requirements from the point of view of preventing infection),139.0,17.8,14.9
2013,EAV-180106-G,Chemicals consisting of dangerous substances,22.0,0.2,0.2
2013,EAV-180108-G,cytotoxic. and cytostatic drugs for humans,60.0,3.0,2.5
2013,EAV-180110-G,Dental amalgam waste,38.0,0.1,0.1
2013,EAV-180202-G,Waste (especially requirements from the point of view of preventing infection),46.0,0.9,0.7
2013,EAV-180205-G,Chemicals consisting of dangerous substances,6.0,0.0,0.0
2013,EAV-180207-G,Cytotoxic and. cytostatic drugs for.animals,,,
2013,EAV-19,Waste from waste treatment plants e.g.,1627.0,6196.3,2986.6
2013,EAV-190105-G,"Combustion, pyrolysis: filter cake from exhaust gas treatment.",28.0,37.4,22.3
2013,EAV-190106-G,"Combustion, pyrolysis: Aqueous liquid waste from flue gas tank",32.0,56.5,17.4
2013,EAV-190107-G,"Incineration, pyrolysis: solid waste a. Exhaust gas treatment",121.0,718.2,380.3
2013,EAV-190110-G,"Combustion, pyrolysis: Used activated carbon a. Exhaust gas tank",16.0,4.7,2.9
2013,EAV-190111-G,"Combustion, pyrolysis: grate, boiler ashes, slag",92.0,588.0,316.6
2013,EAV-190113-G,"Combustion.,Pyrolysis: Filter dust with haz. St.",125.0,637.3,391.8
2013,EAV-190115-G,"Combustion, pyrolysis: boiler dust is dangerous. substances",39.0,75.4,43.8
2013,EAV-190117-G,Pyrolysis Wastes containing dangerous substances,11.0,1.0,1.0
2013,EAV-190204-G,Premixed waste with at least one hazardous waste,95.0,661.2,152.3
2013,EAV-190205-G,Sludges from physico-chemical treatment,400.0,319.6,190.4
2013,EAV-190207-G,Oil and concentrates from separation processes,144.0,135.5,67.0
2013,EAV-190208-G,Liquid combustible waste with hazardous fabrics,29.0,34.8,24.4
2013,EAV-190209-G,Solid combustible waste containing hazardous substances,10.0,5.2,2.1
2013,EAV-190211-G,Other wastes containing dangerous substances,18.0,4.2,3.1
2013,EAV-190304-G,as dangerous classified partially stabilized waste,12.0,108.4,8.1
2013,EAV-190306-G,Solidified waste classified as hazardous,13.0,341.3,79.4
2013,EAV-190402-G,Filter dust and other waste from exhaust gas treatment,,,
2013,EAV-190403-G,Non-vitrified solid phase,,,
2013,EAV-190702-G,"Landfill leachate, which is dangerous. contains substances",85.0,280.7,190.8
2013,EAV-190806-G,Saturated or spent ion exchange resins,52.0,0.6,0.5
2013,EAV-190807-G,Solutions and sludges from regeneration of ion exchange.,,,
2013,EAV-190808-G,Waste containing heavy metals from membrane systems,6.0,11.9,10.0
2013,EAV-190810-G,Grease and oil mixtures from oil separators (oh.190809),13.0,1.6,0.6
2013,EAV-190811-G,Sludges from biological treatment of industrial waste water,25.0,193.0,185.2
2013,EAV-190813-G,Sludge with dangerous Substances from industrial wastewater,217.0,132.3,113.5
2013,EAV-191003-G,Shredder light fractions and dust,15.0,24.9,18.5
2013,EAV-191005-G,Other factions that are dangerous. contain substances,5.0,3.9,0.8
2013,EAV-191101-G,Waste oil treatment: used filter clay,10.0,3.7,3.0
2013,EAV-191102-G,Waste oil processing: acid tars,,,
2013,EAV-191103-G,Waste oil treatment: Aqueous liquid waste,5.0,0.7,0.6
2013,EAV-191104-G,Waste oil processing: Abf.a.d. Fuel cleaning with bases,,,
2013,EAV-191105-G,Waste oil treatment: sludge (company wastewater tank),14.0,1.6,1.6
2013,EAV-191107-G,Waste oil treatment: Waste from exhaust gas cleaning,,,
2013,EAV-191206-G,Mechanical waste treatment: wood with hazardous substances,254.0,874.9,357.0
2013,EAV-191211-G,Other waste (including material mixtures),230.0,733.9,350.2
2013,EAV-191301-G,Solid waste from soil remediation,34.0,163.7,47.9
2013,EAV-191303-G,Sludges from soil remediation,8.0,37.6,0.5
2013,EAV-191305-G,Sludges from groundwater remediation,24.0,0.9,0.8
2013,EAV-191307-G,Aqueous waste and concentrates from groundwater remediation.,22.0,1.6,1.6
2013,EAV-20,Municipal waste (household waste and similar waste),731.0,104.4,86.0
2013,EAV-200113-G,Solvents,270.0,7.5,6.5
2013,EAV-200114-G,acids,240.0,1.4,1.1
2013,EAV-200115-G,Lye,229.0,1.3,1.2
2013,EAV-200117-G,Photochemical,162.0,0.5,0.4
2013,EAV-200119-G,pesticides,250.0,1.9,1.5
2013,EAV-200121-G,Fluorescent tubes and other waste containing mercury,201.0,3.1,3.1
2013,EAV-200123-G,Used devices with chlorofluorocarbons,83.0,11.1,9.9
2013,EAV-200126-G,Oils and fats (excluding 200125),64.0,0.8,0.7
2013,EAV-200127-G,"Paints, printing inks, adhesives and synthetic resins",357.0,22.0,18.3
2013,EAV-200129-G,Detergents containing dangerous substances,73.0,0.6,0.5
2013,EAV-200131-G,Cytotoxic and cytostatic drugs,6.0,0.0,0.0
2013,EAV-200133-G,Batteries and accumulators (160601-160603),87.0,2.1,2.0
2013,EAV-200135-G,"Used electrical equipment (oh.200121,200123)",129.0,32.1,24.9
2013,EAV-200137-G,Wood containing dangerous substances,74.0,19.9,15.8
2014,EAV-01,waste from the extraction of mineral resources,35.0,57.0,56.6
2014,EAV-010304-G,Acid-forming tailings a. sul. ore,,,
2014,EAV-010305-G,Other processing residues containing hazardous substances,,,
2014,EAV-010307-G,Waste from processing metal-bearing mineral resources,,,
2014,EAV-010407-G,Waste for further processing non-metal Mineral resources,5.0,26.9,26.9
2014,EAV-010505-G,Oily drilling muds and wastes,26.0,16.5,16.2
2014,EAV-010506-G,Drilling muds and other drilling waste with hazardous substances,,,
2014,EAV-02,"Waste from agriculture, forestry, etc.",60.0,1.5,1.2
2014,EAV-020108-G,Agricultural chemical waste,60.0,1.5,1.2
2014,EAV-03,"Waste from wood processing, etc.",23.0,1.0,1.0
2014,EAV-030104-G,"Sawdust, shavings, cuttings, wood, chipboard",4.0,0.8,0.8
2014,EAV-030201-G,Halogen-free organic wood preservatives,6.0,0.0,0.0
2014,EAV-030202-G,Organochlorine wood preservatives,4.0,0.1,0.1
2014,EAV-030203-G,Metallo-organic wood preservatives,,,
2014,EAV-030204-G,Inorganic wood preservatives,,,
2014,EAV-030205-G,Other wood preservatives with dangerous substances,9.0,0.1,0.0
2014,EAV-04,"Waste from the leather, fur and textile industries",5.0,0.2,0.2
2014,EAV-040103-G,"Degreasing waste, solvent-free, non-liquid phase",,,
2014,EAV-040214-G,waste from the finish with organ. solvent,,,
2014,EAV-040216-G,Dyes and pigments containing dangerous substances,,,
2014,EAV-040219-G,Textile industry: sludge (company wastewater tank),3.0,0.0,0.0
2014,EAV-05,"Waste from petroleum refining, natural gas purification",149.0,78.8,69.5
2014,EAV-050102-G,Petroleum refining: desalination sludges,,,
2014,EAV-050103-G,Petroleum refining: bottom sludge from tanks,50.0,31.7,30.7
2014,EAV-050104-G,Petroleum refining: Acid alkyl sludges,,,
2014,EAV-050105-G,Petroleum Refining: Oil Spills,,,
2014,EAV-050106-G,Petroleum refining: oil holding.sludges a.operation process.,63.0,22.1,15.0
2014,EAV-050107-G,Petroleum refining: acid tars,,,
2014,EAV-050108-G,Petroleum refining: Other teas,4.0,0.2,0.2
2014,EAV-050109-G,Petroleum refinery: sludge (in-house waste water treatment),12.0,10.3,10.2
2014,EAV-050111-G,Petroleum refinery: Waste from fuel purification. with bases,,,
2014,EAV-050112-G,Petroleum Refining: Acidic Oils,,,
2014,EAV-050115-G,Petroleum Refining: Used filter clays,14.0,1.4,0.4
2014,EAV-050601-G,Coal pyrolysis: acid tars,,,
2014,EAV-050603-G,Kohlepyrolyse: Andere Teere,40.0,12.4,12.3
2014,EAV-050701-G,"Natural gas cleaning, transport: mercury h. waste",7.0,0.3,0.3
2014,EAV-06,Waste from inorganic chemical processes,999.0,366.6,318.3
2014,EAV-060101-G,sulfuric acid and sulphurous acid,175.0,121.7,119.9
2014,EAV-060102-G,hydrochloric acid,51.0,9.5,8.2
2014,EAV-060103-G,Hydrofluoric acid,11.0,0.1,0.1
2014,EAV-060104-G,Phosphoric acid and phosphorous acid,38.0,1.0,1.0
2014,EAV-060105-G,Nitric acid and nitrous acid,48.0,1.4,1.3
2014,EAV-060106-G,other acids,248.0,23.3,19.6
2014,EAV-060201-G,Calciumhydroxid,12.0,1.0,1.0
2014,EAV-060203-G,Ammoniumhydroxid,60.0,8.7,8.1
2014,EAV-060204-G,Sodium and potassium hydroxide,47.0,9.7,7.8
2014,EAV-060205-G,Other Bases,249.0,25.1,21.9
2014,EAV-060311-G,Solid salts and solutions containing cyanide,27.0,0.5,0.4
2014,EAV-060313-G,Solid salts and solutions containing heavy metals,133.0,9.9,8.5
2014,EAV-060315-G,Metal oxides containing heavy metals,28.0,3.3,3.3
2014,EAV-060403-G,Waste containing arsenic,17.0,0.8,0.7
2014,EAV-060404-G,Waste containing mercury,121.0,2.0,1.8
2014,EAV-060405-G,Waste containing other heavy metals,98.0,62.6,33.3
2014,EAV-060502-G,Sludge from on-site wastewater treatment,96.0,63.0,59.4
2014,EAV-060602-G,Waste containing hazardous sulphides,6.0,0.5,0.5
2014,EAV-060701-G,Asbestos-containing waste from electrolysis,,,
2014,EAV-060702-G,Activated carbon from chlorine production,,,
2014,EAV-060703-G,Mercurial barium sulfate sludges,,,
2014,EAV-060704-G,"Solutions and acids, e.g. contact acid",3.0,0.6,
2014,EAV-060802-G,Hazardous waste containing chlorosilanes,8.0,5.3,5.3
2014,EAV-060903-G,Calcium-based reaction wastes,,,
2014,EAV-061002-G,Nitrogen.Chemie.: Waste with hazardous fabrics,8.0,0.1,0.1
2014,EAV-061301-G,"Inorganic pesticides, wood preservatives",35.0,0.2,0.1
2014,EAV-061302-G,Used activated carbon (without 060702),68.0,3.9,3.7
2014,EAV-061304-G,Waste from asbestos processing,7.0,1.1,0.5
2014,EAV-061305-G,Oven and chimney soot,,,
2014,EAV-07,Waste from organic chemical processes,1728.0,1194.0,1124.5
2014,EAV-070101-G,"Organic basic chemicals: Aqueous wash bottles, mother liquors",159.0,47.5,40.5
2014,EAV-070103-G,"Organic basic chemicals: halogen organic solvents, washing bottle",99.0,25.9,24.4
2014,EAV-070104-G,"Organic basic chemicals: solvents, washing liquids",352.0,106.5,94.8
2014,EAV-070107-G,"Org.Basic chem.: Halogen.Reaction-, Distill.reset.",39.0,38.3,37.9
2014,EAV-070108-G,Org.Basic chemistry: reaction and distillation residues.,132.0,84.8,76.9
