GENESIS-Tabelle: 32161-0002
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;;;
Wirtschaftszweige, Abfallarten;;;;;;
Erhebung über die Abfallerzeugung;;;;;;
Deutschland;;;;;;
;;;;;Betriebe;Erzeugte Abfallmenge
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;120;1,4
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-17;Bau- und Abbruchabfälle;183;6,6
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;47;7,5
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);514;35,6
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-13-03;Textil- und Bekleidungsgewerbe, Ledergewerbe;;Insgesamt;556;261,3
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;11;0,1
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-03;Abfälle aus der Holzbearbeitung u.a.;195;2918,7
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-06;Abfälle aus anorganisch-chemischen Prozessen;10;0,1
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-07;Abfälle aus organisch-chemischen Prozessen;33;6,6
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;124;6,8
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-09;Abfälle aus der fotografischen Industrie;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-10;Abfälle aus thermischen Prozessen;147;183,3
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;10;0,2
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;48;3,2
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;103;2,0
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;23;0,1
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;300;26,2
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;77;2,2
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-17;Bau- und Abbruchabfälle;173;40,0
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;38;52,3
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);345;27,5
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-16;H.v. Holz-, Flecht-, Korb-u.Korkwaren (ohne Möbel);;Insgesamt;364;3269,3
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;3;0,1
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;50;2,4
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-03;Abfälle aus der Holzbearbeitung u.a.;407;4951,2
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;10;12,1
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;-;-
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;68;4,9
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-07;Abfälle aus organisch-chemischen Prozessen;219;28,5
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;665;45,3
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-09;Abfälle aus der fotografischen Industrie;333;4,5
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-10;Abfälle aus thermischen Prozessen;38;423,6
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;66;1,7
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;144;6,5
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;414;4,6
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;284;3,7
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;980;579,1
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;319;5,7
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-17;Bau- und Abbruchabfälle;467;110,1
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;147;125,3
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1071;829,3
2014;WZ08-17-03;Papier- und Druckgewerbe;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-17-03;Papier- und Druckgewerbe;;Insgesamt;1124;7138,5
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;4;0,0
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;-;-
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;21;31,1
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;16;35,3
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-07;Abfälle aus organisch-chemischen Prozessen;27;6,3
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;12;0,0
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-09;Abfälle aus der fotografischen Industrie;3;0,0
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-10;Abfälle aus thermischen Prozessen;7;34,9
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;3;0,4
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;26;6,2
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;34;16,3
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;15;0,3
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;43;5,7
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;34;18,1
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-17;Bau- und Abbruchabfälle;32;86,1
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;17;62,6
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);43;8,4
2014;WZ08-19;Kokerei und Mineralölverarbeitung;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-19;Kokerei und Mineralölverarbeitung;;Insgesamt;47;311,6
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;31;1802,8
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;233;195,3
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;60;24,3
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;32;11,0
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;26;10,0
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;471;448,2
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-07;Abfälle aus organisch-chemischen Prozessen;1719;1710,9
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;927;92,9
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-09;Abfälle aus der fotografischen Industrie;30;1,1
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-10;Abfälle aus thermischen Prozessen;138;373,3
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;194;50,3
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;941;64,9
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1277;35,4
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;545;14,3
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;2722;458,7
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;1261;134,0
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-17;Bau- und Abbruchabfälle;1418;1300,5
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-18;Abfälle aus der medizinischen Versorgung;137;10,9
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;399;894,2
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);2761;403,0
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-20-03;Chem. u. pharm. Erzeugn., Gummi-, Kunststoffwaren;;Insgesamt;2947;8036,2
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;35;91,4
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;40;0,4
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-03;Abfälle aus der Holzbearbeitung u.a.;56;9,7
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;8;0,9
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;95;6,8
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-07;Abfälle aus organisch-chemischen Prozessen;133;8,6
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;262;17,5
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-09;Abfälle aus der fotografischen Industrie;6;0,0
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-10;Abfälle aus thermischen Prozessen;528;1188,1
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;50;1,7
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;210;10,7
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;437;19,8
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;135;1,0
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;842;87,9
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;354;26,8
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-17;Bau- und Abbruchabfälle;564;456,8
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-18;Abfälle aus der medizinischen Versorgung;-;-
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;99;105,9
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);897;107,2
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-23;H.v.Glas,-waren,Keramik,Verarb. v.Steinen u.Erden;;Insgesamt;944;2142,2
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;6;3,0
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;111;2,1
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;39;3,7
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;3;0,1
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;18;3,3
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;362;79,2
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-07;Abfälle aus organisch-chemischen Prozessen;392;16,1
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;659;15,7
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-09;Abfälle aus der fotografischen Industrie;54;0,2
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-10;Abfälle aus thermischen Prozessen;402;7203,3
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;593;459,6
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;1521;2012,2
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;1157;60,8
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;423;6,5
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;1823;213,9
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;883;575,1
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-17;Bau- und Abbruchabfälle;1067;1032,6
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-18;Abfälle aus der medizinischen Versorgung;10;0,0
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;310;255,5
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);1784;277,0
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-24-03;Metallerzeugung u. -bearb., Herstell. v.Metallerz.;;Insgesamt;1922;12219,9
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;19;4,1
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;551;20,2
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-03;Abfälle aus der Holzbearbeitung u.a.;108;17,0
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;32;7,2
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;15;0,2
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;617;52,4
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-07;Abfälle aus organisch-chemischen Prozessen;1221;73,5
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;2285;76,3
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-09;Abfälle aus der fotografischen Industrie;120;0,3
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-10;Abfälle aus thermischen Prozessen;347;329,0
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;884;76,8
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;3460;3869,1
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;2510;78,6
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;1316;13,4
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;4956;729,5
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;2535;448,1
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-17;Bau- und Abbruchabfälle;2681;1488,5
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-18;Abfälle aus der medizinischen Versorgung;46;0,1
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;588;112,0
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);5141;763,8
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-26-03;DV-Geräte,elektr. u. opt.Erzeugn.,Fahrzeugbau,etc.;;Insgesamt;5387;8160,2
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;-;-
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;35;0,8
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-03;Abfälle aus der Holzbearbeitung u.a.;245;308,7
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;29;3,1
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-05;Abfälle aus der Erdölraffination, Erdgasreinigung;3;0,0
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-06;Abfälle aus anorganisch-chemischen Prozessen;85;10,4
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-07;Abfälle aus organisch-chemischen Prozessen;186;34,8
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-08;Abfälle aus HZVA v.Beschichtungen,Klebstoffen u.a.;338;6,7
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-09;Abfälle aus der fotografischen Industrie;15;0,0
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-10;Abfälle aus thermischen Prozessen;173;4,1
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;118;9,7
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;370;42,3
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;221;2,0
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;155;0,9
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;925;85,4
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;224;6,0
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-17;Bau- und Abbruchabfälle;366;28,9
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-18;Abfälle aus der medizinischen Versorgung;23;0,8
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;71;6,6
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-20;Siedlungsabfälle (Haushaltsabfälle u.ä. Abfälle);988;134,1
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;EAV-99;Gefährliche Abfälle;-;-
2014;WZ08-31-02;Herstellung von Möbeln und sonstigen Waren;;Insgesamt;1059;685,1
2014;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-01;Abfälle aus der Gewinnung von Bodenschätzen;6;0,3
2014;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-02;Abfälle aus Landwirtschaft, Forstwirtschaft u.a.;103;2,8
2014;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-03;Abfälle aus der Holzbearbeitung u.a.;11;0,1
2014;WZ08-35-01;Energieversorgung, Wasserversorgung;EAV-04;Abfälle aus der Leder-, Pelz- und Textilindustrie;-;-
