GENESIS-Tabelle: 32161-0001
Betriebe, erzeugte Abfallmenge: Deutschland, Jahre,;;;;
Abfallarten;;;;
Erhebung über die Abfallerzeugung;;;;
Deutschland;;;;
;;;Betriebe;Erzeugte Abfallmenge
2014;EAV-101015-G;  Nichteisenmetalle: Abf. aus rissanzeigenden Subst.;-;-
2014;EAV-101016-U;  Abfälle aus rissanzeigenden Substanzen (oh.101015);-;-
2014;EAV-101099-U;  Gießen von Nichteisenmetallen: Abfälle a.n.g.;7;0,3
2014;EAV-101103-U;  Glasfaserabfall;50;32,4
2014;EAV-101105-U;  Glasherstellung: Teilchen und Staub;32;8,6
2014;EAV-101109-G;  Gemengeabfall mit gefährl. Stoffen v. d. Schmelzen;11;0,6
2014;EAV-101110-U;  Gemengeabfall vor dem Schmelzen (ohne 101109);15;4,4
2014;EAV-101111-G;  Glasabfall in kleinen Teilchen und Glasstaub;10;2,6
2014;EAV-101112-U;  Glasabfall (ohne 101111);233;197,4
2014;EAV-101113-G;  Glaspolier- und Glasschleifschlämme;27;1,0
2014;EAV-101114-U;  Glaspolier- und Glasschleifschlämme (ohne 101113);51;4,1
2014;EAV-101115-G;  Glasherstellung: Feste Abfälle aus Abgasbehandlung;24;3,4
2014;EAV-101116-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101115);15;3,1
2014;EAV-101117-G;  Glasherstellung: Schlämme, Filterk. aus Abgasbeh.;-;-
2014;EAV-101118-U;  Schlämme und Filterkuchen aus Abgasbeh.(oh.101117);4;0,1
2014;EAV-101119-G;  Glasherst.:Feste Abf. a. betriebseig. Abwasserbeh.;6;0,3
2014;EAV-101120-U;  Feste Abfälle a. betriebs. Abwasserbeh.(oh.101119);6;0,4
2014;EAV-101199-U;  Glasherstellung: Abfälle a.n.g.;6;1,9
2014;EAV-101201-U;  Keramikerzeugnisse: Rohmischungen vor dem Brennen;42;31,0
2014;EAV-101203-U;  Keramikerzeugnisse: Teilchen und Staub;55;7,7
2014;EAV-101205-U;  Keramikerzeugnisse: Schlämme, Filterk. a.Abgasbeh.;-;-
2014;EAV-101206-U;  Keramikerzeugnisse: Verworfene Formen;33;7,2
2014;EAV-101208-U;  Abfälle aus Keramikerzeugnissen, Ziegeln u.a.;99;103,4
2014;EAV-101209-G;  Keramikerzeugnisse: Feste Abfälle a. Abgasbehandl.;16;3,5
2014;EAV-101210-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101209);57;12,1
2014;EAV-101211-G;  Keramikerzeugn.: Glasurabfälle mit Schwermetallen;3;0,1
2014;EAV-101212-U;  Glasurabfälle (ohne 101211);6;0,3
2014;EAV-101213-U;  Keramikerzeugn.:Schlämme(betriebseig.Abwasserbeh.);39;182,0
2014;EAV-101299-U;  Keramikerzeugnisse,keram.Baustoffe: Abfälle a.n.g.;19;4,2
2014;EAV-101301-U;  Zement u.a.:Abfälle von Rohgemenge vor dem Brennen;4;101,3
2014;EAV-101304-U;  Abfälle a.Kalzinierung,Hydratisierung v.Branntkalk;29;124,3
2014;EAV-101306-U;  Zement u.a.: Teilchen, Staub (außer 101312,101313);50;202,8
2014;EAV-101307-U;  Zement u.a.: Schlämme, Filterkuchen aus Abgasbeh.;-;-
2014;EAV-101309-G;  Asbesthaltige Abfälle a. Herstell. v. Asbestzement;-;-
2014;EAV-101310-U;  Abfälle aus Herstellung v. Asbestzement(oh.101309);-;-
2014;EAV-101311-U;  Abfälle aus Verbundstoffen (ohne 101309, 101310);30;42,0
2014;EAV-101312-G;  Zement u.a.: Feste Abfälle aus Abgasbehandlung;4;5,3
2014;EAV-101313-U;  Feste Abfälle aus der Abgasbehandlung (oh. 101312);4;0,1
2014;EAV-101314-U;  Betonabfälle und Betonschlämme;138;273,9
2014;EAV-101399-U;  Zement, Gips, Branntkalk: Abfälle a.n.g.;14;6,8
2014;EAV-101401-G;  Krematorien:Quecksilberh. Abfälle a.d.Gasreinigung;4;0,0
2014;EAV-11;Abfälle aus der chemischen Oberflächenbearbeitung;;
2014;EAV-110105-G;  Oberflächenbearb.: Saure Beizlösungen;617;155,7
2014;EAV-110106-G;  Oberflächenbearb.: Säuren a.n.g.;201;7,6
2014;EAV-110107-G;  Oberflächenbearb.: Alkalische Beizlösungen;572;40,9
2014;EAV-110108-G;  Oberflächenbearb.: Phosphatierschlämme;183;7,4
2014;EAV-110109-G;  Oberflächenbearb.: Schlämme,Filterkuchen m.gef.St.;616;53,0
2014;EAV-110110-U;  Schlämme und Filterkuchen (ohne 110109);92;47,4
2014;EAV-110111-G;  Oberflächenbearb.:Wässrige Spülflüssigk. m.gef.St.;661;44,9
2014;EAV-110112-U;  Wässrige Spülflüssigkeiten (ohne 110111);77;6,1
2014;EAV-110113-G;  Oberflächenbearb.:Abfälle a.d.Entfettung m.gef.St.;116;7,9
2014;EAV-110114-U;  Abfälle aus der Entfettung (ohne 110113);12;0,3
2014;EAV-110115-G;  Oberflächenbearb.: Eluate,Schlämme a. Membransyst.;3;0,4
2014;EAV-110116-G;  Oberflächenbearb.: Ionenaustauscherharze;23;0,1
2014;EAV-110198-G;  Oberflächenbearb.: Andere Abfälle mit gefährl. St.;208;8,2
2014;EAV-110199-U;  Oberflächenbearbeitung: Abfälle a.n.g.;10;10,6
2014;EAV-110202-G;  Schlämme aus der Zink-Hydrometallurgie;7;157,1
2014;EAV-110203-U;  Abfälle aus der Herstellung von Anoden;-;-
2014;EAV-110205-G;  Abfälle aus Prozessen der Kupfer-Hydrometallurgie;-;-
2014;EAV-110206-U;  Abfälle aus Prozes. d.Kupfer-Hydromet.(oh.110205);-;-
2014;EAV-110207-G;  Nichteisen-Hydrometallurgie:And.Abf. m.gefährl.St.;-;-
2014;EAV-110299-U;  Nichteisen-Hydrometallurgie: Abfälle a.n.g.;5;13,9
2014;EAV-110301-G;  Schlämme,Festst.a.Härteprozessen: Cyanidh. Abfälle;35;0,5
2014;EAV-110302-G;  Schlämme,Festst.a.Härteprozessen: Andere Abfälle;56;1,4
2014;EAV-110501-U;  Verzinkung: Hartzink;15;6,1
2014;EAV-110502-U;  Verzinkung: Zinkasche;15;2,2
2014;EAV-110503-G;  Verzinkung: Feste Abfälle aus Abgasbehandlung;7;0,2
2014;EAV-110504-G;  Verzinkung: Gebrauchte Flussmittel;-;-
2014;EAV-110599-U;  Verzinkung: Abfälle a.n.g.;-;-
2014;EAV-12;Abfälle aus Prozessen der mechanischen Formgebung;;
2014;EAV-120101-U;  Eisenfeil- und -drehspäne;2549;1548,7
2014;EAV-120102-U;  Eisenstaub und -teilchen;2492;3109,9
2014;EAV-120103-U;  NE-Metallfeil- und -drehspäne;1792;312,6
2014;EAV-120104-U;  NE-Metallstaub und -teilchen;1385;201,1
2014;EAV-120105-U;  Kunststoffspäne und -drehspäne;490;58,0
2014;EAV-120106-G;  Halogenhaltige Bearbeitungsöle auf Mineralölbasis;21;0,3
2014;EAV-120107-G;  Halogenfreie Bearbeitungsöle auf Mineralölbasis;149;27,9
2014;EAV-120108-G;  Halogenhaltige Bearbeitungsemulsionen u. -lösungen;30;3,6
2014;EAV-120109-G;  Halogenfreie Bearbeitungsemulsionen und -lösungen;4666;417,6
2014;EAV-120110-G;  Synthetische Bearbeitungsöle;34;0,8
2014;EAV-120112-G;  Gebrauchte Wachse und Fette;622;9,7
2014;EAV-120113-U;  Schweißabfälle;84;33,1
2014;EAV-120114-G;  Bearbeitungsschlämme mit gefährlichen Stoffen;338;18,3
2014;EAV-120115-U;  Bearbeitungsschlämme (ohne 120114);117;10,7
2014;EAV-120116-G;  Strahlmittelabfälle (mit gefährlichen Stoffen);198;11,3
2014;EAV-120117-U;  Strahlmittelabfälle (ohne 120116);766;62,2
2014;EAV-120118-G;  Ölhaltige Metallschlämme (Schleifschlämme, etc.);670;47,5
2014;EAV-120119-G;  Biologisch leicht abbaubare Bearbeitungsöle;-;-
2014;EAV-120120-G;  Gebrauchte Hon-u.Schleifmittel mit gefährl.Stoffen;79;3,5
2014;EAV-120121-U;  Gebrauchte Hon- und Schleifmittel (ohne 120120);434;13,4
2014;EAV-120199-U;  Oberflächenbearb. Metalle,Kunstst.: Abfälle a.n.g.;187;128,0
2014;EAV-120301-G;  Wässrige Waschflüssigkeiten;424;25,5
2014;EAV-120302-G;  Abfälle aus der Dampfentfettung;15;2,1
2014;EAV-13;Ölabfälle und Abfälle aus flüssigen Brennstoffen;;
2014;EAV-130101-G;  Hydrauliköle, die PCB enthalten;6;0,0
2014;EAV-130104-G;  Hydrauliköle: Chlorierte Emulsionen;-;-
2014;EAV-130105-G;  Hydrauliköle: Nichtchlorierte Emulsionen;136;5,8
2014;EAV-130109-G;  Chlorierte Hydrauliköle auf Mineralölbasis;4;0,0
2014;EAV-130110-G;  Nichtchlorierte Hydrauliköle auf Mineralölbasis;229;2,5
2014;EAV-130111-G;  Synthetische Hydrauliköle;20;0,1
2014;EAV-130112-G;  Biologisch leicht abbaubare Hydrauliköle;7;0,0
2014;EAV-130113-G;  Andere Hydrauliköle;29;0,1
2014;EAV-130204-G;  Chlorierte Maschinen-, Getriebe- und Schmieröle;100;0,8
2014;EAV-130205-G;  Nichtchlorierte Maschinen-,Getriebe-u. Schmieröle;5817;75,4
2014;EAV-130206-G;  Synthetische Maschinen-, Getriebe- und Schmieröle;64;0,2
2014;EAV-130207-G;  Biologisch leicht abbau. Maschinen-, Getriebeöle;10;0,0
2014;EAV-130208-G;  Andere Maschinen-, Getriebe- und Schmieröle;474;7,9
2014;EAV-130301-G;  Isolier- und Wärmeübertragungsöle mit PCB;28;0,2
2014;EAV-130306-G;  Chlor. Isolier- u. Wärmeübertragungsöle(oh.130301);4;0,0
2014;EAV-130307-G;  Nichtchlorierte Isolier- und Wärmeübertragungsöle;148;4,9
2014;EAV-130308-G;  Synthetische Isolier- und Wärmeübertragungsöle;28;0,8
2014;EAV-130309-G;  Biolog. leicht abbaub. Isolier-u. Wärmeübertr.öle;-;-
2014;EAV-130310-G;  Andere Isolier- und Wärmeübertragungsöle;26;0,1
2014;EAV-130401-G;  Bilgenöle aus der Binnenschifffahrt;-;-
2014;EAV-130402-G;  Bilgenöle aus Molenablaufkanälen;-;-
2014;EAV-130403-G;  Bilgenöle aus der übrigen Schifffahrt;17;2,7
2014;EAV-130501-G;  Feste Abfälle a.Sandfanganlagen u.Öl-/Wasserabsch.;237;17,5
2014;EAV-130502-G;  Schlämme aus Öl-/Wasserabscheidern;1690;60,9
2014;EAV-130503-G;  Schlämme aus Einlaufschächten;453;11,3
2014;EAV-130506-G;  Öle aus Öl-/Wasserabscheidern;53;2,0
2014;EAV-130507-G;  Öliges Wasser aus Öl-/Wasserabscheidern;356;21,5
2014;EAV-130508-G;  Abfallgemische a.Sandfanganlagen, Öl-/Wasserabsch.;882;19,0
2014;EAV-130701-G;  Heizöl und Diesel;128;0,9
2014;EAV-130702-G;  Benzin;57;0,5
2014;EAV-130703-G;  Andere Brennstoffe (einschließlich Gemische);250;8,5
2014;EAV-130801-G;  Ölabfälle: Schlämme oder Emulsionen aus Entsalzern;-;-
2014;EAV-130802-G;  Ölabfälle: Andere Emulsionen;462;11,8
2014;EAV-130899-G;  Ölabfälle: Abfälle a.n.g.;342;18,1
2014;EAV-14;Abfälle aus organischen Lösemitteln, Kühlmitteln;;
2014;EAV-140601-G;  Fluorchlorkohlenwasserstoffe, HFCKW, HFKW;109;0,1
2014;EAV-140602-G;  Andere halogenierte Lösemittel u. Lösemittelgem.;367;2,4
2014;EAV-140603-G;  Andere Lösemittel und Lösemittelgemische;3114;36,5
2014;EAV-140604-G;  Schlämme, feste Abfälle (halogenierte Lösemittel);18;1,1
2014;EAV-140605-G;  Schlämme, feste Abfälle (andere Lösemittel );63;1,9
2014;EAV-15;Verpackungsabfall, Aufsaugmassen, Wischtücher;;
2014;EAV-150101-U;  Verpackungen aus Papier und Pappe;13499;1669,4
2014;EAV-150102-U;  Verpackungen aus Kunststoff;9727;431,1
2014;EAV-150103-U;  Verpackungen aus Holz;6912;446,5
2014;EAV-150104-U;  Verpackungen aus Metall;895;48,4
2014;EAV-150105-U;  Verbundverpackungen;374;64,0
2014;EAV-15010600-U;  Gemischte Verpackungen nicht differenzierbar;7039;561,8
2014;EAV-15010601-U;  Leichtverpackungen (LVP);1493;34,0
2014;EAV-15010602-U;  Gemischte Wertstoffe zus. mit Leichtverpackungen;207;12,8
2014;EAV-150107-U;  Verpackungen aus Glas;932;96,3
2014;EAV-150109-U;  Verpackungen aus Textilien;18;0,5
2014;EAV-150110-G;  Verpackungen mit Rückständen gefährlicher Stoffe;4450;39,7
2014;EAV-150111-G;  Verpackungen aus Metall;87;0,6
2014;EAV-150202-G;  Aufsaug- und Filtermaterialien, Wischtücher;8431;100,1
2014;EAV-150203-U;  Aufsaug- und Filtermaterialien (ohne 150202);511;34,3
2014;EAV-16;Abfälle, nicht anderswo im Verzeichnis aufgeführt;;
2014;EAV-160103-U;  Altreifen;685;57,9
2014;EAV-160104-G;  Altfahrzeuge;31;5,7
2014;EAV-160106-U;  Altfahrzeuge ohne gefährliche Bestandteile;14;10,8
2014;EAV-160107-G;  Altfahrzeuge: Ölfilter;390;0,6
2014;EAV-160108-G;  Altfahrzeuge: Quecksilberhaltige Bauteile;10;0,1
2014;EAV-160109-G;  Altfahrzeuge: Bauteile, die PCB enthalten;-;-
2014;EAV-160110-G;  Altfahrzeuge: Explosive Bauteile (z.B.aus Airbags);44;0,7
2014;EAV-160111-G;  Altfahrzeuge: Asbesthaltige Bremsbeläge;5;0,0
2014;EAV-160112-U;  Bremsbeläge (ohne 160111);35;1,8
2014;EAV-160113-G;  Altfahrzeuge: Bremsflüssigkeiten;160;0,3
2014;EAV-160114-G;  Altfahrzeuge: Frostschutzmittel m.gefährl. Stoffen;606;2,7
2014;EAV-160115-U;  Frostschutzmittel (ohne 160114);25;0,1
2014;EAV-160116-U;  Altfahrzeuge: Flüssiggasbehälter;-;-
2014;EAV-160117-U;  Altfahrzeuge: Eisenmetalle;269;413,9
2014;EAV-160118-U;  Altfahrzeuge: Nichteisenmetalle;173;87,2
2014;EAV-160119-U;  Altfahrzeuge: Kunststoffe;132;14,1
2014;EAV-160120-U;  Altfahrzeuge: Glas;121;3,6
2014;EAV-16012100-G;  Gefährl. Bauteile (oh.160107-160111,160113-160114);30;1,2
2014;EAV-16012101-G;  Gefährl. metall.Bauteile (oh.160107-11,160113-14);8;0,6
2014;EAV-16012102-G;  Gefährl. n.metall.Bauteile(oh.160107-11,160113-14);-;-
2014;EAV-16012200-U;  Bauteile nicht differenzierbar;25;2,4
2014;EAV-16012201-U;  Metallische Bauteile;58;5,4
2014;EAV-16012202-U;  Nicht metallische Bauteile;4;0,1
2014;EAV-160199-U;  Altfahrzeuge: Abfälle a.n.g.;29;0,6
2014;EAV-160209-G;  Transformatoren u. Kondensatoren, die PCB enthal.;254;0,3
2014;EAV-160210-G;  Gebrauchte Geräte, die PCB enthalten (oh.160209);22;0,1
2014;EAV-160211-G;  Gebrauchte Geräte;777;1,5
2014;EAV-160212-G;  Gebrauchte Geräte, die freies Asbest enthalten;45;0,1
2014;EAV-160213-G;  Gebr. Geräte mit gefährl. Bauteilen (oh.160209-12);2047;19,6
2014;EAV-160214-U;  Gebrauchte Geräte (ohne 160209 bis 160213);1814;21,1
2014;EAV-16021500-G;  Aus gebrauchten Geräten entfernte gefährl.Bauteile;68;0,2
2014;EAV-16021501-G;  Quecksilberhaltige Abfälle;-;-
2014;EAV-16021502-G;  Leiterplatten;30;0,3
2014;EAV-16021503-G;  Tonerkartuschen;184;0,2
2014;EAV-16021504-G;  Kunststoffe mit bromiertem Flammschutzmittel;-;-
2014;EAV-16021505-G;  Asbesthaltige Bauteile;-;-
2014;EAV-16021506-G;  Kathodenstrahlröhren;5;0,0
2014;EAV-16021507-G;  Gasentladungslampen;9;0,0
2014;EAV-16021508-G;  Flüssigkristallanzeigen;-;-
2014;EAV-16021509-G;  Externe elektrische Leitungen;20;0,1
2014;EAV-16021510-G;  Bauteile, die feuerfeste Keramikfasern enthalten;-;-
2014;EAV-16021511-G;  Elektrolyt - Kondensatoren;-;-
2014;EAV-16021512-G;  Cadmium- oder selenhaltige Fotoleitertrommeln;-;-
2014;EAV-16021600-U;  Aus gebrauchten Geräten entf. Bauteile (oh.160215);442;5,3
2014;EAV-16021601-U;  Externe elektrische Leitungen (einschl. Kabel);229;0,8
2014;EAV-160303-G;  Fehlchargen:Anorganische Abfälle m.gefährl.Stoffen;73;4,3
2014;EAV-160304-U;  Anorganische Abfälle (ohne 160303);121;7,5
2014;EAV-160305-G;  Fehlchargen: Organische Abfälle m.gefährl. Stoffen;141;5,1
2014;EAV-160306-U;  Organische Abfälle (ohne 160305);156;13,2
2014;EAV-160401-G;  Munitionsabfälle;-;-
2014;EAV-160402-G;  Feuerwerkskörperabfälle;3;0,1
2014;EAV-160403-G;  Andere Explosivabfälle;18;0,1
2014;EAV-160504-G;  Gefährliche Stoffe enthaltende Gase in Druckbehäl.;1389;1,6
2014;EAV-160505-U;  Gase in Druckbehältern (ohne 160504);52;0,0
2014;EAV-160506-G;  Laborchemikalien aus gefährlichen Stoffen;922;3,5
2014;EAV-160507-G;  Gebrauchte anorganische Chemikalien;1367;3,1
2014;EAV-160508-G;  Gebrauchte organische Chemikalien;1316;6,0
2014;EAV-160509-U;  Gebrauchte Chemikalien (ohne 160506-160508);129;2,4
2014;EAV-160601-G;  Bleibatterien;1888;19,1
2014;EAV-160602-G;  Ni-Cd-Batterien;191;0,1
2014;EAV-160603-G;  Quecksilber enthaltende Batterien;6;0,0
2014;EAV-160604-U;  Alkalibatterien (außer 160603);454;0,4
2014;EAV-160605-U;  Andere Batterien und Akkumulatoren;190;1,7
2014;EAV-160606-G;  Getrennt gesammelte Elektrolyte a. Batterien,Akku.;16;1,0
2014;EAV-160708-G;  Tanks, Fässer: Ölhaltige Abfälle;870;45,7
2014;EAV-160709-G;  Tanks, Fässer: Abfälle mit sonstigen gefährl. St.;131;8,1
2014;EAV-160799-U;  Tanks, Fässer: Abfälle a.n.g.;8;1,7
2014;EAV-160801-U;  Gebrauchte Katalysatoren (ohne 160807);38;0,9
2014;EAV-160802-G;  Gebrauchte Katalysat. m.gefährl.Übergangsmetallen;76;11,5
2014;EAV-160803-U;  Gebrauchte Katalysatoren mit Übergangsmetallen;15;2,0
2014;EAV-160804-U;  Gebrauchte Katalysatoren v. Crackproz.(oh. 160807);8;8,5
2014;EAV-160805-G;  Gebrauchte Katalysatoren mit Phosphorsäure;4;0,3
2014;EAV-160806-G;  Gebrauchte Flüssigkeiten (Katalysatoren);6;0,7
2014;EAV-160807-G;  Gebrauchte Katalysatoren mit gefährlichen Stoffen;78;9,5
2014;EAV-160901-G;  Permanganate, z.B. Kaliumpermanganat;-;-
2014;EAV-160902-G;  Chromate (Kaliumchromat,Kalium-o.Natriumdichromat);-;-
2014;EAV-160903-G;  Peroxide, z.B. Wasserstoffperoxid;11;0,0
2014;EAV-160904-G;  Oxidierende Stoffe a.n.g.;7;0,1
2014;EAV-161001-G;  Wässrige flüssige Abfälle mit gefährlichen Stoffen;190;20,9
2014;EAV-161002-U;  Wässrige flüssige Abfälle (ohne 161001);217;33,0
2014;EAV-161003-G;  Wässrige Konzentrate mit gefährlichen Stoffen;107;2,5
2014;EAV-161004-U;  Wässrige Konzentrate (ohne 161003);12;0,7
2014;EAV-161101-G;  Feuerfeste Materialien aus metallurg. Prozessen;12;3,3
2014;EAV-161102-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161101);31;1,6
2014;EAV-161103-G;  Andere Auskleidungen und feuerfeste Materialien;38;15,9
2014;EAV-161104-U;  Feuerfeste Mat. aus metallurg. Proz. (oh.161103);217;363,1
2014;EAV-161105-G;  Feuerfeste Materialien aus nichtmetallurg. Proz.;56;13,0
2014;EAV-161106-U;  Feuerfeste Mat. a. nichtmetallurg.Proz.(oh.161105);128;25,2
2014;EAV-17;Bau- und Abbruchabfälle;;
2014;EAV-170101-U;  Beton;812;372,8
2014;EAV-170102-U;  Ziegel;291;51,8
2014;EAV-170103-U;  Fliesen und Keramik;252;25,9
2014;EAV-170106-G;  Gemische aus o. getrennte Fraktionen v. Beton,u.a.;276;101,5
2014;EAV-170107-U;  Gemische aus Beton, Ziegeln, u.a. (oh.170106);2313;902,4
2014;EAV-170201-U;  Holz;3507;172,6
2014;EAV-170202-U;  Glas;591;15,2
2014;EAV-170203-U;  Kunststoff;659;25,9
2014;EAV-170204-G;  Glas, Kunststoff und Holz mit gefährlichen Stoffen;949;54,8
2014;EAV-170301-G;  Kohlenteerhaltige Bitumengemische;253;205,4
2014;EAV-170302-U;  Bitumengemische (ohne 170301);457;400,7
2014;EAV-170303-G;  Kohlenteer und teerhaltige Produkte;208;4,0
2014;EAV-170401-U;  Kupfer, Bronze, Messing;978;15,7
2014;EAV-170402-U;  Aluminium;1605;62,7
2014;EAV-170403-U;  Blei;82;0,6
2014;EAV-170404-U;  Zink;56;1,7
2014;EAV-170405-U;  Eisen und Stahl;3539;1307,3
2014;EAV-170406-U;  Zinn;37;0,6
2014;EAV-170407-U;  Gemischte Metalle;1736;163,9
2014;EAV-170409-G;  Metallabfälle mit gefährlichen Stoffen;93;18,3
2014;EAV-170410-G;  Kabel,die Öl,Kohlenteer u.a. gefährl. Stoffe enth.;123;3,1
2014;EAV-170411-U;  Kabel (ohne 170410);1745;20,1
2014;EAV-170503-G;  Boden und Steine, die gefährliche Stoffe enthalten;310;574,4
2014;EAV-170504-U;  Boden und Steine (ohne 170503);745;2992,4
2014;EAV-170505-G;  Baggergut, das gefährliche Stoffe enthält;7;0,5
2014;EAV-170506-U;  Baggergut (ohne 170505);17;105,4
2014;EAV-170507-G;  Gleisschotter, der gefährliche Stoffe enthält;17;29,8
2014;EAV-170508-U;  Gleisschotter (ohne 170507);50;707,2
2014;EAV-170601-G;  Dämmmaterial, das Asbest enthält;40;0,9
2014;EAV-170603-G;  Anderes Dämmmaterial;1461;20,7
2014;EAV-170604-U;  Dämmmaterial (ohne 170601 und 170603);472;14,4
2014;EAV-170605-G;  Asbesthaltige Baustoffe;729;12,9
2014;EAV-170801-G;  Verunreinigte Baustoffe auf Gipsbasis;9;0,4
2014;EAV-170802-U;  Baustoffe auf Gipsbasis (ohne 170801);475;30,5
2014;EAV-170901-G;  Bau- und Abbruchabfälle, die Quecksilber enthalten;4;0,1
2014;EAV-170902-G;  Bau- und Abbruchabfälle, die PCB enthalten;26;0,2
2014;EAV-170903-G;  Sonstige Bau- und Abbruchabfälle;117;4,6
2014;EAV-170904-U;  Gemischte Bau- und Abbruchabf. (oh.170901-170903);3236;172,7
2014;EAV-18;Abfälle aus der medizinischen Versorgung;;
2014;EAV-180101-U;  Spitze oder scharfe Gegenstände (außer 180103);72;0,9
2014;EAV-180102-U;  Körperteile, Organe, Blutkonserven (außer 180103);519;7,9
2014;EAV-180103-G;  Abfälle (bes. Anford. aus infektionspräv. Sicht);708;11,9
2014;EAV-180104-U;  Wund-,Gipsverbände,Wäsche,Einwegkleidung,Windeln;643;208,1
2014;EAV-180106-G;  Chemikalien, die aus gefährlichen Stoffen bestehen;40;0,3
2014;EAV-180107-U;  Chemikalien (ohne 180106);21;0,8
2014;EAV-180108-G;  Zytotox. u. zytostatische Arzneimittel f.Menschen;501;5,2
2014;EAV-180109-U;  Arzneimittel (ohne 180108);139;6,7
2014;EAV-180110-G;  Amalgamabfälle aus der Zahnmedizin;-;-
2014;EAV-180201-U;  Spitze oder scharfe Gegenstände (ohne 180202);-;-
2014;EAV-180202-G;  Abfälle (bes. Anford. aus infektionspräv. Sicht);57;1,0
2014;EAV-180203-U;  Abfälle (oh. bes. Anford. a. infektionspräv.Sicht);40;2,2
2014;EAV-180205-G;  Chemikalien, die aus gefährlichen Stoffen bestehen;6;0,0
2014;EAV-180206-U;  Chemikalien (ohne 180205);3;0,0
2014;EAV-180207-G;  Zytotoxische u. zytostatische Arzneimittel f.Tiere;3;0,0
2014;EAV-180208-U;  Arzneimittel (ohne 180207);4;0,0
2014;EAV-19;Abfälle aus Abfallbehandlungsanlagen u.a.;;
2014;EAV-190102-U;  Verbrenn.,Pyrolyse:Eisenteile a.Rost-u.Kesselasche;-;-
2014;EAV-190105-G;  Verbrenn.,Pyrolyse: Filterkuchen aus Abgasbehandl.;7;24,5
2014;EAV-190106-G;  Verbrenn.,Pyrolyse: Wässrige flüss.Abf.a.Abgasbeh.;9;16,6
2014;EAV-190107-G;  Verbrenn.,Pyrolyse: Feste Abfälle a. Abgasbehandl.;16;42,0
2014;EAV-190110-G;  Verbrenn.,Pyrolyse: Gebr. Aktivkohle a. Abgasbeh.;12;0,9
2014;EAV-190111-G;  Verbrenn.,Pyrolyse: Rost-,Kesselaschen,Schlacken;25;87,5
2014;EAV-190112-U;  Rost- und Kesselaschen sowie Schlacken (oh.190111);43;483,4
2014;EAV-190113-G;  Verbrenn.,Pyrolyse: Filterstaub mit gefährl. St.;21;31,8
2014;EAV-190114-U;  Filterstaub (ohne 190113);6;11,9
2014;EAV-190115-G;  Verbrenn.,Pyrolyse: Kesselstaub m.gefährl. Stoffen;6;2,1
2014;EAV-190116-U;  Kesselstaub (ohne 190115);-;-
2014;EAV-190117-G;  Pyrolyseabfälle, die gefährliche Stoffe enthalten;4;1,1
2014;EAV-190118-U;  Pyrolyseabfälle (ohne 190117);-;-
2014;EAV-190119-U;  Verbrenn.,Pyrolyse:Sande aus Wirbelschichtfeuerung;-;-
2014;EAV-190199-U;  Verbrennung, Pyrolyse von Abfällen: Abfälle a.n.g.;-;-
2014;EAV-190203-U;  Vorgemischte Abfälle aus nicht gefährl. Abfällen;6;0,9
2014;EAV-190204-G;  Vorgemischte Abfälle m. mind. einem gefährl.Abfall;7;2,0
2014;EAV-190205-G;  Schlämme aus der physikal.-chemischen Behandlung;209;33,2
2014;EAV-190206-U;  Schlämme a. physikal.-chem.Behandlung (oh.190205);23;2,3
2014;EAV-190207-G;  Öl und Konzentrate aus Abtrennprozessen;41;12,5
2014;EAV-190208-G;  Flüssige brennbare Abfälle mit gefährl. Stoffen;3;1,1
2014;EAV-190209-G;  Feste brennbare Abfälle mit gefährlichen Stoffen;-;-
2014;EAV-190210-U;  Brennbare Abfälle (ohne 190208 und 190209);-;-
2014;EAV-190211-G;  Sonstige Abfälle, die gefährliche Stoffe enthalten;-;-
2014;EAV-19029900-U;  Physik.-chem. Behandlung v.Abfällen: Abfälle a.n.g;-;-
2014;EAV-19029950-U;  Durch Abfallbehandlung entstandene Produkte;-;-
2014;EAV-190304-G;  Als gefährl. eingestufte teilw. stabilisierte Abf.;-;-
2014;EAV-190305-U;  Stabilisierte Abfälle (ohne 190304);-;-
2014;EAV-190306-G;  Als gefährlich eingestufte verfestigte Abfälle;-;-
2014;EAV-190307-U;  Verfestigte Abfälle (ohne 190306);-;-
2014;EAV-190401-U;  Verglaste Abfälle;-;-
2014;EAV-190402-G;  Filterstaub u.a. Abfälle aus der Abgasbehandlung;-;-
2014;EAV-190403-G;  Nicht verglaste Festphase;-;-
2014;EAV-190404-U;  Wässrige flüssige Abfälle aus dem Tempern;-;-
2014;EAV-190501-U;  Nicht kompostierte Fraktion von Siedlungsabfällen;4;0,0
2014;EAV-190502-U;  Nicht kompostierte Fraktion v. tier.u.pflanzl.Abf.;5;2,1
2014;EAV-190503-U;  Nicht spezifikationsgerechter Kompost;3;39,5
2014;EAV-19059900-U;  Abfälle a.n.g. nicht differenzierbar;-;-
2014;EAV-19059901-U;  Kompost (spezifikationsgerecht);6;1,3
2014;EAV-190603-U;  Flüssigkeiten aus Behandlung von Siedlungsabfällen;-;-
2014;EAV-190604-U;  Gärrückstand/-schlamm aus Beh. v.Siedlungsabfällen;-;-
